"AUDIOFILE"               ,"FOREIGNWORD"                               ,"LEVEL","NATIVEWORD"
"/st/snw/address.mp3"     ,"address"                                   ,"C1"   ,"nekilát vminek, foglalkozik vmivel"
"/st/snw/grasp.mp3"       ,"grasp"                                     ,"C1"   ,"megragad vmit"
"/st/snw/hop.mp3"         ,"hop"                                       ,"C1"   ,"ugrik"
"/st/snw/insert.mp3"      ,"insert"                                    ,"C1"   ,"beilleszt, betold"
"/st/snw/jam.mp3"         ,"jam"                                       ,"C1"   ,"beszorul, elakad, megakad, eltömődik; eltöm, eltorlaszol"
"/st/snw/produce_verb.mp3","produce"                                   ,"C1"   ,"elővesz; felmutat, bemutat"
"/st/snw/relocate.mp3"    ,"relocate"                                  ,"C1"   ,"áthelyez; áttelepül"
"/st/snw/settle.mp3"      ,"settle"                                    ,"C1"   ,"leszáll, letelepszik"
"/st/snw/shift.mp3"       ,"shift"                                     ,"C1"   ,"áthelyez, átvisz ; mozdul; mozdít"
"/st/snw/spin.mp3"        ,"spin"                                      ,"C1"   ,"pörög, forog; pörget, forgat"
"/st/snw/spread.mp3"      ,"spread"                                    ,"C1"   ,"kiterít , szétterjeszt"
"/st/snw/unfold.mp3"      ,"unfold"                                    ,"C1"   ,"szétnyit; szétnyílik"
"/st/snw/wave.mp3"        ,"wave"                                      ,"C1"   ,"lenget, lóbál; leng, lengedez, hajladozik"
"/st/snw/crawl.mp3"       ,"crawl"                                     ,"C1"   ,"lépésben haladás, araszolás"
"/st/snw/footstep.mp3"    ,"footstep"                                  ,"C1"   ,"lépés"
"/st/snw/jam.mp3"         ,"jam"                                       ,"C1"   ,"beszorulás, eltömődés"
"/st/snw/move.mp3"        ,"move"                                      ,"C1"   ,"lépés, cselekedet"
"/st/snw/stroll.mp3"      ,"stroll"                                    ,"C1"   ,"séta, kószálás"
"/st/snw/slippery.mp3"    ,"slippery"                                  ,"C1"   ,"csúszós, síkos"
"/st/snk/r909.mp3"        ,"come over"                                 ,"C1"   ,"átjön ; meglátogat  vhova/vkihez"
"/st/snk/r954.mp3"        ,"cover up ↔ sth"                            ,"C1"   ,"fed, befed, lefed, betakar, letakar  vhova/vkihez"
"/st/snk/r970.mp3"        ,"cut out ↔ sth"                             ,"C1"   ,"kivág  vhova/vkihez"
"/st/snk/r1939.mp3"       ,"move on"                                   ,"C1"   ,"továbbmegy  vhova/vkihez"
"/st/snk/r2671.mp3"       ,"tear up ↔ sth"                             ,"C1"   ,"darabokra tép  vhova/vkihez"
"/st/snk/r680.mp3"        ,"bear left/right"                           ,"C1"   ,"balra/jobbra fordul     vmit"
"/st/snk/r952.mp3"        ,"course of action"                          ,"C1"   ,"követendő út/eljárás/lépések     vmit"
"/st/snk/r1237.mp3"       ,"fulfil a duty/promise/responsibility, etc.","C1"   ,"feladatot/ígéretet/kötelezettséget/stb. teljesít     vmit"
"/st/snk/r1333.mp3"       ,"give sth a miss"                           ,"C1"   ,"kihagy     vmit"
"/st/snk/r1694.mp3"       ,"keep pace with sb/sth"                     ,"C1"   ,"lépést tart     vmit"
"/st/snk/r1746.mp3"       ,"land in/on, etc."                          ,"C1"   ,"landol     vmit"
"/st/snk/r1757.mp3"       ,"lay sth down/in/on, etc."                  ,"C1"   ,"lefektet/belefektet/ráfektet/stb., -helyez, -terít     vmit"
"/st/snk/r2258.mp3"       ,"race along/down/over, etc."                ,"C1"   ,"tovább-/le-/át-/stb. -rohan     vmit"
"/st/snk/r2317.mp3"       ,"rip sth out/off/from, etc."                ,"C1"   ,"kitép/letép/stb.     vmit"
"/st/snk/r2415.mp3"       ,"set foot in/on sth"                        ,"C1"   ,"belép, beteszi a lábát     vmit"
"/st/snk/r2520.mp3"       ,"squeeze through/past, etc."                ,"C1"   ,"keresztül-/át-/stb. furakszik     vmit"
"/st/snk/r2577.mp3"       ,"stroll along/down/through, etc."           ,"C1"   ,"sétál, kószál hol     vmit"
"/st/snk/r2609.mp3"       ,"take care of sth/doing sth"                ,"C1"   ,"gondoskodik     vmit"
"/st/snk/r2670.mp3"       ,"tear sth out of/off/down, etc."            ,"C1"   ,"kitép/letép/stb.     vmit"
"/st/snk/r2881.mp3"       ,"throw sth in/on, etc."                     ,"C1"   ,"be-/rá-/stb. dob/hajít     vmit"
"/st/snk/r2904.mp3"       ,"to do so"                                  ,"C1"   ,"így/ezt tenni     vmit"
