"AUDIOFILE"                  ,"FOREIGNWORD"                               ,"LEVEL","NATIVEWORD"
"/st/snw/condition.mp3"      ,"condition"                                 ,"C1"   ,"feltétel"
"/st/snw/nonetheless.mp3"    ,"nonetheless"                               ,"C1"   ,"mégis, azonban"
"/st/snw/notwithstanding.mp3","notwithstanding"                           ,"C1"   ,"az ellenére vminek"
"/st/snw/after.mp3"          ,"after"                                     ,"C1"   ,"miután, vmi ellenére"
"/st/snw/or.mp3"             ,"or"                                        ,"C1"   ,"vagy"
"/st/snk/r270.mp3"           ,"after all"                                 ,"C1"   ,"mégis/mégsem"
"/st/snk/r297.mp3"           ,"all/just the same"                         ,"C1"   ,"mégis, mindenesetre"
"/st/snk/r1091.mp3"          ,"even so"                                   ,"C1"   ,"annak ellenére is, még így is"
"/st/snk/r1521.mp3"          ,"in any event"                              ,"C1"   ,"mindenesetre"
"/st/snk/r1603.mp3"          ,"in the event of sth"                       ,"C1"   ,"esetén"
"/st/snk/r1629.mp3"          ,"in turn"                                   ,"C1"   ,"pedig, viszont, másfelől"
"/st/snw/impact.mp3"         ,"impact"                                    ,"C1"   ,"hat/hatással van vmire/vkire"
"/st/snw/trigger.mp3"        ,"trigger"                                   ,"C1"   ,"beindít, elindít vmit"
"/st/snw/formula.mp3"        ,"formula"                                   ,"C1"   ,"recept"
"/st/snw/implication.mp3"    ,"implication"                               ,"C1"   ,"hatás, következmény"
"/st/snw/mechanism.mp3"      ,"mechanism"                                 ,"C1"   ,"mechanizmus"
"/st/snw/mode.mp3"           ,"mode"                                      ,"C1"   ,"mód"
"/st/snw/outcome.mp3"        ,"outcome"                                   ,"C1"   ,"eredmény, kimenetel, következmény"
"/st/snw/tool.mp3"           ,"tool"                                      ,"C1"   ,"eszköz"
"/st/snw/way.mp3"            ,"way"                                       ,"C1"   ,"mód"
"/st/snw/thereby.mp3"        ,"thereby"                                   ,"C1"   ,"ezáltal"
"/st/snk/r2551.mp3"          ,"stem from sth"                             ,"C1"   ,"ered  vmiből"
"/st/snk/r189.mp3"           ,"a matter of course"                        ,"C1"   ,"magától értetődően    vmi"
"/st/snk/r333.mp3"           ,"as a consequence"                          ,"C1"   ,"következtében    vmi"
"/st/snk/r789.mp3"           ,"by means of"                               ,"C1"   ,"segítségével    vmi"
"/st/snk/r1228.mp3"          ,"from scratch"                              ,"C1"   ,"nulláról indulva, semmiből kezdve    vmi"
"/st/snk/r2613.mp3"          ,"take effect"                               ,"C1"   ,"hatni kezd, használ    vmi"
"/st/snk/r3028.mp3"          ,"with the aid of sth"                       ,"C1"   ,"segítségével    vmi"
"/st/snw/serve.mp3"          ,"serve"                                     ,"C1"   ,"szolgál vmilyen célra"
"/st/snw/motivation.mp3"     ,"motivation"                                ,"C1"   ,"motiváció, indíték"
"/st/snw/target.mp3"         ,"target"                                    ,"C1"   ,"célpont"
"/st/snw/hence.mp3"          ,"hence"                                     ,"C1"   ,"ebből eredően, ezért"
"/st/snw/behind.mp3"         ,"behind"                                    ,"C1"   ,"vmi van/rejlik vmi mögött"
"/st/snk/r537.mp3"           ,"be in sb's interest(s)"                    ,"C1"   ,"érdekében áll  vkinek  vmire/vkinek vmit  vminek/vkinek  vmi vmiképpen"
"/st/snk/r546.mp3"           ,"be intended for"                           ,"C1"   ,"szán  vkinek  vmire/vkinek vmit  vminek/vkinek  vmi vmiképpen"
"/st/snk/r563.mp3"           ,"be meant for sb/sth"                       ,"C1"   ,"szánják  vkinek  vmire/vkinek vmit  vminek/vkinek  vmi vmiképpen"
"/st/snk/r795.mp3"           ,"by way of sth"                             ,"C1"   ,"valamiként, gyanánt,  vkinek  vmire/vkinek vmit  vminek/vkinek  vmi vmiképpen"
"/st/snk/r1008.mp3"          ,"direct sth against/at/towards, etc. sb/sth","C1"   ,"irányul ellen/ felé/stb.  vkinek  vmire/vkinek vmit  vminek/vkinek  vmi vmiképpen"
"/st/snk/r1484.mp3"          ,"how come"                                  ,"C1"   ,"hogyhogy, hogy lehet az hogy  vkinek  vmire/vkinek vmit  vminek/vkinek  vmi vmiképpen"
"/st/snk/r2056.mp3"          ,"on the basis of sth"                       ,"C1"   ,"alapján, valamiért  vkinek  vmire/vkinek vmit  vminek/vkinek  vmi vmiképpen"
"/st/snk/r2060.mp3"          ,"on the grounds of/that"                    ,"C1"   ,"okból/okokból/alapon  vkinek  vmire/vkinek vmit  vminek/vkinek  vmi vmiképpen"
"/st/snk/r2476.mp3"          ,"so as not to do sth"                       ,"C1"   ,"azért hogy ne ...  vkinek  vmire/vkinek vmit  vminek/vkinek  vmi vmiképpen"
"/st/snk/r2785.mp3"          ,"the object of sth"                         ,"C1"   ,"célja/tárgya  vkinek  vmire/vkinek vmit  vminek/vkinek  vmi vmiképpen"
"/st/snk/r2813.mp3"          ,"the root of sth"                           ,"C1"   ,"gyökere , alapvető oka  vkinek  vmire/vkinek vmit  vminek/vkinek  vmi vmiképpen"
"/st/snk/r3023.mp3"          ,"with a view to doing sth"                  ,"C1"   ,"azzal a céllal  vkinek  vmire/vkinek vmit  vminek/vkinek  vmi vmiképpen"
"/st/snw/agree.mp3"          ,"agree"                                     ,"C1"   ,"megegyezik vmivel"
"/st/snw/differentiate.mp3"  ,"differentiate"                             ,"C1"   ,"megkülönböztet, különbséget tesz"
"/st/snw/fit.mp3"            ,"fit"                                       ,"C1"   ,"illik vkire/vmire"
"/st/snw/resemble.mp3"       ,"resemble"                                  ,"C1"   ,"hasonlít vkire/vmire"
"/st/snw/diversity.mp3"      ,"diversity"                                 ,"C1"   ,"sokféleség"
"/st/snw/equivalent.mp3"     ,"equivalent"                                ,"C1"   ,"egyenérték, megfelelője vminek"
"/st/snw/richness.mp3"       ,"richness"                                  ,"C1"   ,"gazdagság"
"/st/snw/close_adj.mp3"      ,"close"                                     ,"C1"   ,"közeli, szoros"
"/st/snw/comparable.mp3"     ,"comparable"                                ,"C1"   ,"hasonló vmihez, összehasonlítható vmivel"
"/st/snw/comparative.mp3"    ,"comparative"                               ,"C1"   ,"összehasonlító"
"/st/snw/distinct.mp3"       ,"distinct"                                  ,"C1"   ,"eltérő, jól megkülönböztethető"
"/st/snw/equivalent.mp3"     ,"equivalent"                                ,"C1"   ,"egyenértékű , megfelel"
"/st/snw/virtual.mp3"        ,"virtual"                                   ,"C1"   ,"tulajdonképpeni"
"/st/snw/equally.mp3"        ,"equally"                                   ,"C1"   ,"egyformán, egyenlően"
"/st/snw/equally.mp3"        ,"equally"                                   ,"C1"   ,"egyformán, egyenlően"
"/st/snw/otherwise.mp3"      ,"otherwise"                                 ,"C1"   ,"másképpen"
"/st/snw/similarly.mp3"      ,"similarly"                                 ,"C1"   ,"hasonlóképpen, éppúgy"
"/st/snk/r159.mp3"           ,"a fine/thin line"                          ,"C1"   ,"egy vékony vonal"
"/st/snk/r439.mp3"           ,"be a far cry from sth"                     ,"C1"   ,"nagyon különböző , teljesen más"
"/st/snk/r941.mp3"           ,"contrary to sth"                           ,"C1"   ,"ellentétben"
"/st/snk/r1528.mp3"          ,"in common with sb/sth"                     ,"C1"   ,"hasonlóan"
"/st/snk/r1621.mp3"          ,"in the same way"                           ,"C1"   ,"ugyanúgy, hasonlóképpen"
"/st/snk/r2675.mp3"          ,"tell the difference"                       ,"C1"   ,"megkülönböztet"
"/st/snk/r2917.mp3"          ,"to the contrary"                           ,"C1"   ,"ellenkező , ellene szóló"
"/st/snw/comprise.mp3"       ,"comprise"                                  ,"C1"   ,"áll vmiből"
"/st/snw/eliminate.mp3"      ,"eliminate"                                 ,"C1"   ,"eltávolít, kiküszöböl"
"/st/snw/embrace.mp3"        ,"embrace"                                   ,"C1"   ,"felölel"
"/st/snw/exclude.mp3"        ,"exclude"                                   ,"C1"   ,"nem tartalmaz"
"/st/snw/group.mp3"          ,"group"                                     ,"C1"   ,"csoportosít; csoportosul"
"/st/snw/integrate.mp3"      ,"integrate"                                 ,"C1"   ,"beolvaszt, egybeolvaszt; beilleszkedik; bevon vkit ; segít beilleszkedni vkinek"
"/st/snw/omit.mp3"           ,"omit"                                      ,"C1"   ,"kihagy, elhagy vhonnan/vmiből"
"/st/snw/divide.mp3"         ,"divide"                                    ,"C1"   ,"különbség"
"/st/snw/inclusion.mp3"      ,"inclusion"                                 ,"C1"   ,"beleszámítás"
"/st/snw/integration.mp3"    ,"integration"                               ,"C1"   ,"beilleszkedés; összevonás"
"/st/snw/isolation.mp3"      ,"isolation"                                 ,"C1"   ,"elszigeteltség, elkülönültség; elkülönítés"
