"AUDIOFILE"                  ,"FOREIGNWORD"                           ,"LEVEL","NATIVEWORD"
"/st/snw/exaggerate.mp3"     ,"exaggerate"                            ,"C1"   ,"túloz, eltúloz"
"/st/snw/exaggeration.mp3"   ,"exaggeration"                          ,"C1"   ,"túlzás"
"/st/snw/worse.mp3"          ,"worse"                                 ,"C1"   ,"rosszabb"
"/st/snw/disastrous.mp3"     ,"disastrous"                            ,"C1"   ,"katasztrofális, végzetes"
"/st/snw/drastic.mp3"        ,"drastic"                               ,"C1"   ,"erőteljes, drasztikus, szigorú"
"/st/snw/gross.mp3"          ,"gross"                                 ,"C1"   ,"nagyon komoly, vétkes; durva, visszataszító"
"/st/snw/intense.mp3"        ,"intense"                               ,"C1"   ,"rendkívül nagy/erős, heves"
"/st/snw/overwhelming.mp3"   ,"overwhelming"                          ,"C1"   ,"elsöprő erejű, elementáris"
"/st/snw/utmost.mp3"         ,"utmost"                                ,"C1"   ,"legnagyobb"
"/st/snw/dead.mp3"           ,"dead"                                  ,"C1"   ,"halálosan, teljesen, nagyon"
"/st/snw/drastically.mp3"    ,"drastically"                           ,"C1"   ,"drasztikusan"
"/st/snw/intensively.mp3"    ,"intensively"                           ,"C1"   ,"intenzíven; alaposan"
"/st/snw/utterly.mp3"        ,"utterly"                               ,"C1"   ,"teljesen"
"/st/snw/for.mp3"            ,"for"                                   ,"C1"   ,"vmihez képest, vmit figyelembe véve"
"/st/snw/versus.mp3"         ,"versus"                                ,"C1"   ,"szemben"
"/st/snk/r703.mp3"           ,"better/faster/happier, etc. than ever" ,"C1"   ,"jobb/gyorsabb/boldogabb/stb. mint valaha"
"/st/snk/r1485.mp3"          ,"how far"                               ,"C1"   ,"mennyiben, milyen mértékig"
"/st/snk/r1797.mp3"          ,"like crazy"                            ,"C1"   ,"mint az őrült"
"/st/snk/r2699.mp3"          ,"the best/cheapest/worst, etc. possible","C1"   ,"lehető legjobb/legolcsóbb/legrosszabb/stb."
"/st/snw/comprehensive.mp3"  ,"comprehensive"                         ,"C1"   ,"átfogó, mindenre részletre kiterjedő"
"/st/snw/grand.mp3"          ,"grand"                                 ,"C1"   ,"impozáns, grandiózus; nagy, fő-"
"/st/snw/immense.mp3"        ,"immense"                               ,"C1"   ,"óriási"
"/st/snw/radical.mp3"        ,"radical"                               ,"C1"   ,"gyökeres, radikális"
"/st/snw/staggering.mp3"     ,"staggering"                            ,"C1"   ,"megdöbbentő, bámulatos"
"/st/snw/terrific.mp3"       ,"terrific"                              ,"C1"   ,"óriási"
"/st/snw/widespread.mp3"     ,"widespread"                            ,"C1"   ,"messze ható; kiterjedt"
"/st/snw/comprehensively.mp3","comprehensively"                       ,"C1"   ,"átfogóan, széleskörűen"
"/st/snw/exceptionally.mp3"  ,"exceptionally"                         ,"C1"   ,"kivételesen"
"/st/snw/highly.mp3"         ,"highly"                                ,"C1"   ,"nagyon"
"/st/snw/immensely.mp3"      ,"immensely"                             ,"C1"   ,"rendkívül, nagyon"
"/st/snw/notably.mp3"        ,"notably"                               ,"C1"   ,"különösen, különösképpen; főleg, főképpen"
"/st/snw/radically.mp3"      ,"radically"                             ,"C1"   ,"gyökeresen, radikálisan"
"/st/snw/substantially.mp3"  ,"substantially"                         ,"C1"   ,"nagymértékben; alapvetően"
"/st/snk/r1212.mp3"          ,"for the most part"                     ,"C1"   ,"többnyire"
"/st/snw/middle.mp3"         ,"middle"                                ,"C1"   ,"közép-, közepes"
"/st/snw/mild.mp3"           ,"mild"                                  ,"C1"   ,"enyhe, könnyű, szelíd, finom"
"/st/snw/basically.mp3"      ,"basically"                             ,"C1"   ,"alapvetően, alapjában véve"
"/st/snw/broadly.mp3"        ,"broadly"                               ,"C1"   ,"általában, nagyjából"
"/st/snw/lightly.mp3"        ,"lightly"                               ,"C1"   ,"enyhén, egy kissé"
"/st/snw/little.mp3"         ,"little"                                ,"C1"   ,"kevéssé"
"/st/snw/modestly.mp3"       ,"modestly"                              ,"C1"   ,"szerényen, mérsékelten; visszafogottan"
"/st/snw/partially.mp3"      ,"partially"                             ,"C1"   ,"részlegesen"
"/st/snw/somewhat.mp3"       ,"somewhat"                              ,"C1"   ,"némileg; meglehetősen"
"/st/snw/sufficiently.mp3"   ,"sufficiently"                          ,"C1"   ,"eléggé"
"/st/snk/r127.mp3"           ,"a bit of a change/fool/problem, etc."  ,"C1"   ,"egy kis változás/probléma/stb."
"/st/snk/r932.mp3"           ,"comparatively cheap/easy/little, etc." ,"C1"   ,"viszonylag olcsó/könnyű/kicsi/stb."
"/st/snk/r1135.mp3"          ,"far from sth"                          ,"C1"   ,"egyáltalán nem"
"/st/snk/r1987.mp3"          ,"not exactly easy/new/rich, etc."       ,"C1"   ,"nem éppen könnyű/új/gazdag/stb."
"/st/snk/r1995.mp3"          ,"not nearly (as/so)"                    ,"C1"   ,"közel sem/sincs"
"/st/snk/r2018.mp3"          ,"nowhere near"                          ,"C1"   ,"megközelítőleg/távolról sem"
