"AUDIOFILE"                    ,"FOREIGNWORD"                       ,"LEVEL","NATIVEWORD"
"/st/snw/crash.mp3"            ,"crash"                             ,"C1"   ,"összeomlik ; leesik"
"/st/snw/fund.mp3"             ,"fund"                              ,"C1"   ,"anyagilag támogat, finanszíroz vmit"
"/st/snw/lose.mp3"             ,"lose"                              ,"C1"   ,"veszít"
"/st/snw/privatize.mp3"        ,"privatize"                         ,"C1"   ,"privatizál"
"/st/snw/crash.mp3"            ,"crash"                             ,"C1"   ,"összeomlás"
"/st/snw/deficit.mp3"          ,"deficit"                           ,"C1"   ,"hiány, deficit"
"/st/snw/empire.mp3"           ,"empire"                            ,"C1"   ,"birodalom, cégbirodalom"
"/st/snw/enterprise.mp3"       ,"enterprise"                        ,"C1"   ,"vállalkozás, vállalat"
"/st/snw/establishment.mp3"    ,"establishment"                     ,"C1"   ,"létesítés, létrehozatal , bevezetés"
"/st/snw/fund.mp3"             ,"fund"                              ,"C1"   ,"pénz, pénzalap"
"/st/snw/funding.mp3"          ,"funding"                           ,"C1"   ,"pénzeszköz"
"/st/snw/loss.mp3"             ,"loss"                              ,"C1"   ,"veszteség"
"/st/snw/operation.mp3"        ,"operation"                         ,"C1"   ,"nagy cég, szervezet, nagyvállalkozás"
"/st/snw/revenue.mp3"          ,"revenue"                           ,"C1"   ,"jövedelem"
"/st/snw/sponsorship.mp3"      ,"sponsorship"                       ,"C1"   ,"támogatás; szponzorálás"
"/st/snw/stock_market.mp3"     ,"stock market"                      ,"C1"   ,"értéktőzsde"
"/st/snw/takeover.mp3"         ,"takeover"                          ,"C1"   ,"átvétel, hatalomátvétel"
"/st/snw/bankrupt.mp3"         ,"bankrupt"                          ,"C1"   ,"tönkrement"
"/st/snw/corporate.mp3"        ,"corporate"                         ,"C1"   ,"társasági ; testületi"
"/st/snk/r734.mp3"             ,"break even"                        ,"C1"   ,"nullszaldót ér el"
"/st/snk/r1241.mp3"            ,"funds"                             ,"C1"   ,"tőke, anyagi eszközök"
"/st/snw/evolve.mp3"           ,"evolve"                            ,"C1"   ,"fejlődik, kifejlődik; kibontakozik"
"/st/snw/design.mp3"           ,"design"                            ,"C1"   ,"tervrajz, szerkezeti rajz"
"/st/snw/discovery.mp3"        ,"discovery"                         ,"C1"   ,"felfedezés"
"/st/snw/exploration.mp3"      ,"exploration"                       ,"C1"   ,"felfedezés, kutatás"
"/st/snw/format.mp3"           ,"format"                            ,"C1"   ,"alak, formátum; kivitel"
"/st/snw/innovation.mp3"       ,"innovation"                        ,"C1"   ,"újítás, innováció"
"/st/snw/instrument.mp3"       ,"instrument"                        ,"C1"   ,"eszköz, műszer"
"/st/snw/productivity.mp3"     ,"productivity"                      ,"C1"   ,"termelékenység"
"/st/snw/simulation.mp3"       ,"simulation"                        ,"C1"   ,"szimulálás ; szimuláció"
"/st/snw/trial.mp3"            ,"trial"                             ,"C1"   ,"próba, kipróbálás, teszt"
"/st/snw/cutting-edge.mp3"     ,"cutting-edge"                      ,"C1"   ,"él-, csúcs-"
"/st/snw/innovative.mp3"       ,"innovative"                        ,"C1"   ,"újító szándékú/jellegű, innovatív"
