"AUDIOFILE"                 ,"FOREIGNWORD"                             ,"LEVEL","NATIVEWORD"
"/st/snw/conclude.mp3"      ,"conclude"                                ,"C1"   ,"következtet vmire"
"/st/snw/reflect.mp3"       ,"reflect"                                 ,"C1"   ,"elmélkedik vmin, átgondol vmit"
"/st/snw/awareness.mp3"     ,"awareness"                               ,"C1"   ,"tudatosság; tájékozottság"
"/st/snw/brain.mp3"         ,"brain"                                   ,"C1"   ,"ész"
"/st/snw/consciousness.mp3" ,"consciousness"                           ,"C1"   ,"tudat, tudatosság"
"/st/snw/guideline.mp3"     ,"guideline"                               ,"C1"   ,"irányelv"
"/st/snw/logic.mp3"         ,"logic"                                   ,"C1"   ,"logika"
"/st/snw/notion.mp3"        ,"notion"                                  ,"C1"   ,"fogalom, feltevés vmiről"
"/st/snw/principle.mp3"     ,"principle"                               ,"C1"   ,"alapelv"
"/st/snw/wit.mp3"           ,"wit"                                     ,"C1"   ,"szellemesség"
"/st/snw/conservative.mp3"  ,"conservative"                            ,"C1"   ,"konzervatív ; óvatos"
"/st/snw/imaginative.mp3"   ,"imaginative"                             ,"C1"   ,"ötletes"
"/st/snw/liberal.mp3"       ,"liberal"                                 ,"C1"   ,"széles látókörű, toleráns"
"/st/snw/narrow-minded.mp3" ,"narrow-minded"                           ,"C1"   ,"szűk látókörű"
"/st/snw/open-minded.mp3"   ,"open-minded"                             ,"C1"   ,"nyitott, fogékony"
"/st/snw/rational.mp3"      ,"rational"                                ,"C1"   ,"értelmes, józan; ésszerű, racionális"
"/st/snw/sensibly.mp3"      ,"sensibly"                                ,"C1"   ,"józanul, ésszerűen"
"/st/snw/wisely.mp3"        ,"wisely"                                  ,"C1"   ,"bölcsen"
"/st/snk/r942.mp3"          ,"conventional wisdom"                     ,"C1"   ,"közfelfogás"
"/st/snk/r2357.mp3"         ,"say sth to yourself"                     ,"C1"   ,"mondja/gondolja magában"
"/st/snw/absorb.mp3"        ,"absorb"                                  ,"C1"   ,"felfog, befogad"
"/st/snw/deepen.mp3"        ,"deepen"                                  ,"C1"   ,"mélyít; mélyül"
"/st/snw/digest.mp3"        ,"digest"                                  ,"C1"   ,"megemészt, megért"
"/st/snw/evaluate.mp3"      ,"evaluate"                                ,"C1"   ,"kiértékel ; felbecsül"
"/st/snw/gather.mp3"        ,"gather"                                  ,"C1"   ,"megért, úgy értesül/tud"
"/st/snw/grasp.mp3"         ,"grasp"                                   ,"C1"   ,"megért, felfog"
"/st/snw/inspect.mp3"       ,"inspect"                                 ,"C1"   ,"szemügyre vesz, alaposan megvizsgál/átvizsgál"
"/st/snw/interpret.mp3"     ,"interpret"                               ,"C1"   ,"értelmez vmit vhogyan"
"/st/snw/search.mp3"        ,"search"                                  ,"C1"   ,"keres, kutat"
"/st/snw/survey.mp3"        ,"survey"                                  ,"C1"   ,"felmér"
"/st/snw/survey.mp3"        ,"survey"                                  ,"C1"   ,"felmér, megtekint, szemrevételez"
"/st/snw/evaluation.mp3"    ,"evaluation"                              ,"C1"   ,"értékelés, kiértékelés"
"/st/snw/insight.mp3"       ,"insight"                                 ,"C1"   ,"bepillantás vmibe"
"/st/snw/overview.mp3"      ,"overview"                                ,"C1"   ,"áttekintés vmiről"
"/st/snw/realization.mp3"   ,"realization"                             ,"C1"   ,"felismerés , ráeszmélés"
"/st/snw/reference.mp3"     ,"reference"                               ,"C1"   ,"információ szerzés"
"/st/snw/analytical.mp3"    ,"analytical"                              ,"C1"   ,"elemző, analitikus"
"/st/snw/knowledgeable.mp3" ,"knowledgeable"                           ,"C1"   ,"tájékozott"
"/st/snw/well-informed.mp3" ,"well-informed"                           ,"C1"   ,"jól informált"
"/st/snw/beyond.mp3"        ,"beyond"                                  ,"C1"   ,"meghalad"
"/st/snk/r861.mp3"          ,"check out ↔ sth"                         ,"C1"   ,"megtekint , tájékozódik  vmit vmiről  vmire  vkivel vmit vkit"
"/st/snk/r1052.mp3"         ,"draw on sth"                             ,"C1"   ,"merít , épít  vmit vmiről  vmire  vkivel vmit vkit"
"/st/snk/r1297.mp3"         ,"get through to sb"                       ,"C1"   ,"megértet ; telefonon elér  vmit vmiről  vmire  vkivel vmit vkit"
"/st/snk/r1291.mp3"         ,"get sth straight"                        ,"C1"   ,"világosan megért"
"/st/snk/r1742.mp3"         ,"know what you are talking about"         ,"C1"   ,"ért a dologhoz, tudja miről beszél"
"/st/snk/r2841.mp3"         ,"the unknown"                             ,"C1"   ,"az ismeretlen"
"/st/snw/clarify.mp3"       ,"clarify"                                 ,"C1"   ,"tisztáz vmit, elmagyaráz, megmagyaráz"
"/st/snw/demonstrate.mp3"   ,"demonstrate"                             ,"C1"   ,"bemutat, szemléltet, demonstrál"
"/st/snw/illustrate.mp3"    ,"illustrate"                              ,"C1"   ,"illusztrál"
"/st/snw/quote.mp3"         ,"quote"                                   ,"C1"   ,"példaként említ/megemlít"
"/st/snw/support.mp3"       ,"support"                                 ,"C1"   ,"alátámaszt"
"/st/snw/trace.mp3"         ,"trace"                                   ,"C1"   ,"visszavezet vmire"
"/st/snw/basis.mp3"         ,"basis"                                   ,"C1"   ,"alap"
"/st/snw/basis.mp3"         ,"basis"                                   ,"C1"   ,"alap, kiindulópont vmihez"
"/st/snw/clarification.mp3" ,"clarification"                           ,"C1"   ,"tisztázása/elmagyarázása vminek"
"/st/snw/demonstration.mp3" ,"demonstration"                           ,"C1"   ,"bemutatás, szemléltetés, demonstráció"
"/st/snw/demonstration.mp3" ,"demonstration"                           ,"C1"   ,"igazolás, bizonyíték vmire"
"/st/snw/imaginative.mp3"   ,"imaginative"                             ,"C1"   ,"nagy képzelőtehetségű"
"/st/snw/unsolved.mp3"      ,"unsolved"                                ,"C1"   ,"megoldatlan"
"/st/snw/assert.mp3"        ,"assert"                                  ,"C1"   ,"határozottan állít vmit"
"/st/snw/consider.mp3"      ,"consider"                                ,"C1"   ,"fontolóra vesz vmit"
"/st/snw/consider.mp3"      ,"consider"                                ,"C1"   ,"számol vmilyen eshetőséggel/lehetőséggel"
"/st/snw/embrace.mp3"       ,"embrace"                                 ,"C1"   ,"híve lesz vminek; él vmivel, magáévá tesz vmit"
"/st/snw/opt.mp3"           ,"opt"                                     ,"C1"   ,"dönt vmi mellett/vhogyan"
"/st/snw/perceive.mp3"      ,"perceive"                                ,"C1"   ,"érzékel, felfog, értelmez vmilyennek"
"/st/snw/reconsider.mp3"    ,"reconsider"                              ,"C1"   ,"újból fontolóra vesz"
"/st/snw/rethink.mp3"       ,"rethink"                                 ,"C1"   ,"újra átgondol"
"/st/snw/allegation.mp3"    ,"allegation"                              ,"C1"   ,"állítás"
"/st/snw/angle.mp3"         ,"angle"                                   ,"C1"   ,"szemszög"
"/st/snw/claim.mp3"         ,"claim"                                   ,"C1"   ,"állítás"
"/st/snw/criterion.mp3"     ,"criterion"                               ,"C1"   ,"előfeltétel, kritérium"
"/st/snw/perspective.mp3"   ,"perspective"                             ,"C1"   ,"nézőpont, szemszög"
"/st/snw/viewpoint.mp3"     ,"viewpoint"                               ,"C1"   ,"nézőpont, szemszög"
"/st/snk/r545.mp3"          ,"be inclined to think/believe/agree, etc.","C1"   ,"hajlik arra hogy gondolja/elhiggye/egyetértsen/stb.     vminek"
"/st/snk/r1437.mp3"         ,"have no option (but to do sth)"          ,"C1"   ,"nincs más választás     vminek"
"/st/snk/r1467.mp3"         ,"hold an opinion/belief/view"             ,"C1"   ,"véleménye/meggyőződése/nézete szerint     vminek"
"/st/snk/r1609.mp3"         ,"in the light of sth"                     ,"C1"   ,"figyelembevételével     vminek"
"/st/snk/r2004.mp3"         ,"not think twice"                         ,"C1"   ,"nem sokat gondolkozik/teketóriázik     vminek"
"/st/snk/r2573.mp3"         ,"strike a balance"                        ,"C1"   ,"megtalálja a középutat     vminek"
"/st/snk/r2867.mp3"         ,"think twice"                             ,"C1"   ,"kétszer is meggondolja     vminek"
"/st/snw/daydream.mp3"      ,"daydream"                                ,"C1"   ,"ábrándozik, álmodozik"
"/st/snw/doubt.mp3"         ,"doubt"                                   ,"C1"   ,"kételkedik vkiben/vmiben"
"/st/snw/picture.mp3"       ,"picture"                                 ,"C1"   ,"elképzel,  lát"
"/st/snw/presume.mp3"       ,"presume"                                 ,"C1"   ,"feltételez, vélelmez"
