"AUDIOFILE"                ,"FOREIGNWORD"                       ,"LEVEL","NATIVEWORD"
"/st/snw/mark.mp3"         ,"mark"                              ,"C1"   ,"nyomot/foltot hagy"
"/st/snw/recharge.mp3"     ,"recharge"                          ,"C1"   ,"feltölt, újratölt"
"/st/snw/record_verb.mp3"  ,"record"                            ,"C1"   ,"regisztrál, mutat"
"/st/snw/regulate.mp3"     ,"regulate"                          ,"C1"   ,"szabályoz, irányít, beállít"
"/st/snw/run.mp3"          ,"run"                               ,"C1"   ,"működik; működtet"
"/st/snw/accessory.mp3"    ,"accessory"                         ,"C1"   ,"kiegészítő, kellék, tartozék"
"/st/snw/appliance.mp3"    ,"appliance"                         ,"C1"   ,"gép, készülék"
"/st/snw/chore.mp3"        ,"chore"                             ,"C1"   ,"fárasztó kötelesség"
"/st/snw/component.mp3"    ,"component"                         ,"C1"   ,"alkatrész, részegység"
"/st/snw/convenience.mp3"  ,"convenience"                       ,"C1"   ,"komfort"
"/st/snw/defect.mp3"       ,"defect"                            ,"C1"   ,"hiba; fogyatékosság, hiányosság"
"/st/snw/definition.mp3"   ,"definition"                        ,"C1"   ,"felbontás; képélesség"
"/st/snw/gadget.mp3"       ,"gadget"                            ,"C1"   ,"eszköz, szerkentyű"
"/st/snw/grill.mp3"        ,"grill"                             ,"C1"   ,"rostély, grillrács"
"/st/snw/housing.mp3"      ,"housing"                           ,"C1"   ,"lakóhely"
"/st/snw/installation.mp3" ,"installation"                      ,"C1"   ,"felszerelés, beszerelés; beüzemelés"
"/st/snw/junk.mp3"         ,"junk"                              ,"C1"   ,"limlom, ócskaság"
"/st/snw/knob.mp3"         ,"knob"                              ,"C1"   ,"gomb"
"/st/snw/log.mp3"          ,"log"                               ,"C1"   ,"tuskó, fatuskó, farönk"
"/st/snw/mat.mp3"          ,"mat"                               ,"C1"   ,"szőnyeg ; alátét"
"/st/snw/mechanism.mp3"    ,"mechanism"                         ,"C1"   ,"szerkezet, mechanizmus"
"/st/snw/move.mp3"         ,"move"                              ,"C1"   ,"költözés, költözködés"
"/st/snw/operation.mp3"    ,"operation"                         ,"C1"   ,"működés; működtetés"
"/st/snw/sack.mp3"         ,"sack"                              ,"C1"   ,"zsák"
"/st/snw/sewing.mp3"       ,"sewing"                            ,"C1"   ,"varrás"
"/st/snw/slot.mp3"         ,"slot"                              ,"C1"   ,"rés, nyílás"
"/st/snw/staircase.mp3"    ,"staircase"                         ,"C1"   ,"lépcsőház; lépcsősor"
"/st/snw/telly.mp3"        ,"telly"                             ,"C1"   ,"tévé, tévékészülék; tévéadás"
"/st/snw/compatible.mp3"   ,"compatible"                        ,"C1"   ,"kompatibilis, csereszabatos"
"/st/snw/detached.mp3"     ,"detached"                          ,"C1"   ,"különálló"
"/st/snw/down.mp3"         ,"down"                              ,"C1"   ,"nem működik"
"/st/snw/filthy.mp3"       ,"filthy"                            ,"C1"   ,"mocskos"
"/st/snw/furnished.mp3"    ,"furnished"                         ,"C1"   ,"bútorozott"
"/st/snw/semi-detached.mp3","semi-detached"                     ,"C1"   ,"iker"
"/st/snw/well-equipped.mp3","well-equipped"                     ,"C1"   ,"jól felszerelt"
"/st/snw/neatly.mp3"       ,"neatly"                            ,"C1"   ,"rendezetten; csinosan"
"/st/snk/r871.mp3"         ,"clean (sth/sb) up"                 ,"C1"   ,"kitakarít, feltakarít  vmit"
"/st/snk/r871.mp3"         ,"clean (sth/sb) up"                 ,"C1"   ,"kitisztít, megtisztít  vmit"
"/st/snk/r873.mp3"         ,"clear away ↔ sth"                  ,"C1"   ,"rendet rak, elpakol  vmit"
"/st/snk/r2338.mp3"        ,"run on sth"                        ,"C1"   ,"működik  vmit"
"/st/snk/r760.mp3"         ,"brush sth away/off, etc."          ,"C1"   ,"lesöpör, elsöpör"
"/st/snk/r813.mp3"         ,"can work sth; know how to work sth","C1"   ,"működtetni tud"
"/st/snk/r2109.mp3"        ,"out of action"                     ,"C1"   ,"rossz, nem működik; lesérült, harcképtelen"
"/st/snk/r2347.mp3"        ,"running water"                     ,"C1"   ,"folyóvíz"
