"AUDIOFILE"                 ,"FOREIGNWORD"                     ,"LEVEL","NATIVEWORD"
"/st/snw/accelerate.mp3"    ,"accelerate"                      ,"C1"   ,"gyorsul, felgyorsul; gyorsít, felgyorsít"
"/st/snw/enter.mp3"         ,"enter"                           ,"C1"   ,"lép vmibe"
"/st/snw/lengthen.mp3"      ,"lengthen"                        ,"C1"   ,"megtold, meghosszabbít; megnyúlik"
"/st/snw/prolong.mp3"       ,"prolong"                         ,"C1"   ,"meghosszabbít"
"/st/snw/duration.mp3"      ,"duration"                        ,"C1"   ,"időtartam"
"/st/snw/rate.mp3"          ,"rate"                            ,"C1"   ,"ütem, gyorsaság"
"/st/snw/slot.mp3"          ,"slot"                            ,"C1"   ,"időrés, vmire meghatározott időpont/időtartam"
"/st/snw/lengthy.mp3"       ,"lengthy"                         ,"C1"   ,"hosszadalmas"
"/st/snw/long-time.mp3"     ,"long-time"                       ,"C1"   ,"régi"
"/st/snw/never-ending.mp3"  ,"never-ending"                    ,"C1"   ,"soha véget nem érő"
"/st/snw/prolonged.mp3"     ,"prolonged"                       ,"C1"   ,"hosszan tartó, hosszú"
"/st/snw/time-consuming.mp3","time-consuming"                  ,"C1"   ,"időigényes"
"/st/snw/between.mp3"       ,"between"                         ,"C1"   ,"között, közé"
"/st/snw/sharp.mp3"         ,"sharp"                           ,"C1"   ,"hirtelen"
"/st/snw/yet.mp3"           ,"yet"                             ,"C1"   ,"még"
"/st/snk/r1070.mp3"         ,"dwell on/upon sth"               ,"C1"   ,"hosszasan időzik"
"/st/snk/r279.mp3"          ,"all at once"                     ,"C1"   ,"egyszer csak, hirtelen"
"/st/snk/r282.mp3"          ,"all hours"                       ,"C1"   ,"bármikor/bármeddig, akármikor/akármeddig, sokáig"
"/st/snk/r327.mp3"          ,"around/round the clock"          ,"C1"   ,"éjjel-nappal"
"/st/snk/r356.mp3"          ,"as yet"                          ,"C1"   ,"mindeddig, egyelőre"
"/st/snk/r369.mp3"          ,"at a glance"                     ,"C1"   ,"egyetlen pillantással"
"/st/snk/r686.mp3"          ,"before you know it"              ,"C1"   ,"mielőtt tudomást szereznél róla"
"/st/snk/r1200.mp3"         ,"for life"                        ,"C1"   ,"egész életében, élethossziglan, életfogytiglan"
"/st/snk/r1201.mp3"         ,"for long"                        ,"C1"   ,"sokáig, hosszasan"
"/st/snk/r1230.mp3"         ,"from start to finish"            ,"C1"   ,"elejétől a végéig"
"/st/snk/r1232.mp3"         ,"from then/that day, etc. on"     ,"C1"   ,"attól/attól a naptól kezdve"
"/st/snk/r1560.mp3"         ,"in no time"                      ,"C1"   ,"tüstént, rögtön, pillanatok alatt"
"/st/snk/r2118.mp3"         ,"out of the blue"                 ,"C1"   ,"váratlanul"
"/st/snw/preliminary.mp3"   ,"preliminary"                     ,"C1"   ,"előzetes"
