"AUDIOFILE"              ,"FOREIGNWORD"                               ,"LEVEL","NATIVEWORD"
"/st/snw/bribe.mp3"      ,"bribe"                                     ,"C1"   ,"megveszteget vkit"
"/st/snw/corrupt.mp3"    ,"corrupt"                                   ,"C1"   ,"megront"
"/st/snw/misuse_verb.mp3","misuse"                                    ,"C1"   ,"helytelen módon/célra használ; visszaél vmivel"
"/st/snw/smuggle.mp3"    ,"smuggle"                                   ,"C1"   ,"csempészik"
"/st/snw/abuse.mp3"      ,"abuse"                                     ,"C1"   ,"visszaélés"
"/st/snw/aggression.mp3" ,"aggression"                                ,"C1"   ,"támadás, agresszió"
"/st/snw/bribe.mp3"      ,"bribe"                                     ,"C1"   ,"csúszópénz"
"/st/snw/corruption.mp3" ,"corruption"                                ,"C1"   ,"korrupció"
"/st/snw/corruption.mp3" ,"corruption"                                ,"C1"   ,"korrumpálás; megrontás"
"/st/snw/disorder.mp3"   ,"disorder"                                  ,"C1"   ,"rendzavarás, zavargás"
"/st/snw/harassment.mp3" ,"harassment"                                ,"C1"   ,"zaklatás"
"/st/snw/misuse_noun.mp3","misuse"                                    ,"C1"   ,"helytelen használat; visszaélés"
"/st/snw/prostitute.mp3" ,"prostitute"                                ,"C1"   ,"prostituált"
"/st/snw/bloody.mp3"     ,"bloody"                                    ,"C1"   ,"véres, vérengző"
"/st/snw/brutal.mp3"     ,"brutal"                                    ,"C1"   ,"brutális"
"/st/snw/corrupt.mp3"    ,"corrupt"                                   ,"C1"   ,"korrupt, erkölcstelen"
"/st/snw/notorious.mp3"  ,"notorious"                                 ,"C1"   ,"hírhedt"
"/st/snw/rough.mp3"      ,"rough"                                     ,"C1"   ,"durva, goromba; veszedelmes"
"/st/snw/serial.mp3"     ,"serial"                                    ,"C1"   ,"sorozat-"
"/st/snk/r1361.mp3"      ,"go off"                                    ,"C1"   ,"felrobban ; elsül"
"/st/snk/r213.mp3"       ,"a safe place; somewhere safe"              ,"C1"   ,"biztonságos hely"
"/st/snw/defend.mp3"     ,"defend"                                    ,"C1"   ,"véd"
"/st/snw/flee.mp3"       ,"flee"                                      ,"C1"   ,"menekül, elmenekül"
"/st/snw/imprison.mp3"   ,"imprison"                                  ,"C1"   ,"bebörtönöz"
"/st/snw/sue.mp3"        ,"sue"                                       ,"C1"   ,"perel, keresetet indít"
"/st/snw/capture.mp3"    ,"capture"                                   ,"C1"   ,"foglyul ejtés; elfoglalás"
"/st/snw/charge.mp3"     ,"charge"                                    ,"C1"   ,"vád"
"/st/snw/escape.mp3"     ,"escape"                                    ,"C1"   ,"szökés"
"/st/snw/innocence.mp3"  ,"innocence"                                 ,"C1"   ,"ártatlanság"
"/st/snw/liability.mp3"  ,"liability"                                 ,"C1"   ,"felelősség; kötelezettség"
"/st/snw/magistrate.mp3" ,"magistrate"                                ,"C1"   ,"bíró"
"/st/snw/release.mp3"    ,"release"                                   ,"C1"   ,"szabadulás, kiszabadulás; szabadon engedés"
"/st/snw/solicitor.mp3"  ,"solicitor"                                 ,"C1"   ,"ügyvéd, jogtanácsos"
"/st/snw/suspicion.mp3"  ,"suspicion"                                 ,"C1"   ,"gyanú"
"/st/snw/liable.mp3"     ,"liable"                                    ,"C1"   ,"felelős vmiért"
"/st/snk/r1249.mp3"      ,"get (sb/sth) out"                          ,"C1"   ,"kijut, kiszabadul; kijuttat, kiszabadít"
"/st/snk/r788.mp3"       ,"by law"                                    ,"C1"   ,"törvény szerint, törvényi előírás szerint"
"/st/snk/r1779.mp3"      ,"legal action"                              ,"C1"   ,"per, kereset"
"/st/snk/r3059.mp3"      ,"wrongly accused/convicted/imprisoned, etc.","C1"   ,"ártatlanul/igazságtalanul vádolt/elítélt/bebörtönzött/stb."
