"AUDIOFILE"                ,"FOREIGNWORD"                             ,"LEVEL","NATIVEWORD"
"/st/snw/quote.mp3"        ,"quote"                                   ,"C1"   ,"idéz"
"/st/snw/receive.mp3"      ,"receive"                                 ,"C1"   ,"fogad vmit vhogyan"
"/st/snw/skip.mp3"         ,"skip"                                    ,"C1"   ,"kihagy vmit"
"/st/snw/summarize.mp3"    ,"summarize"                               ,"C1"   ,"összefoglal"
"/st/snw/length.mp3"       ,"length"                                  ,"C1"   ,"hossz, terjedelem"
"/st/snw/observation.mp3"  ,"observation"                             ,"C1"   ,"megjegyzés, megállapítás, észrevétel"
"/st/snw/overview.mp3"     ,"overview"                                ,"C1"   ,"áttekintés"
"/st/snw/profile.mp3"      ,"profile"                                 ,"C1"   ,"ismertség, közismertség"
"/st/snw/reception.mp3"    ,"reception"                               ,"C1"   ,"fogadtatás"
"/st/snw/reference.mp3"    ,"reference"                               ,"C1"   ,"utalás, hivatkozás vmire"
"/st/snw/version.mp3"      ,"version"                                 ,"C1"   ,"változat, verzió"
"/st/snw/informative.mp3"  ,"informative"                             ,"C1"   ,"informatív, információt nyújtó, tanulságos"
"/st/snw/specific.mp3"     ,"specific"                                ,"C1"   ,"pontos; részletes"
"/st/snw/publicly.mp3"     ,"publicly"                                ,"C1"   ,"nyilvánosan"
"/st/snk/r1756.mp3"        ,"lay out ↔ sth"                           ,"C1"   ,"kidolgoz"
"/st/snk/r933.mp3"         ,"compare notes"                           ,"C1"   ,"tapasztalatot/véleményt cserél       vki"
"/st/snk/r1505.mp3"        ,"in a nutshell"                           ,"C1"   ,"dióhéjban       vki"
"/st/snk/r1905.mp3"        ,"make yourself understood"                ,"C1"   ,"megérteti magát       vki"
"/st/snk/r2253.mp3"        ,"put/set the record straight"             ,"C1"   ,"helyesbít, helyreigazít       vki"
"/st/snk/r2501.mp3"        ,"speak for/on behalf of sb"               ,"C1"   ,"helyett/nevében beszél/szól       vki"
"/st/snw/convey.mp3"       ,"convey"                                  ,"C1"   ,"közöl, átad"
"/st/snw/emerge.mp3"       ,"emerge"                                  ,"C1"   ,"kiderül"
"/st/snw/misinform.mp3"    ,"misinform"                               ,"C1"   ,"félretájékoztat"
"/st/snw/release.mp3"      ,"release"                                 ,"C1"   ,"közread"
"/st/snw/uncover.mp3"      ,"uncover"                                 ,"C1"   ,"leleplez"
"/st/snw/declaration.mp3"  ,"declaration"                             ,"C1"   ,"nyilatkozat, hivatalos bejelentés"
"/st/snw/confidential.mp3" ,"confidential"                            ,"C1"   ,"bizalmas, titkos"
"/st/snw/formal.mp3"       ,"formal"                                  ,"C1"   ,"hivatalos"
