"AUDIOFILE"                 ,"FOREIGNWORD"                         ,"LEVEL","NATIVEWORD"
"/st/snw/arise.mp3"         ,"arise"                               ,"C1"   ,"felmerül, adódik"
"/st/snw/constitute.mp3"    ,"constitute"                          ,"C1"   ,"alkot, képez vmit; jelent vmit"
"/st/snw/recreate.mp3"      ,"recreate"                            ,"C1"   ,"újraalkot, újrateremt"
"/st/snw/reproduce.mp3"     ,"reproduce"                           ,"C1"   ,"reprodukál vmit"
"/st/snw/trace.mp3"         ,"trace"                               ,"C1"   ,"nyomára bukkan, sikerül megtalálni vhol"
"/st/snw/arrival.mp3"       ,"arrival"                             ,"C1"   ,"érkező"
"/st/snw/birth.mp3"         ,"birth"                               ,"C1"   ,"születés, megszületés"
"/st/snw/cancellation.mp3"  ,"cancellation"                        ,"C1"   ,"lemondás, törlés"
"/st/snw/conservation.mp3"  ,"conservation"                        ,"C1"   ,"megőrzés"
"/st/snw/extinction.mp3"    ,"extinction"                          ,"C1"   ,"kipusztulás, kihalás"
"/st/snw/hunt.mp3"          ,"hunt"                                ,"C1"   ,"keresés, körözés"
"/st/snw/preservation.mp3"  ,"preservation"                        ,"C1"   ,"megóvás ; konzerválás"
"/st/snw/extinct.mp3"       ,"extinct"                             ,"C1"   ,"kihalt"
"/st/snw/forthcoming.mp3"   ,"forthcoming"                         ,"C1"   ,"rövidesen rendelkezésre álló"
"/st/snw/non-existent.mp3"  ,"non-existent"                        ,"C1"   ,"nem létező"
"/st/snw/sustainable.mp3"   ,"sustainable"                         ,"C1"   ,"fenntartható"
"/st/snw/unavailable.mp3"   ,"unavailable"                         ,"C1"   ,"elérhetetlen"
"/st/snk/r924.mp3"          ,"come up"                             ,"C1"   ,"felmerül, felbukkan    vkitől/vmitől vhonnan"
"/st/snk/r924.mp3"          ,"come up"                             ,"C1"   ,"felmerül, közbejön    vkitől/vmitől vhonnan"
"/st/snk/r998.mp3"          ,"derive (sth) from sth"               ,"C1"   ,"ered, fakad    vkitől/vmitől vhonnan"
"/st/snk/r1010.mp3"         ,"dispose of sth"                      ,"C1"   ,"megszabadul , túlad    vkitől/vmitől vhonnan"
"/st/snk/r1015.mp3"         ,"do away with sth"                    ,"C1"   ,"megszabadul , eltöröl    vkitől/vmitől vhonnan"
"/st/snk/r1727.mp3"         ,"kick in"                             ,"C1"   ,"hatni kezd, hatályba lép; beköszönt    vkitől/vmitől vhonnan"
"/st/snk/r1802.mp3"         ,"line sb/sth up"                      ,"C1"   ,"felsorakoztat    vkitől/vmitől vhonnan"
"/st/snk/r2539.mp3"         ,"stay away from sth"                  ,"C1"   ,"távol tartja magát /    vkitől/vmitől vhonnan"
"/st/snk/r554.mp3"          ,"be lacking in sth"                   ,"C1"   ,"híján van , hiányzik belőle  vminek  vmi  vmit"
"/st/snk/r2238.mp3"         ,"put something into practice"         ,"C1"   ,"átvisz a gyakorlatba  vminek  vmi  vmit"
"/st/snk/r2271.mp3"         ,"realize an ambition/dream/goal, etc.","C1"   ,"valóra váltja az ambícióit/álmait/céljait, stb.  vminek  vmi  vmit"
"/st/snw/place.mp3"         ,"place"                               ,"C1"   ,"vmilyen helyzetbe hoz, kitesz vminek"
"/st/snw/domain.mp3"        ,"domain"                              ,"C1"   ,"kör, terület"
"/st/snw/instance.mp3"      ,"instance"                            ,"C1"   ,"eset; példa"
"/st/snw/occurrence.mp3"    ,"occurrence"                          ,"C1"   ,"előfordulás; történés, megtörténés"
"/st/snw/phenomenon.mp3"    ,"phenomenon"                          ,"C1"   ,"jelenség"
"/st/snw/scope.mp3"         ,"scope"                               ,"C1"   ,"hatókör, kiterjedés"
"/st/snw/spectrum.mp3"      ,"spectrum"                            ,"C1"   ,"széles skála, lehetséges változatok"
"/st/snw/sphere.mp3"        ,"sphere"                              ,"C1"   ,"kör, szféra"
"/st/snw/twist.mp3"         ,"twist"                               ,"C1"   ,"fordulat"
"/st/snw/hectic.mp3"        ,"hectic"                              ,"C1"   ,"mozgalmas, lázas"
"/st/snw/sleepy.mp3"        ,"sleepy"                              ,"C1"   ,"álmos"
"/st/snw/tranquil.mp3"      ,"tranquil"                            ,"C1"   ,"nyugodt, békés"
"/st/snk/r923.mp3"          ,"come under sth"                      ,"C1"   ,"alá kerül , ki van téve  vmi"
"/st/snk/r321.mp3"          ,"anywhere near sth"                   ,"C1"   ,"közel    vmit  vmit"
"/st/snk/r480.mp3"          ,"be close to sth"                     ,"C1"   ,"közel    vmit  vmit"
"/st/snk/r655.mp3"          ,"be/come close to doing sth"          ,"C1"   ,"kis híján elér/megtesz    vmit  vmit"
"/st/snk/r1411.mp3"         ,"happen to do sth"                    ,"C1"   ,"véletlenül/történetesen csinál    vmit  vmit"
"/st/snw/abandon.mp3"       ,"abandon"                             ,"C1"   ,"abbahagy vmit; felad vmit"
"/st/snw/conclude.mp3"      ,"conclude"                            ,"C1"   ,"befejez vmivel ; befejeződik vmivel"
"/st/snw/proceed.mp3"       ,"proceed"                             ,"C1"   ,"folytat; folytatódik, halad"
"/st/snw/restart.mp3"       ,"restart"                             ,"C1"   ,"újrakezd, újraindít vmit"
"/st/snw/resume.mp3"        ,"resume"                              ,"C1"   ,"újrakezd, folytat vmit; újrakezdődik, folytatódik"
"/st/snw/suspend.mp3"       ,"suspend"                             ,"C1"   ,"felfüggeszt vmit, átmenetileg szüneteltet/félbeszakít vmit"
"/st/snw/wait.mp3"          ,"wait"                                ,"C1"   ,"vár"
"/st/snw/completion.mp3"    ,"completion"                          ,"C1"   ,"befejezés, elkészülés"
"/st/snw/initiative.mp3"    ,"initiative"                          ,"C1"   ,"kezdeményezés"
"/st/snw/initiative.mp3"    ,"initiative"                          ,"C1"   ,"kezdeményezőkészség"
"/st/snw/launch.mp3"        ,"launch"                              ,"C1"   ,"elindítás"
"/st/snw/active.mp3"        ,"active"                              ,"C1"   ,"aktív, működő"
"/st/snk/r806.mp3"          ,"call off ↔ sth"                      ,"C1"   ,"abbahagy, beszüntet  vmit"
"/st/snk/r906.mp3"          ,"come on"                             ,"C1"   ,"működni kezd, működésbe lép; kezd kialakulni  vmit"
"/st/snk/r1167.mp3"         ,"finish off ↔ (sth)"                  ,"C1"   ,"befejez  vmit"
"/st/snk/r1728.mp3"         ,"kick off"                            ,"C1"   ,"kezdődik  vmit"
"/st/snk/r1939.mp3"         ,"move on"                             ,"C1"   ,"továbbmegy , áttér  vmit"
"/st/snk/r2883.mp3"         ,"throw yourself into sth"             ,"C1"   ,"beleveti magát  vmit"
"/st/snk/r754.mp3"          ,"bring sth to an end"                 ,"C1"   ,"befejez; befejeződik"
"/st/snk/r1697.mp3"         ,"keep sb going"                       ,"C1"   ,"mozgásban/működésben tart"
"/st/snk/r2219.mp3"         ,"put a stop to sth"                   ,"C1"   ,"véget vet"
"/st/snk/r2647.mp3"         ,"take the initiative"                 ,"C1"   ,"átveszi/kezébe veszi a kezdeményezést"
"/st/snw/apply.mp3"         ,"apply"                               ,"C1"   ,"alkalmaz vmit"
"/st/snw/consume.mp3"       ,"consume"                             ,"C1"   ,"fogyaszt"
"/st/snw/displace.mp3"      ,"displace"                            ,"C1"   ,"helyére lép, felvált; elűz"
"/st/snw/employ.mp3"        ,"employ"                              ,"C1"   ,"alkalmaz/használ vmit"
"/st/snw/last.mp3"          ,"last"                                ,"C1"   ,"eltart, kitart vmeddig"
"/st/snw/manage.mp3"        ,"manage"                              ,"C1"   ,"kezel vmit"
"/st/snw/swap.mp3"          ,"swap"                                ,"C1"   ,"cserél, elcserél vmit"
"/st/snw/consumption.mp3"   ,"consumption"                         ,"C1"   ,"fogyasztás"
"/st/snw/replacement.mp3"   ,"replacement"                         ,"C1"   ,"csere, pótlás"
"/st/snw/substitution.mp3"  ,"substitution"                        ,"C1"   ,"helyettesítés; csere"
"/st/snw/usage.mp3"         ,"usage"                               ,"C1"   ,"használat, igénybevétel"
"/st/snk/r1360.mp3"         ,"go into sth"                         ,"C1"   ,"belemegy  vmibe"
"/st/snw/alternate_verb.mp3","alternate"                           ,"C1"   ,"váltakozik vmivel; váltogat vmit, felváltva csinál vmit"
"/st/snw/modify.mp3"        ,"modify"                              ,"C1"   ,"módosít"
"/st/snw/readjust.mp3"      ,"readjust"                            ,"C1"   ,"megigazít vmit"
"/st/snw/refresh.mp3"       ,"refresh"                             ,"C1"   ,"felfrissít vmit"
"/st/snw/reverse.mp3"       ,"reverse"                             ,"C1"   ,"megfordít  ; megcserél, felcserél"
"/st/snw/shift.mp3"         ,"shift"                               ,"C1"   ,"változik, megváltozik; változtat, megváltoztat"
"/st/snw/alteration.mp3"    ,"alteration"                          ,"C1"   ,"változás; változtatás"
"/st/snw/modification.mp3"  ,"modification"                        ,"C1"   ,"módosítás"
"/st/snw/shift.mp3"         ,"shift"                               ,"C1"   ,"változás"
"/st/snw/transformation.mp3","transformation"                      ,"C1"   ,"átalakulás; átalakítás"
"/st/snw/variable.mp3"      ,"variable"                            ,"C1"   ,"változó"
"/st/snw/changeable.mp3"    ,"changeable"                          ,"C1"   ,"változékony"
"/st/snw/stable.mp3"        ,"stable"                              ,"C1"   ,"stabil, biztos"
"/st/snw/steady.mp3"        ,"steady"                              ,"C1"   ,"stabil, egyenletes"
"/st/snw/variable.mp3"      ,"variable"                            ,"C1"   ,"változó; változékony"
"/st/snk/r2433.mp3"         ,"shake up ↔ sth"                      ,"C1"   ,"felráz  vmit"
"/st/snw/allocate.mp3"      ,"allocate"                            ,"C1"   ,"kiutal, kijelöl vmit vmilyen célra"
"/st/snw/assure.mp3"        ,"assure"                              ,"C1"   ,"biztosít vmit"
"/st/snw/feed.mp3"          ,"feed"                                ,"C1"   ,"adagol ; ellát"
"/st/snw/recover.mp3"       ,"recover"                             ,"C1"   ,"megtalál, visszaszerez"
"/st/snw/render.mp3"        ,"render"                              ,"C1"   ,"ad, nyújt"
"/st/snw/return.mp3"        ,"return"                              ,"C1"   ,"viszonoz"
"/st/snw/spare.mp3"         ,"spare"                               ,"C1"   ,"rászán vkire vmit"
"/st/snw/split.mp3"         ,"split"                               ,"C1"   ,"feloszt, megoszt vmit"
"/st/snw/withdraw.mp3"      ,"withdraw"                            ,"C1"   ,"visszavon"
"/st/snw/acceptance.mp3"    ,"acceptance"                          ,"C1"   ,"elfogadás"
"/st/snw/distribution.mp3"  ,"distribution"                        ,"C1"   ,"eloszlás, elosztás; elterjedés"
"/st/snw/provision.mp3"     ,"provision"                           ,"C1"   ,"biztosítás, gondoskodás"
"/st/snw/selective.mp3"     ,"selective"                           ,"C1"   ,"szelektív ; válogatós, igényes"
"/st/snw/among.mp3"         ,"among"                               ,"C1"   ,"között, közt"
"/st/snk/r1013.mp3"         ,"divide sth (up) among/between sb"    ,"C1"   ,"szétoszt/eloszt között  vmit vkik"
