"AUDIOFILE"                 ,"FOREIGNWORD"                  ,"LEVEL","NATIVEWORD"
"/st/snw/commute.mp3"       ,"commute"                      ,"C1"   ,"ingázik, bejár"
"/st/snw/dismiss.mp3"       ,"dismiss"                      ,"C1"   ,"elbocsát"
"/st/snw/fill.mp3"          ,"fill"                         ,"C1"   ,"betölt"
"/st/snw/recruit.mp3"       ,"recruit"                      ,"C1"   ,"toboroz"
"/st/snw/allowance.mp3"     ,"allowance"                    ,"C1"   ,"juttatás, pótlék, térítés"
"/st/snw/dismissal.mp3"     ,"dismissal"                    ,"C1"   ,"elbocsátás"
"/st/snw/expenses.mp3"      ,"expenses"                     ,"C1"   ,"költségek"
"/st/snw/perk.mp3"          ,"perk"                         ,"C1"   ,"mellékes juttatás"
"/st/snw/recruitment.mp3"   ,"recruitment"                  ,"C1"   ,"toborzás"
"/st/snw/redundancy.mp3"    ,"redundancy"                   ,"C1"   ,"munkaerő-felesleg;  leépítés"
"/st/snw/rise.mp3"          ,"rise"                         ,"C1"   ,"fizetésemelés"
"/st/snw/service.mp3"       ,"service"                      ,"C1"   ,"szolgálat, munkaviszony"
"/st/snw/striker.mp3"       ,"striker"                      ,"C1"   ,"sztrájkoló"
"/st/snw/vacancy.mp3"       ,"vacancy"                      ,"C1"   ,"üresedés"
"/st/snw/gross.mp3"         ,"gross"                        ,"C1"   ,"bruttó, nyers"
"/st/snw/underpaid.mp3"     ,"underpaid"                    ,"C1"   ,"alulfizetett"
"/st/snw/unpaid.mp3"        ,"unpaid"                       ,"C1"   ,"fizetetlen, nem fizetett/díjazott; fizetség nélkül végzett"
"/st/snk/r1755.mp3"         ,"lay off ↔ sb"                 ,"C1"   ,"elbocsát"
"/st/snk/r2757.mp3"         ,"the labour market"            ,"C1"   ,"munkaerőpiac"
"/st/snk/r2839.mp3"         ,"the unemployed"               ,"C1"   ,"a munkanélküliek"
"/st/snw/appoint.mp3"       ,"appoint"                      ,"C1"   ,"kinevez vkit"
"/st/snw/hold.mp3"          ,"hold"                         ,"C1"   ,"betölt ; visel"
"/st/snw/practise.mp3"      ,"practise"                     ,"C1"   ,"praktizál"
"/st/snw/administrator.mp3" ,"administrator"                ,"C1"   ,"ügyvezető; ügyintéző, adminisztrátor"
