"AUDIOFILE"             ,"FOREIGNWORD"                 ,"LEVEL","NATIVEWORD"
"/st/snw/character.mp3" ,"character"                   ,"C1"   ,"betű, írásjel, karakter"
"/st/snw/gerund.mp3"    ,"gerund"                      ,"C1"   ,"igéből '-ing' végződéssel képzett főnév"
"/st/snw/jargon.mp3"    ,"jargon"                      ,"C1"   ,"szakmai nyelv, zsargon"
"/st/snw/language.mp3"  ,"language"                    ,"C1"   ,"nyelv"
"/st/snw/register.mp3"  ,"register"                    ,"C1"   ,"nyelvi regiszter"
"/st/snw/slang.mp3"     ,"slang"                       ,"C1"   ,"szleng"
"/st/snw/usage.mp3"     ,"usage"                       ,"C1"   ,"nyelvhasználat"
"/st/snw/vocabulary.mp3","vocabulary"                  ,"C1"   ,"szókincs"
"/st/snw/bilingual.mp3" ,"bilingual"                   ,"C1"   ,"kétnyelvű ; két nyelven beszélő"
"/st/snw/linguistic.mp3","linguistic"                  ,"C1"   ,"nyelvi; nyelvészeti"
"/st/snk/r759.mp3"      ,"broken English/Spanish, etc.","C1"   ,"tört angol/spanyol"
"/st/snk/r1220.mp3"     ,"foul language"               ,"C1"   ,"durva/közönséges beszéd"
"/st/snk/r2578.mp3"     ,"strong language"             ,"C1"   ,"erős/durva kifejezések"
