"AUDIOFILE"                ,"FOREIGNWORD"  ,"LEVEL","NATIVEWORD"
"/st/snw/draw.mp3"         ,"draw"         ,"C1"   ,"döntetlen eredményt ér el"
"/st/snw/eliminate.mp3"    ,"eliminate"    ,"C1"   ,"kiselejtez"
"/st/snw/judge.mp3"        ,"judge"        ,"C1"   ,"elbírál, bíráskodik"
"/st/snw/bronze.mp3"       ,"bronze"       ,"C1"   ,"bronz"
"/st/snw/contestant.mp3"   ,"contestant"   ,"C1"   ,"versenyző"
"/st/snw/crawl.mp3"        ,"crawl"        ,"C1"   ,"gyorsúszás; úszás váltogatott karral"
"/st/snw/jury.mp3"         ,"jury"         ,"C1"   ,"versenybíróság, zsűri"
"/st/snw/leader.mp3"       ,"leader"       ,"C1"   ,"első ; -vezető"
"/st/snw/qualification.mp3","qualification","C1"   ,"kvalifikálás, megfelelés"
"/st/snw/rival.mp3"        ,"rival"        ,"C1"   ,"versenytárs, ellenfél"
"/st/snw/stroke.mp3"       ,"stroke"       ,"C1"   ,"-úszás"
"/st/snw/walker.mp3"       ,"walker"       ,"C1"   ,"gyalogló, sétáló"
"/st/snw/win.mp3"          ,"win"          ,"C1"   ,"győzelem, nyereség"
"/st/snw/sporty.mp3"       ,"sporty"       ,"C1"   ,"sportos"
"/st/snw/away.mp3"         ,"away"         ,"C1"   ,"idegenben"
"/st/snw/versus.mp3"       ,"versus"       ,"C1"   ,"ellen"
