"AUDIOFILE"               ,"FOREIGNWORD"                        ,"LEVEL","NATIVEWORD"
"/st/snw/divide.mp3"      ,"divide"                             ,"C1"   ,"oszt"
"/st/snw/overestimate.mp3","overestimate"                       ,"C1"   ,"túlbecsül, túlértékel vmit"
"/st/snw/total.mp3"       ,"total"                              ,"C1"   ,"összead; kitesz vmennyit"
"/st/snw/deduction.mp3"   ,"deduction"                          ,"C1"   ,"levonás"
"/st/snw/figure.mp3"      ,"figure"                             ,"C1"   ,"szám, számadat"
"/st/snw/inaccuracy.mp3"  ,"inaccuracy"                         ,"C1"   ,"pontatlanság"
"/st/snw/projection.mp3"  ,"projection"                         ,"C1"   ,"tervezés, előre vetítés"
"/st/snw/proportion.mp3"  ,"proportion"                         ,"C1"   ,"rész, hányad; arány"
"/st/snw/ratio.mp3"       ,"ratio"                              ,"C1"   ,"arány, arányszám, viszonyszám"
"/st/snw/statistic.mp3"   ,"statistic"                          ,"C1"   ,"statisztika"
"/st/snw/multiple.mp3"    ,"multiple"                           ,"C1"   ,"többszörös; összetett"
"/st/snw/statistical.mp3" ,"statistical"                        ,"C1"   ,"statisztikai"
"/st/snw/out.mp3"         ,"out"                                ,"C1"   ,"eltér , téves"
"/st/snk/r210.mp3"        ,"a rule of thumb"                    ,"C1"   ,"gyakorlati szabály"
"/st/snk/r1619.mp3"       ,"in the region of sth"               ,"C1"   ,"körülbelül"
"/st/snw/cap.mp3"         ,"cap"                                ,"C1"   ,"maximum limitet szab meg"
"/st/snw/set.mp3"         ,"set"                                ,"C1"   ,"megszab"
"/st/snw/dual.mp3"        ,"dual"                               ,"C1"   ,"kettős"
"/st/snw/sole.mp3"        ,"sole"                               ,"C1"   ,"egyetlen, egyedüli; egyszemélyes, kizárólagos"
"/st/snw/this.mp3"        ,"this"                               ,"C1"   ,"ennyire, ilyen"
"/st/snk/r163.mp3"        ,"a further 10/100, etc."             ,"C1"   ,"további 10/100/stb."
"/st/snk/r345.mp3"        ,"as many as"                         ,"C1"   ,"annyi ..., mint"
"/st/snw/comprise.mp3"    ,"comprise"                           ,"C1"   ,"alkot"
"/st/snw/outnumber.mp3"   ,"outnumber"                          ,"C1"   ,"többségben van, számban/létszámban felülmúl"
"/st/snw/outweigh.mp3"    ,"outweigh"                           ,"C1"   ,"túlsúlyban van, többet nyom a latban, fontosabb"
"/st/snw/excess_noun.mp3" ,"excess"                             ,"C1"   ,"felesleg, túl sok vmi"
"/st/snw/portion.mp3"     ,"portion"                            ,"C1"   ,"rész"
"/st/snw/ample.mp3"       ,"ample"                              ,"C1"   ,"bőven elég, bőséges"
"/st/snw/countless.mp3"   ,"countless"                          ,"C1"   ,"számtalan"
"/st/snw/excess_adj.mp3"  ,"excess"                             ,"C1"   ,"többlet-, túl- , plusz"
"/st/snw/excessive.mp3"   ,"excessive"                          ,"C1"   ,"túlzott, mértéktelen"
"/st/snw/generous.mp3"    ,"generous"                           ,"C1"   ,"bőséges"
"/st/snw/inadequate.mp3"  ,"inadequate"                         ,"C1"   ,"elégtelen"
"/st/snw/insufficient.mp3","insufficient"                       ,"C1"   ,"nem elegendő, kevés"
