"AUDIOFILE"              ,"FOREIGNWORD"                               ,"LEVEL","NATIVEWORD"
"/st/snw/anticipate.mp3" ,"anticipate"                                ,"C1"   ,"előre lát vmit, számít vmire"
"/st/snw/envisage.mp3"   ,"envisage"                                  ,"C1"   ,"előre lát, elképzel"
"/st/snw/envision.mp3"   ,"envision"                                  ,"C1"   ,"előre lát, elképzel"
"/st/snw/foresee.mp3"    ,"foresee"                                   ,"C1"   ,"előre lát, megjósol vmit"
"/st/snw/misfortune.mp3" ,"misfortune"                                ,"C1"   ,"balszerencse; szerencsétlenség"
"/st/snw/odds.mp3"       ,"odds"                                      ,"C1"   ,"valószínűség, esély"
"/st/snw/outlook.mp3"    ,"outlook"                                   ,"C1"   ,"kilátás, kilátások"
"/st/snw/probability.mp3","probability"                               ,"C1"   ,"valószínűség; eshetőség"
"/st/snw/vision.mp3"     ,"vision"                                    ,"C1"   ,"jövőkép"
"/st/snw/random.mp3"     ,"random"                                    ,"C1"   ,"esetleges, véletlenszerű, találomra kiválasztott"
"/st/snw/unforeseen.mp3" ,"unforeseen"                                ,"C1"   ,"előreláthatatlan, előre nem látható"
"/st/snw/easily.mp3"     ,"easily"                                    ,"C1"   ,"könnyen"
"/st/snw/happily.mp3"    ,"happily"                                   ,"C1"   ,"szerencsére"
"/st/snw/likely.mp3"     ,"likely"                                    ,"C1"   ,"valószínűleg"
"/st/snw/randomly.mp3"   ,"randomly"                                  ,"C1"   ,"esetlegesen, véletlenszerűen, találomra"
"/st/snk/r1795.mp3"      ,"lie ahead"                                 ,"C1"   ,"vár rá  vmi"
"/st/snk/r392.mp3"       ,"at random"                                 ,"C1"   ,"véletlenszerűen, találomra"
"/st/snk/r532.mp3"       ,"be in luck"                                ,"C1"   ,"szerencséje van"
"/st/snk/r1594.mp3"      ,"in store"                                  ,"C1"   ,"várható"
"/st/snk/r1658.mp3"      ,"it's only a matter of time"                ,"C1"   ,"csak idő kérdése"
"/st/snk/r2061.mp3"      ,"on the horizon"                            ,"C1"   ,"a látóhatáron van"
"/st/snk/r2203.mp3"      ,"prospective buyers/employers/parents, etc.","C1"   ,"várható/leendő vásárlók/munkáltatók/szülők/stb."
"/st/snk/r2927.mp3"      ,"toss (a coin)"                             ,"C1"   ,"pénzt feldob"
"/st/snw/allow.mp3"      ,"allow"                                     ,"C1"   ,"lehetővé tesz vmit"
"/st/snw/permit_verb.mp3","permit"                                    ,"C1"   ,"megenged, lehetővé tesz"
"/st/snw/capability.mp3" ,"capability"                                ,"C1"   ,"képesség"
"/st/snw/inability.mp3"  ,"inability"                                 ,"C1"   ,"képtelenség vmire, tehetetlenség, alkalmatlanság"
"/st/snw/necessity.mp3"  ,"necessity"                                 ,"C1"   ,"szükség, szükségesség"
"/st/snw/necessity.mp3"  ,"necessity"                                 ,"C1"   ,"szükséglet"
"/st/snw/stamina.mp3"    ,"stamina"                                   ,"C1"   ,"kitartás, állóképesség"
"/st/snw/feasible.mp3"   ,"feasible"                                  ,"C1"   ,"megvalósítható"
"/st/snw/inevitable.mp3" ,"inevitable"                                ,"C1"   ,"elkerülhetetlen"
"/st/snw/obligatory.mp3" ,"obligatory"                                ,"C1"   ,"kötelező"
"/st/snw/unavoidable.mp3","unavoidable"                               ,"C1"   ,"elkerülhetetlen"
"/st/snw/unthinkable.mp3","unthinkable"                               ,"C1"   ,"elképzelhetetlen"
"/st/snw/inevitably.mp3" ,"inevitably"                                ,"C1"   ,"elkerülhetetlenül"
"/st/snk/r139.mp3"       ,"a call for sth"                            ,"C1"   ,"szükség, igény  vmire  vmit  vki/vmi   vmire"
"/st/snk/r522.mp3"       ,"be in a position to do sth"                ,"C1"   ,"módjában áll megtenni  vmire  vmit  vki/vmi   vmire"
"/st/snk/r560.mp3"       ,"be lost without sb/sth"                    ,"C1"   ,"el van veszve nélkül  vmire  vmit  vki/vmi   vmire"
"/st/snk/r1142.mp3"      ,"feel compelled to do sth"                  ,"C1"   ,"kénytelen  vmire  vmit  vki/vmi   vmire"
"/st/snk/r1389.mp3"      ,"grab the opportunity/chance"               ,"C1"   ,"megragadja a lehetőséget/alkalmat  vmire  vmit  vki/vmi   vmire"
"/st/snk/r93.mp3"        ,"I/you/we, etc. will just have to do sth"   ,"C1"   ,"csak ... kell  vmire  vmit  vki/vmi   vmire"
"/st/snk/r1639.mp3"      ,"incapable of sth/doing sth"                ,"C1"   ,"képtelen  vmire  vmit  vki/vmi   vmire"
