"AUDIOFILE"             ,"FOREIGNWORD"      ,"LEVEL","NATIVEWORD"
"/st/snw/block.mp3"     ,"block"            ,"C1"   ,"elzár, akadályoz"
"/st/snw/detect.mp3"    ,"detect"           ,"C1"   ,"észlel, érzékel"
"/st/snw/digest.mp3"    ,"digest"           ,"C1"   ,"emészt, megemészt"
"/st/snw/exhaust.mp3"   ,"exhaust"          ,"C1"   ,"kimerít ; kifáraszt"
"/st/snw/exist.mp3"     ,"exist"            ,"C1"   ,"megél, fenntartja magát"
"/st/snw/observe.mp3"   ,"observe"          ,"C1"   ,"észrevesz, észlel vmit"
"/st/snw/relax.mp3"     ,"relax"            ,"C1"   ,"lazul, ellazul ; lazít, ellazít"
"/st/snw/show.mp3"      ,"show"             ,"C1"   ,"mutatkozik, láthatóvá válik; mutat, láthatóvá tesz vmit"
"/st/snw/angle.mp3"     ,"angle"            ,"C1"   ,"szög, látószög"
"/st/snw/deodorant.mp3" ,"deodorant"        ,"C1"   ,"dezodor"
"/st/snw/digestion.mp3" ,"digestion"        ,"C1"   ,"emésztés"
"/st/snw/glimpse.mp3"   ,"glimpse"          ,"C1"   ,"futó pillantás"
"/st/snw/grace.mp3"     ,"grace"            ,"C1"   ,"kecsesség, finomság"
"/st/snw/hygiene.mp3"   ,"hygiene"          ,"C1"   ,"higiénia"
"/st/snw/nap.mp3"       ,"nap"              ,"C1"   ,"szundítás"
"/st/snw/organ.mp3"     ,"organ"            ,"C1"   ,"belső szerv"
"/st/snw/posture.mp3"   ,"posture"          ,"C1"   ,"testtartás"
"/st/snw/pulse.mp3"     ,"pulse"            ,"C1"   ,"érverés, pulzus"
"/st/snw/spine.mp3"     ,"spine"            ,"C1"   ,"gerinc, hátgerinc, gerincoszlop"
"/st/snw/vein.mp3"      ,"vein"             ,"C1"   ,"véna, ér"
"/st/snw/well-being.mp3","well-being"       ,"C1"   ,"jólét, jó egészség"
"/st/snw/dry.mp3"       ,"dry"              ,"C1"   ,"száraz"
"/st/snw/feminine.mp3"  ,"feminine"         ,"C1"   ,"női, nőies; nőnemű"
"/st/snw/foul.mp3"      ,"foul"             ,"C1"   ,"büdös; undorító"
"/st/snw/graceful.mp3"  ,"graceful"         ,"C1"   ,"kecses, finom"
"/st/snw/keen.mp3"      ,"keen"             ,"C1"   ,"éles, élénk"
"/st/snw/masculine.mp3" ,"masculine"        ,"C1"   ,"férfias; hímnemű"
"/st/snw/noticeable.mp3","noticeable"       ,"C1"   ,"észrevehető, megfigyelhető"
"/st/snw/sharp.mp3"     ,"sharp"            ,"C1"   ,"éles"
"/st/snw/unnoticed.mp3" ,"unnoticed"        ,"C1"   ,"észrevétlen"
"/st/snw/visible.mp3"   ,"visible"          ,"C1"   ,"látható"
"/st/snw/noticeably.mp3","noticeably"       ,"C1"   ,"észrevehetően"
"/st/snk/r227.mp3"      ,"a sleepless night","C1"   ,"álmatlan éjszaka"
"/st/snk/r2158.mp3"     ,"personal hygiene" ,"C1"   ,"testápolás"
