"AUDIOFILE"                    ,"FOREIGNWORD"                            ,"LEVEL","NATIVEWORD"
"/st/snw/discriminate.mp3"     ,"discriminate"                           ,"C1"   ,"különbséget tesz"
"/st/snw/starve.mp3"           ,"starve"                                 ,"C1"   ,"éhezik; éhen hal; éheztet;"
"/st/snw/aid.mp3"              ,"aid"                                    ,"C1"   ,"segély"
"/st/snw/boundary.mp3"         ,"boundary"                               ,"C1"   ,"határ"
"/st/snw/discrimination.mp3"   ,"discrimination"                         ,"C1"   ,"megkülönböztetés; felismerés"
"/st/snw/empire.mp3"           ,"empire"                                 ,"C1"   ,"birodalom"
"/st/snw/globalization.mp3"    ,"globalization"                          ,"C1"   ,"globalizáció"
"/st/snw/humanity.mp3"         ,"humanity"                               ,"C1"   ,"az emberiség"
"/st/snw/power.mp3"            ,"power"                                  ,"C1"   ,"nagyhatalom"
"/st/snw/privilege.mp3"        ,"privilege"                              ,"C1"   ,"előjog, kiváltság"
"/st/snw/republic.mp3"         ,"republic"                               ,"C1"   ,"köztársaság"
"/st/snw/slavery.mp3"          ,"slavery"                                ,"C1"   ,"rabszolgaság"
"/st/snw/state.mp3"            ,"state"                                  ,"C1"   ,"állam"
"/st/snw/subsidy.mp3"          ,"subsidy"                                ,"C1"   ,"támogatás"
"/st/snw/deprived.mp3"         ,"deprived"                               ,"C1"   ,"hátrányos helyzetű"
"/st/snw/disadvantaged.mp3"    ,"disadvantaged"                          ,"C1"   ,"hátrányos helyzetű"
"/st/snw/homeless.mp3"         ,"homeless"                               ,"C1"   ,"hajléktalan"
"/st/snw/privileged.mp3"       ,"privileged"                             ,"C1"   ,"kiváltságos, előjoggal rendelkező"
"/st/snk/r1514.mp3"            ,"in aid of sb/sth"                       ,"C1"   ,"támogatására  vkinek/vminek"
"/st/snk/r2753.mp3"            ,"the homeless"                           ,"C1"   ,"a hajléktalanok  vkinek/vminek"
"/st/snw/elite.mp3"            ,"elite"                                  ,"C1"   ,"elit, előkelő"
"/st/snw/minority.mp3"         ,"minority"                               ,"C1"   ,"kisebbség"
"/st/snw/race.mp3"             ,"race"                                   ,"C1"   ,"faj"
"/st/snw/status.mp3"           ,"status"                                 ,"C1"   ,"státusz ; társadalmi rang/elismertség"
