"AUDIOFILE"                  ,"FOREIGNWORD"              ,"LEVEL","NATIVEWORD"
"/st/snw/misbehave.mp3"      ,"misbehave"                ,"C1"   ,"rosszul viselkedik"
"/st/snw/overdo.mp3"         ,"overdo"                   ,"C1"   ,"eltúloz, túlzásba visz vmit; agyonfőz, túlsüt vmit"
"/st/snw/control.mp3"        ,"control"                  ,"C1"   ,"önuralom"
"/st/snw/discipline.mp3"     ,"discipline"               ,"C1"   ,"önfegyelem"
"/st/snw/disrespect.mp3"     ,"disrespect"               ,"C1"   ,"tiszteletlenség"
"/st/snw/rudeness.mp3"       ,"rudeness"                 ,"C1"   ,"gorombaság, udvariatlanság"
"/st/snw/anti-social.mp3"    ,"anti-social"              ,"C1"   ,"közösségellenes, nem közösségi, antiszociális"
"/st/snw/filthy.mp3"         ,"filthy"                   ,"C1"   ,"trágár"
"/st/snw/tolerant.mp3"       ,"tolerant"                 ,"C1"   ,"türelmes, elnéző, toleráns"
"/st/snw/dishonestly.mp3"    ,"dishonestly"              ,"C1"   ,"tisztességtelenül"
"/st/snw/rudely.mp3"         ,"rudely"                   ,"C1"   ,"udvariatlanul, durván"
"/st/snk/r1251.mp3"          ,"get a grip (on yourself)" ,"C1"   ,"összeszedi magát"
"/st/snk/r1714.mp3"          ,"keep your cool"           ,"C1"   ,"megőrzi a hidegvérét"
"/st/snk/r1853.mp3"          ,"lose your head"           ,"C1"   ,"elveszíti a fejét"
"/st/snk/r2732.mp3"          ,"the final/last straw"     ,"C1"   ,"az utolsó csepp a pohárban"
"/st/snk/r2986.mp3"          ,"wait and see"             ,"C1"   ,"türelmesen vár, kivárja a végét"
"/st/snw/imitate.mp3"        ,"imitate"                  ,"C1"   ,"utánoz, imitál vkit/vmit"
"/st/snw/glory.mp3"          ,"glory"                    ,"C1"   ,"dicsőség"
"/st/snw/merit.mp3"          ,"merit"                    ,"C1"   ,"érdem, érték; az érdemei/értékei vkinek/vminek"
"/st/snw/prestige.mp3"       ,"prestige"                 ,"C1"   ,"tekintély, presztízs"
"/st/snw/privilege.mp3"      ,"privilege"                ,"C1"   ,"megtiszteltetés, kiváltság"
"/st/snw/regard.mp3"         ,"regard"                   ,"C1"   ,"tisztelet"
"/st/snw/role_model.mp3"     ,"role model"               ,"C1"   ,"példakép"
"/st/snw/conscientious.mp3"  ,"conscientious"            ,"C1"   ,"lelkiismeretes"
"/st/snw/considerate.mp3"    ,"considerate"              ,"C1"   ,"figyelmes"
"/st/snw/honoured.mp3"       ,"honoured"                 ,"C1"   ,"megtisztelt"
"/st/snw/moral.mp3"          ,"moral"                    ,"C1"   ,"erkölcsös"
"/st/snw/noble.mp3"          ,"noble"                    ,"C1"   ,"nemes, nemes lelkű"
"/st/snw/prestigious.mp3"    ,"prestigious"              ,"C1"   ,"tekintélyes, köztiszteletben álló"
"/st/snw/respectful.mp3"     ,"respectful"               ,"C1"   ,"tiszteletteljes"
"/st/snw/formally.mp3"       ,"formally"                 ,"C1"   ,"formaságoknak eleget téve"
"/st/snk/r2287.mp3"          ,"relate to sb"             ,"C1"   ,"megért, megértést tanúsít iránt  vki"
"/st/snw/attack.mp3"         ,"attack"                   ,"C1"   ,"támad, megtámad vkit/vmit"
"/st/snw/distort.mp3"        ,"distort"                  ,"C1"   ,"eltorzít, meghamisít ; torzít, eltorzít vmit"
"/st/snw/mislead.mp3"        ,"mislead"                  ,"C1"   ,"félrevezet, megtéveszt"
"/st/snw/accusation.mp3"     ,"accusation"               ,"C1"   ,"vád, vádolás"
"/st/snw/disapproval.mp3"    ,"disapproval"              ,"C1"   ,"rosszallás"
"/st/snw/fairness.mp3"       ,"fairness"                 ,"C1"   ,"igazságosság, korrektség"
"/st/snw/gesture.mp3"        ,"gesture"                  ,"C1"   ,"gesztus, jelzés"
"/st/snw/greed.mp3"          ,"greed"                    ,"C1"   ,"mohóság; kapzsiság"
"/st/snw/injustice.mp3"      ,"injustice"                ,"C1"   ,"igazságtalanság"
"/st/snw/jealousy.mp3"       ,"jealousy"                 ,"C1"   ,"féltékenység"
"/st/snw/norm.mp3"           ,"norm"                     ,"C1"   ,"szabály, norma"
"/st/snw/self-esteem.mp3"    ,"self-esteem"              ,"C1"   ,"önbecsülés"
"/st/snw/selfishness.mp3"    ,"selfishness"              ,"C1"   ,"önzés"
"/st/snw/shame.mp3"          ,"shame"                    ,"C1"   ,"szégyen, szégyenérzet; szégyenteljes dolog"
"/st/snw/shyness.mp3"        ,"shyness"                  ,"C1"   ,"félénkség, bátortalanság"
"/st/snw/strength.mp3"       ,"strength"                 ,"C1"   ,"erő"
"/st/snw/acceptable.mp3"     ,"acceptable"               ,"C1"   ,"elfogadható, megengedhető"
"/st/snw/courageous.mp3"     ,"courageous"               ,"C1"   ,"bátor"
"/st/snw/direct.mp3"         ,"direct"                   ,"C1"   ,"egyenes, nyílt"
"/st/snw/false.mp3"          ,"false"                    ,"C1"   ,"színlelt, hamis"
"/st/snw/genuine.mp3"        ,"genuine"                  ,"C1"   ,"őszinte ; becsületes"
"/st/snw/helpless.mp3"       ,"helpless"                 ,"C1"   ,"gyámoltalan, tehetetlen; önkéntelen"
"/st/snw/heroic.mp3"         ,"heroic"                   ,"C1"   ,"hősies"
"/st/snw/inappropriate.mp3"  ,"inappropriate"            ,"C1"   ,"nem megfelelő , alkalmatlan"
"/st/snw/insecure.mp3"       ,"insecure"                 ,"C1"   ,"bizonytalan, gátlásos"
"/st/snw/just.mp3"           ,"just"                     ,"C1"   ,"igazságos; jogos"
