"AUDIOFILE"                 ,"FOREIGNWORD"                                      ,"LEVEL","NATIVEWORD"
"/st/snw/classify.mp3"      ,"classify"                                         ,"C1"   ,"osztályba sorol, osztályoz"
"/st/snw/deteriorate.mp3"   ,"deteriorate"                                      ,"C1"   ,"elfajul, romlik, megromlik"
"/st/snw/grade.mp3"         ,"grade"                                            ,"C1"   ,"besorol, osztályoz"
"/st/snw/make.mp3"          ,"make"                                             ,"C1"   ,"válik/lesz vmi belőle"
"/st/snw/meet.mp3"          ,"meet"                                             ,"C1"   ,"kielégít, megfelel"
"/st/snw/rank.mp3"          ,"rank"                                             ,"C1"   ,"vmilyen helyre/pozícióba rangsorol; rangsorban vmilyen helyet/pozíciót betölt; számít vminek"
"/st/snw/rate.mp3"          ,"rate"                                             ,"C1"   ,"értékel, tart vminek/vmilyennek"
"/st/snw/boundary.mp3"      ,"boundary"                                         ,"C1"   ,"határ"
"/st/snw/bracket.mp3"       ,"bracket"                                          ,"C1"   ,"kategória"
"/st/snw/glamour.mp3"       ,"glamour"                                          ,"C1"   ,"ragyogás, varázs"
"/st/snw/glory.mp3"         ,"glory"                                            ,"C1"   ,"dísz, különleges szépség, pompás volta vminek"
"/st/snw/nature.mp3"        ,"nature"                                           ,"C1"   ,"természet, fajta, jelleg"
"/st/snw/paradise.mp3"      ,"paradise"                                         ,"C1"   ,"paradicsom, édenkert; mennyország"
"/st/snw/rating.mp3"        ,"rating"                                           ,"C1"   ,"mutató, besorolás"
"/st/snw/suitability.mp3"   ,"suitability"                                      ,"C1"   ,"alkalmasság"
"/st/snw/appalling.mp3"     ,"appalling"                                        ,"C1"   ,"förtelmes, csapnivaló, pocsék"
"/st/snw/average.mp3"       ,"average"                                          ,"C1"   ,"átlagos, közepes, középszerű"
"/st/snw/cheap.mp3"         ,"cheap"                                            ,"C1"   ,"olcsó, igénytelen, gyenge minőségű"
"/st/snw/distinctive.mp3"   ,"distinctive"                                      ,"C1"   ,"sajátos, jellegzetes"
"/st/snw/fabulous.mp3"      ,"fabulous"                                         ,"C1"   ,"óriási, mesés"
"/st/snw/fair.mp3"          ,"fair"                                             ,"C1"   ,"elfogadható, megfelelő"
"/st/snw/fit.mp3"           ,"fit"                                              ,"C1"   ,"megfelelő, alkalmas, használható, jó vmire"
"/st/snw/heavenly.mp3"      ,"heavenly"                                         ,"C1"   ,"mennyei"
"/st/snw/inadequate.mp3"    ,"inadequate"                                       ,"C1"   ,"alkalmatlan, nem megfelelő"
"/st/snw/inferior.mp3"      ,"inferior"                                         ,"C1"   ,"alacsonyabb rendű ; rosszabb minőségű"
"/st/snw/primitive.mp3"     ,"primitive"                                        ,"C1"   ,"kezdetleges, primitív"
"/st/snw/splendid.mp3"      ,"splendid"                                         ,"C1"   ,"gyönyörű, csodálatos, pompás; nagyszerű"
"/st/snw/superior.mp3"      ,"superior"                                         ,"C1"   ,"átlagon felüli, különb vkinél/vminél"
"/st/snw/magnificently.mp3" ,"magnificently"                                    ,"C1"   ,"csodálatosan, nagyszerűen"
"/st/snw/poorly.mp3"        ,"poorly"                                           ,"C1"   ,"rosszul, gyengén"
"/st/snk/r885.mp3"          ,"come across"                                      ,"C1"   ,"benyomást kelt  vmilyen"
"/st/snk/r620.mp3"          ,"be suited to/for sth"                             ,"C1"   ,"alkalmas/megfelel  vmire  vkire/vmire  vmilyen  vkinek     vminek   vmilyennek/vminek vkit/vmit"
"/st/snk/r641.mp3"          ,"be unique to sb/sth"                              ,"C1"   ,"kizárólagosan jellemző  vmire  vkire/vmire  vmilyen  vkinek     vminek   vmilyennek/vminek vkit/vmit"
"/st/snk/r869.mp3"          ,"class sb/sth as sth"                              ,"C1"   ,"osztályba/kategóriába sorol  vmire  vkire/vmire  vmilyen  vkinek     vminek   vmilyennek/vminek vkit/vmit"
"/st/snk/r1101.mp3"         ,"exceed sb's expectations"                         ,"C1"   ,"meghaladja a várakozásait  vmire  vkire/vmire  vmilyen  vkinek     vminek   vmilyennek/vminek vkit/vmit"
"/st/snk/r1172.mp3"         ,"first-/second-/third-rate"                        ,"C1"   ,"első-/másod-/harmadosztályú  vmire  vkire/vmire  vmilyen  vkinek     vminek   vmilyennek/vminek vkit/vmit"
"/st/snk/r1238.mp3"         ,"fulfil a function/need/role, etc."                ,"C1"   ,"rendeltetést/szerepet/stb. betölt  vmire  vkire/vmire  vmilyen  vkinek     vminek   vmilyennek/vminek vkit/vmit"
"/st/snk/r1240.mp3"         ,"fulfil criteria/requirements/qualifications, etc.","C1"   ,"kritériumoknak/követelményeknek/képesítéseknek megfelel  vmire  vkire/vmire  vmilyen  vkinek     vminek   vmilyennek/vminek vkit/vmit"
"/st/snk/r1994.mp3"         ,"not much of a sth"                                ,"C1"   ,"nem valami jó/nagy  vmire  vkire/vmire  vmilyen  vkinek     vminek   vmilyennek/vminek vkit/vmit"
"/st/snk/r2325.mp3"         ,"room for improvement"                             ,"C1"   ,"van mit javítani  vmire  vkire/vmire  vmilyen  vkinek     vminek   vmilyennek/vminek vkit/vmit"
"/st/snk/r2354.mp3"         ,"satisfy conditions/needs/requirements, etc."      ,"C1"   ,"kielégíti a feltételeket/szükségleteket/követelményeket/stb.  vmire  vkire/vmire  vmilyen  vkinek     vminek   vmilyennek/vminek vkit/vmit"
"/st/snk/r2710.mp3"         ,"the cream of sth"                                 ,"C1"   ,"színe-java , a legjobbak  vmire  vkire/vmire  vmilyen  vkinek     vminek   vmilyennek/vminek vkit/vmit"
"/st/snk/r2780.mp3"         ,"the next best thing"                              ,"C1"   ,"a második legjobb dolog  vmire  vkire/vmire  vmilyen  vkinek     vminek   vmilyennek/vminek vkit/vmit"
"/st/snk/r2863.mp3"         ,"think of sb/sth as sth"                           ,"C1"   ,"tart/vél/gondol  vmire  vkire/vmire  vmilyen  vkinek     vminek   vmilyennek/vminek vkit/vmit"
"/st/snk/r3013.mp3"         ,"will do"                                          ,"C1"   ,"jó lesz, megfelel  vmire  vkire/vmire  vmilyen  vkinek     vminek   vmilyennek/vminek vkit/vmit"
"/st/snw/deficiency.mp3"    ,"deficiency"                                       ,"C1"   ,"hiányosság, fogyatékosság"
"/st/snw/perfection.mp3"    ,"perfection"                                       ,"C1"   ,"tökéletesség"
"/st/snw/rubbish.mp3"       ,"rubbish"                                          ,"C1"   ,"ostobaság, hülyeség"
"/st/snw/shortcoming.mp3"   ,"shortcoming"                                      ,"C1"   ,"hiba, hiányosság"
"/st/snw/abnormal.mp3"      ,"abnormal"                                         ,"C1"   ,"természetellenes, rendellenes, abnormális"
"/st/snw/accepted.mp3"      ,"accepted"                                         ,"C1"   ,"elfogadott"
"/st/snw/authentic.mp3"     ,"authentic"                                        ,"C1"   ,"hiteles, valódi; valósághű"
"/st/snw/biased.mp3"        ,"biased"                                           ,"C1"   ,"elfogult"
"/st/snw/imperfect.mp3"     ,"imperfect"                                        ,"C1"   ,"hibás, nem tökéletes"
"/st/snw/insane.mp3"        ,"insane"                                           ,"C1"   ,"elmebeteg, őrült"
"/st/snw/justified.mp3"     ,"justified"                                        ,"C1"   ,"indokolt, jogos"
"/st/snw/neutral.mp3"       ,"neutral"                                          ,"C1"   ,"semleges"
"/st/snw/prejudiced.mp3"    ,"prejudiced"                                       ,"C1"   ,"előítélettel van vki/vmi iránt, elfogult"
"/st/snw/subjective.mp3"    ,"subjective"                                       ,"C1"   ,"szubjektív"
"/st/snw/unjustified.mp3"   ,"unjustified"                                      ,"C1"   ,"indokolatlan"
"/st/snw/wrong.mp3"         ,"wrong"                                            ,"C1"   ,"nem megfelelő"
"/st/snw/objectively.mp3"   ,"objectively"                                      ,"C1"   ,"tárgyilagosan, objektíven"
"/st/snw/understandably.mp3","understandably"                                   ,"C1"   ,"érthetően"
"/st/snw/unreasonably.mp3"  ,"unreasonably"                                     ,"C1"   ,"ésszerűtlenül ; túlzottan"
"/st/snk/r1425.mp3"         ,"have a/no right to do sth"                        ,"C1"   ,"van/nincs joga  vmire"
"/st/snw/complicate.mp3"    ,"complicate"                                       ,"C1"   ,"komplikál, bonyolít"
"/st/snw/simplify.mp3"      ,"simplify"                                         ,"C1"   ,"egyszerűsít, leegyszerűsít"
"/st/snw/complication.mp3"  ,"complication"                                     ,"C1"   ,"bonyodalom"
"/st/snw/simplicity.mp3"    ,"simplicity"                                       ,"C1"   ,"egyszerűség, természetesség"
"/st/snw/chaotic.mp3"       ,"chaotic"                                          ,"C1"   ,"kaotikus"
"/st/snw/delicate.mp3"      ,"delicate"                                         ,"C1"   ,"kényes"
"/st/snw/problematic.mp3"   ,"problematic"                                      ,"C1"   ,"problémás"
"/st/snw/smooth.mp3"        ,"smooth"                                           ,"C1"   ,"sima, zökkenőmentes"
"/st/snw/troubled.mp3"      ,"troubled"                                         ,"C1"   ,"problémás, gondokkal terhelt; zavaros"
"/st/snk/r925.mp3"          ,"come up against sth"                              ,"C1"   ,"ütközik/beleütközik  vmibe"
"/st/snk/r1073.mp3"         ,"easier said than done"                            ,"C1"   ,"könnyebb mondani mint megtenni"
"/st/snw/generalize.mp3"    ,"generalize"                                       ,"C1"   ,"általánosít"
"/st/snw/generalization.mp3","generalization"                                   ,"C1"   ,"általánosítás"
"/st/snw/rarity.mp3"        ,"rarity"                                           ,"C1"   ,"ritkaság, ritka előfordulás; ritkaság"
"/st/snw/speciality.mp3"    ,"speciality"                                       ,"C1"   ,"különlegesség, specialitás ; szakterület, szakterülete vkinek"
"/st/snw/stereotype.mp3"    ,"stereotype"                                       ,"C1"   ,"sztereotípia"
"/st/snw/common.mp3"        ,"common"                                           ,"C1"   ,"közönséges, szokásos, hétköznapi, átlag-"
"/st/snw/customary.mp3"     ,"customary"                                        ,"C1"   ,"szokásos"
"/st/snw/mundane.mp3"       ,"mundane"                                          ,"C1"   ,"mindennapi, közönséges"
"/st/snw/uncommon.mp3"      ,"uncommon"                                         ,"C1"   ,"szokatlan; ritka"
"/st/snw/unconventional.mp3","unconventional"                                   ,"C1"   ,"nem hagyományos, nem konvencionális"
"/st/snw/commonly.mp3"      ,"commonly"                                         ,"C1"   ,"általában"
"/st/snw/remarkably.mp3"    ,"remarkably"                                       ,"C1"   ,"rendkívül, meglepő módon"
"/st/snw/specifically.mp3"  ,"specifically"                                     ,"C1"   ,"kimondottan, külön"
"/st/snw/universally.mp3"   ,"universally"                                      ,"C1"   ,"általánosan"
"/st/snk/r446.mp3"          ,"be a rarity"                                      ,"C1"   ,"ritkaság/ritkaságnak számít"
"/st/snk/r1872.mp3"         ,"make an exception"                                ,"C1"   ,"kivételt tesz"
"/st/snk/r2308.mp3"         ,"return to normal"                                 ,"C1"   ,"visszatér a megszokotthoz"
"/st/snk/r2783.mp3"         ,"the norm"                                         ,"C1"   ,"szabály, norma"
"/st/snw/dominate.mp3"      ,"dominate"                                         ,"C1"   ,"ural vmit"
"/st/snw/significance.mp3"  ,"significance"                                     ,"C1"   ,"jelentőség; jelentés"
"/st/snw/stress.mp3"        ,"stress"                                           ,"C1"   ,"hangsúly , fokozott figyelem"
"/st/snw/decisive.mp3"      ,"decisive"                                         ,"C1"   ,"döntő"
"/st/snw/dominant.mp3"      ,"dominant"                                         ,"C1"   ,"uralkodó, domináló"
"/st/snw/empty.mp3"         ,"empty"                                            ,"C1"   ,"üres"
"/st/snw/insignificant.mp3" ,"insignificant"                                    ,"C1"   ,"jelentéktelen, elhanyagolható"
"/st/snw/low.mp3"           ,"low"                                              ,"C1"   ,"alacsony"
"/st/snw/notable.mp3"       ,"notable"                                          ,"C1"   ,"figyelemre méltó, nevezetes"
"/st/snw/priceless.mp3"     ,"priceless"                                        ,"C1"   ,"megfizethetetlen"
"/st/snw/worthless.mp3"     ,"worthless"                                        ,"C1"   ,"értéktelen, hitvány"
"/st/snk/r138.mp3"          ,"a burning issue/question"                         ,"C1"   ,"égető/sürgős ügy/kérdés"
"/st/snk/r441.mp3"          ,"be a joke"                                        ,"C1"   ,"egy vicc"
"/st/snk/r445.mp3"          ,"be a question of"                                 ,"C1"   ,"az a kérdés, azon múlik"
"/st/snk/r550.mp3"          ,"be key to sth"                                    ,"C1"   ,"kulcsfontosságú"
"/st/snk/r897.mp3"          ,"come first"                                       ,"C1"   ,"mindennél előbbre való"
"/st/snk/r89.mp3"           ,"I/he, etc. couldn't care less"                    ,"C1"   ,"fütyülök/fütyül rá"
"/st/snk/r2022.mp3"         ,"of little/no consequence"                         ,"C1"   ,"nem lényeges"
"/st/snk/r2734.mp3"         ,"the focus of sth"                                 ,"C1"   ,"fókusza/középpontja"
"/st/snw/accomplish.mp3"    ,"accomplish"                                       ,"C1"   ,"megvalósít, véghezvisz vmit"
"/st/snw/attain.mp3"        ,"attain"                                           ,"C1"   ,"megvalósít, elér vmit"
"/st/snw/beat.mp3"          ,"beat"                                             ,"C1"   ,"jobb vminél, túltesz rajta, lepipál vmit"
"/st/snw/cure.mp3"          ,"cure"                                             ,"C1"   ,"kúrál, megold"
"/st/snw/enhance.mp3"       ,"enhance"                                          ,"C1"   ,"javít, fokoz"
"/st/snw/enrich.mp3"        ,"enrich"                                           ,"C1"   ,"gazdagít"
"/st/snw/match.mp3"         ,"match"                                            ,"C1"   ,"fölér, vetekszik vkivel/vmivel"
"/st/snw/rectify.mp3"       ,"rectify"                                          ,"C1"   ,"helyrehoz, helyesbít"
"/st/snw/resolve.mp3"       ,"resolve"                                          ,"C1"   ,"megold ; határoz, elhatároz"
"/st/snw/restore.mp3"       ,"restore"                                          ,"C1"   ,"helyreállít"
"/st/snw/thrive.mp3"        ,"thrive"                                           ,"C1"   ,"gyarapszik, virul"
"/st/snw/weaken.mp3"        ,"weaken"                                           ,"C1"   ,"gyengül, elgyengül, legyengül; gyengít, elgyengít, legyengít"
"/st/snw/worsen.mp3"        ,"worsen"                                           ,"C1"   ,"ront vmin; rosszabbodik vmi"
"/st/snw/breakdown.mp3"     ,"breakdown"                                        ,"C1"   ,"kudarc, megszakadás"
"/st/snw/effectiveness.mp3" ,"effectiveness"                                    ,"C1"   ,"hatékonyság, hatásosság"
"/st/snw/fall.mp3"          ,"fall"                                             ,"C1"   ,"bukás"
"/st/snw/progression.mp3"   ,"progression"                                      ,"C1"   ,"haladás, előrehaladás"
"/st/snw/recovery.mp3"      ,"recovery"                                         ,"C1"   ,"felépülés"
"/st/snw/star.mp3"          ,"star"                                             ,"C1"   ,"sztár"
"/st/snw/triumph.mp3"       ,"triumph"                                          ,"C1"   ,"diadal, győzelem"
"/st/snw/constructive.mp3"  ,"constructive"                                     ,"C1"   ,"építő"
"/st/snw/fruitful.mp3"      ,"fruitful"                                         ,"C1"   ,"gyümölcsöző, eredményes"
"/st/snw/inefficient.mp3"   ,"inefficient"                                      ,"C1"   ,"nem hatékony, rosszul működő"
"/st/snw/promising.mp3"     ,"promising"                                        ,"C1"   ,"ígéretes"
"/st/snw/reputable.mp3"     ,"reputable"                                        ,"C1"   ,"elismert, jó hírű"
"/st/snw/rewarding.mp3"     ,"rewarding"                                        ,"C1"   ,"sikerélményt nyújtó/biztosító, hálás"
"/st/snw/unproductive.mp3"  ,"unproductive"                                     ,"C1"   ,"eredménytelen, terméketlen, improduktív"
"/st/snw/weak.mp3"          ,"weak"                                             ,"C1"   ,"gyenge"
"/st/snw/behind.mp3"        ,"behind"                                           ,"C1"   ,"mögött, lemaradva, elmaradva"
"/st/snw/forward.mp3"       ,"forward"                                          ,"C1"   ,"előre"
"/st/snw/unsuccessfully.mp3","unsuccessfully"                                   ,"C1"   ,"sikertelenül"
"/st/snk/r728.mp3"          ,"bounce back"                                      ,"C1"   ,"gyorsan összeszedi magát    vmi"
"/st/snk/r846.mp3"          ,"catch up ↔ (sb)"                                  ,"C1"   ,"utolér    vmi"
"/st/snk/r905.mp3"          ,"come off"                                         ,"C1"   ,"összejön, bejön, sikerül    vmi"
"/st/snk/r1177.mp3"         ,"fit in with sth"                                  ,"C1"   ,"összhangban van, jól összeegyeztethető    vmi"
"/st/snk/r1839.mp3"         ,"look up"                                          ,"C1"   ,"fellendül, javul    vmi"
"/st/snk/r1120.mp3"         ,"fall flat"                                        ,"C1"   ,"nem sikerül, rosszul sül el"
"/st/snk/r1242.mp3"         ,"gain/lose ground"                                 ,"C1"   ,"tért hódít, erősödik, terjed, elterjed/tért veszít"
"/st/snk/r1356.mp3"         ,"go from strength to strength"                     ,"C1"   ,"egyre erősebb/sikeresebb"
"/st/snk/r1433.mp3"         ,"have little/no effect"                            ,"C1"   ,"nincs/alig van hatása"
"/st/snk/r1878.mp3"         ,"make it"                                          ,"C1"   ,"sikere van; sikerül megoldani"
"/st/snk/r2073.mp3"         ,"on track"                                         ,"C1"   ,"úton van"
"/st/snw/asset.mp3"         ,"asset"                                            ,"C1"   ,"erőssége vkinek/vminek"
"/st/snw/downside.mp3"      ,"downside"                                         ,"C1"   ,"negatív oldala, hátulütője vminek"
"/st/snw/drawback.mp3"      ,"drawback"                                         ,"C1"   ,"hátrány"
"/st/snw/strength.mp3"      ,"strength"                                         ,"C1"   ,"erősség, az erőssége vkinek/vminek"
"/st/snw/usefulness.mp3"    ,"usefulness"                                       ,"C1"   ,"hasznosság"
"/st/snw/ill.mp3"           ,"ill"                                              ,"C1"   ,"rossz, káros"
"/st/snw/invaluable.mp3"    ,"invaluable"                                       ,"C1"   ,"rendkívül hasznos, felbecsülhetetlen értékű"
"/st/snw/pointless.mp3"     ,"pointless"                                        ,"C1"   ,"értelmetlen, felesleges"
"/st/snw/practical.mp3"     ,"practical"                                        ,"C1"   ,"célszerű, hasznos, praktikus"
"/st/snw/profitable.mp3"    ,"profitable"                                       ,"C1"   ,"hasznos"
"/st/snw/unattractive.mp3"  ,"unattractive"                                     ,"C1"   ,"érdektelen, haszontalan; nem kívánatos"
"/st/snw/unhelpful.mp3"     ,"unhelpful"                                        ,"C1"   ,"haszontalan"
"/st/snw/unwanted.mp3"      ,"unwanted"                                         ,"C1"   ,"felesleges"
"/st/snw/worthy.mp3"        ,"worthy"                                           ,"C1"   ,"méltó, érdemes"
"/st/snw/unnecessarily.mp3" ,"unnecessarily"                                    ,"C1"   ,"feleslegesen"
"/st/snk/r399.mp3"          ,"at the expense of sth"                            ,"C1"   ,"rovására , kárára  vminek vminek"
"/st/snk/r1631.mp3"         ,"in vain"                                          ,"C1"   ,"hiába  vminek vminek"
"/st/snk/r2855.mp3"         ,"there's no harm in doing sth"                     ,"C1"   ,"nem árt, ha ...  vminek vminek"
"/st/snk/r2914.mp3"         ,"to spare"                                         ,"C1"   ,"nélkülözhető, fölösleges  vminek vminek"
