"AUDIOFILE"              ,"FOREIGNWORD"  ,"LEVEL","NATIVEWORD"
"/st/snw/beat.mp3"       ,"beat"         ,"C1"   ,"felver"
"/st/snw/feed.mp3"       ,"feed"         ,"C1"   ,"táplálkozik"
"/st/snw/sip.mp3"        ,"sip"          ,"C1"   ,"kortyol, kortyolgat"
"/st/snw/appetite.mp3"   ,"appetite"     ,"C1"   ,"étvágy"
"/st/snw/date.mp3"       ,"date"         ,"C1"   ,"datolya"
"/st/snw/feast.mp3"      ,"feast"        ,"C1"   ,"lakoma"
"/st/snw/mustard.mp3"    ,"mustard"      ,"C1"   ,"mustár"
"/st/snw/nutrition.mp3"  ,"nutrition"    ,"C1"   ,"táplálék; táplálkozás"
"/st/snw/pastry.mp3"     ,"pastry"       ,"C1"   ,"tészta, vajastészta"
"/st/snw/pastry.mp3"     ,"pastry"       ,"C1"   ,"sütemény, cukrászsütemény"
"/st/snw/soya.mp3"       ,"soya"         ,"C1"   ,"szója, szójabab"
"/st/snw/spirit.mp3"     ,"spirit"       ,"C1"   ,"rövidital"
"/st/snw/dry.mp3"        ,"dry"          ,"C1"   ,"száraz"
"/st/snw/edible.mp3"     ,"edible"       ,"C1"   ,"ehető, fogyasztásra alkalmas"
"/st/snw/fatty.mp3"      ,"fatty"        ,"C1"   ,"zsíros"
"/st/snw/inedible.mp3"   ,"inedible"     ,"C1"   ,"nem ehető"
"/st/snw/nutritional.mp3","nutritional"  ,"C1"   ,"táplálkozási, táp-"
"/st/snw/nutritious.mp3" ,"nutritious"   ,"C1"   ,"tápláló"
"/st/snw/rare.mp3"       ,"rare"         ,"C1"   ,"gyengén átsütött, véres"
"/st/snw/stale.mp3"      ,"stale"        ,"C1"   ,"állott, áporodott ; unalmas, elcsépelt"
"/st/snw/tasteless.mp3"  ,"tasteless"    ,"C1"   ,"ízetlen"
"/st/snk/r970.mp3"       ,"cut out ↔ sth","C1"   ,"kihagy"
