"AUDIOFILE"                ,"FOREIGNWORD"                 ,"LEVEL","NATIVEWORD"
"/st/snw/beat.mp3"         ,"beat"                        ,"C2"   ,"dobog, dobol, verdes"
"/st/snw/buzz.mp3"         ,"buzz"                        ,"C2"   ,"zümmög, zúg"
"/st/snw/buzz.mp3"         ,"buzz"                        ,"C2"   ,"zúg vmitől, hangos vmitől"
"/st/snw/cast.mp3"         ,"cast"                        ,"C2"   ,"vet vmire"
"/st/snw/click.mp3"        ,"click"                       ,"C2"   ,"kattan; kattant"
"/st/snw/dazzle.mp3"       ,"dazzle"                      ,"C2"   ,"elvakít"
"/st/snw/dim.mp3"          ,"dim"                         ,"C2"   ,"elhalványul; elhalványít"
"/st/snw/echo.mp3"         ,"echo"                        ,"C2"   ,"visszhangoz; visszhangzik"
"/st/snw/emit.mp3"         ,"emit"                        ,"C2"   ,"kibocsát"
"/st/snw/glow.mp3"         ,"glow"                        ,"C2"   ,"parázslik, izzik; vörösen fénylik"
"/st/snw/pop.mp3"          ,"pop"                         ,"C2"   ,"pukkan ; pukkant"
"/st/snw/squeak.mp3"       ,"squeak"                      ,"C2"   ,"nyikorog ; nyüszít"
"/st/snw/tick.mp3"         ,"tick"                        ,"C2"   ,"ketyeg"
"/st/snw/buzz.mp3"         ,"buzz"                        ,"C2"   ,"zümmögés; moraj, mormogás"
"/st/snw/echo.mp3"         ,"echo"                        ,"C2"   ,"visszhang"
"/st/snw/glare.mp3"        ,"glare"                       ,"C2"   ,"vakító fény"
"/st/snw/glow.mp3"         ,"glow"                        ,"C2"   ,"vöröses fény"
"/st/snw/interference.mp3" ,"interference"                ,"C2"   ,"zavarás, elektromos zaj, interferencia"
"/st/snw/racket.mp3"       ,"racket"                      ,"C2"   ,"lárma, ricsaj"
"/st/snw/spectrum.mp3"     ,"spectrum"                    ,"C2"   ,"színkép, spektrum; hullámtartomány"
"/st/snw/bronze.mp3"       ,"bronze"                      ,"C2"   ,"bronzszínű"
"/st/snw/dazzling.mp3"     ,"dazzling"                    ,"C2"   ,"vakító"
"/st/snw/dim.mp3"          ,"dim"                         ,"C2"   ,"homályos, halvány, tompa"
