"AUDIOFILE"                 ,"FOREIGNWORD"                          ,"LEVEL","NATIVEWORD"
"/st/snw/execute.mp3"       ,"execute"                              ,"C2"   ,"végrehajt , megvalósít"
"/st/snw/refrain.mp3"       ,"refrain"                              ,"C2"   ,"tartózkodik vmitől"
"/st/snw/fulfilment.mp3"    ,"fulfilment"                           ,"C2"   ,"teljesítés, beteljesítés; beteljesülés, beteljesedés"
"/st/snw/implementation.mp3","implementation"                       ,"C2"   ,"végrehajtás, megvalósítás"
"/st/snw/realization.mp3"   ,"realization"                          ,"C2"   ,"megvalósítás; megvalósulás"
"/st/snk/r495.mp3"          ,"be down to sb"                        ,"C2"   ,"marad , vár  vkire vkire   vkivel vmit  vmiről"
"/st/snk/r1439.mp3"         ,"have sb do sth"                       ,"C2"   ,"megcsináltat  vkire vkire   vkivel vmit  vmiről"
"/st/snk/r2391.mp3"         ,"see that"                             ,"C2"   ,"gondoskodik  vkire vkire   vkivel vmit  vmiről"
"/st/snw/arch.mp3"          ,"arch"                                 ,"C2"   ,"ível; hajlít, meghajlít"
"/st/snw/flatten.mp3"       ,"flatten"                              ,"C2"   ,"simul, lesimul, lapul, lelapul; kisimít, lesimít, lelapít"
"/st/snw/force.mp3"         ,"force"                                ,"C2"   ,"erőltet vmit,  erővel csinál vmit"
"/st/snw/pat.mp3"           ,"pat"                                  ,"C2"   ,"vereget, megvereget, megpaskol"
"/st/snw/replace.mp3"       ,"replace"                              ,"C2"   ,"visszatesz"
"/st/snw/spread.mp3"        ,"spread"                               ,"C2"   ,"ken , megken"
"/st/snw/sprinkle.mp3"      ,"sprinkle"                             ,"C2"   ,"szór, hint, meghint vmit vmivel"
"/st/snw/twist.mp3"         ,"twist"                                ,"C2"   ,"csavar, forgat"
"/st/snw/unwind.mp3"        ,"unwind"                               ,"C2"   ,"leteker vmit ; letekeredik vmi"
"/st/snw/blow.mp3"          ,"blow"                                 ,"C2"   ,"ütés"
"/st/snw/pressure.mp3"      ,"pressure"                             ,"C2"   ,"nyomás"
"/st/snw/shock.mp3"         ,"shock"                                ,"C2"   ,"rázkódás; ütődés"
"/st/snw/slap.mp3"          ,"slap"                                 ,"C2"   ,"ütés, csapás"
"/st/snk/r1053.mp3"         ,"draw sth/sb across/back/over, etc."   ,"C2"   ,"keresztül/vissza/át húz"
"/st/snk/r1068.mp3"         ,"dump sth on/in/down, etc."            ,"C2"   ,"lehajigál /stb."
"/st/snk/r2423.mp3"         ,"set sth down/on, etc."                ,"C2"   ,"le-/rá-/stb. tesz/helyez"
"/st/snk/r2465.mp3"         ,"slip sth into/through, etc."          ,"C2"   ,"be-/át- csúsztat"
"/st/snk/r2581.mp3"         ,"stuff sth in/into/behind, etc."       ,"C2"   ,"be-/bele-/mögé-/stb. töm/dobál"
"/st/snk/r2880.mp3"         ,"throw sth around/down/on, etc."       ,"C2"   ,"köré-/le-/rá-/stb. dobja/veti magát/"
"/st/snk/r2891.mp3"         ,"tip sth into/onto/out of, etc. sth"   ,"C2"   ,"beleborít/ráborít/kiborít/stb."
"/st/snk/r2929.mp3"         ,"toss sth away/into/on, etc."          ,"C2"   ,"el-/bele-/rá-/stb. hajít"
"/st/snw/cling.mp3"         ,"cling"                                ,"C2"   ,"kapaszkodik ; tapad, rátapad"
"/st/snw/clutch.mp3"        ,"clutch"                               ,"C2"   ,"szorosan tart, szorongat"
"/st/snw/embrace.mp3"       ,"embrace"                              ,"C2"   ,"ölel, megölel, átölel"
"/st/snw/handle.mp3"        ,"handle"                               ,"C2"   ,"megfog, hozzányúl"
"/st/snw/snatch.mp3"        ,"snatch"                               ,"C2"   ,"kap vmi után; kiránt ; elragad vkit/vmit"
"/st/snw/wield.mp3"         ,"wield"                                ,"C2"   ,"forgat"
"/st/snw/embrace.mp3"       ,"embrace"                              ,"C2"   ,"ölelés"
"/st/snw/grasp.mp3"         ,"grasp"                                ,"C2"   ,"erős fogás, markolás"
"/st/snw/firm.mp3"          ,"firm"                                 ,"C2"   ,"erőteljes, szilárd"
"/st/snw/fast.mp3"          ,"fast"                                 ,"C2"   ,"erősen ; mélyen"
"/st/snk/r1390.mp3"         ,"grasp at sth"                         ,"C2"   ,"kap után  vmi  vmit vmibe/vkibe"
"/st/snk/r1472.mp3"         ,"hold onto sth/sb"                     ,"C2"   ,"tart/nem enged el , belekapaszkodik  vmi  vmit vmibe/vkibe"
"/st/snk/r1783.mp3"         ,"let go (of sb/sth)"                   ,"C2"   ,"elenged  vkit/vmit"
"/st/snk/r2007.mp3"         ,"not touch sb/sth"                     ,"C2"   ,"nem nyúl hozzá  vkit/vmit"
"/st/snk/r3031.mp3"         ,"with your bare hands"                 ,"C2"   ,"puszta kézzel  vkit/vmit"
"/st/snw/anchor.mp3"        ,"anchor"                               ,"C2"   ,"rögzít vmit vmihez"
"/st/snw/bind.mp3"          ,"bind"                                 ,"C2"   ,"kötöz, összekötöz, megkötöz"
"/st/snw/carve.mp3"         ,"carve"                                ,"C2"   ,"farag, vés"
"/st/snw/catch.mp3"         ,"catch"                                ,"C2"   ,"beakad/beleakad vmibe , becsíp vmit vhová"
"/st/snw/crumble.mp3"       ,"crumble"                              ,"C2"   ,"morzsol; morzsolódik"
"/st/snw/crush.mp3"         ,"crush"                                ,"C2"   ,"összeroppant, összetapos;  tör"
"/st/snw/dice.mp3"          ,"dice"                                 ,"C2"   ,"kockáz, felkockáz ; kockázik, kockáztat vmit"
"/st/snw/glue.mp3"          ,"glue"                                 ,"C2"   ,"ragaszt"
"/st/snw/loosen.mp3"        ,"loosen"                               ,"C2"   ,"meglazít ; meglazul"
"/st/snw/peel.mp3"          ,"peel"                                 ,"C2"   ,"lehámoz, lefejt; leválik"
"/st/snw/snap.mp3"          ,"snap"                                 ,"C2"   ,"pattan, lepattan, letörik; letör, eltör, kettétör, elpattint"
"/st/snw/split.mp3"         ,"split"                                ,"C2"   ,"hasad, reped; hasít"
"/st/snw/tight.mp3"         ,"tight"                                ,"C2"   ,"feszes; kifeszített"
"/st/snw/roughly.mp3"       ,"roughly"                              ,"C2"   ,"durván, nagyjából"
