"AUDIOFILE"                  ,"FOREIGNWORD"                                   ,"LEVEL","NATIVEWORD"
"/st/snw/unconditional.mp3"  ,"unconditional"                                 ,"C2"   ,"feltétel nélküli"
"/st/snw/regardless.mp3"     ,"regardless"                                    ,"C2"   ,"tekintet nélkül vkire/vmire; vmi/mindennek ellenére"
"/st/snw/only.mp3"           ,"only"                                          ,"C2"   ,"de, azonban, csak"
"/st/snk/r347.mp3"           ,"as opposed to"                                 ,"C2"   ,"szemben , eltérően  vmivel vmitől    vmivel vmi vmi     vmitől"
"/st/snk/r1133.mp3"          ,"far from doing sth"                            ,"C2"   ,"nemhogy ...-na/ne  vmivel vmitől    vmivel vmi vmi     vmitől"
"/st/snk/r1191.mp3"          ,"for all"                                       ,"C2"   ,"ellenére  vmivel vmitől    vmivel vmi vmi     vmitől"
"/st/snk/r1604.mp3"          ,"in the face of sth"                            ,"C2"   ,"szemben, ellenére/dacára; közepette  vmivel vmitől    vmivel vmi vmi     vmitől"
"/st/snk/r1963.mp3"          ,"no strings (attached)"                         ,"C2"   ,"feltételek nélkül  vmivel vmitől    vmivel vmi vmi     vmitől"
"/st/snk/r2096.mp3"          ,"or else"                                       ,"C2"   ,"vagy  vmivel vmitől    vmivel vmi vmi     vmitől"
"/st/snk/r2584.mp3"          ,"subject to sth"                                ,"C2"   ,"függ  vmivel vmitől    vmivel vmi vmi     vmitől"
"/st/snk/r2851.mp3"          ,"then/there again"                              ,"C2"   ,"azonban, viszont  vmivel vmitől    vmivel vmi vmi     vmitől"
"/st/snw/avenue.mp3"         ,"avenue"                                        ,"C2"   ,"útja-módja vminek"
"/st/snw/instrument.mp3"     ,"instrument"                                    ,"C2"   ,"eszköz"
"/st/snw/route.mp3"          ,"route"                                         ,"C2"   ,"út vmihez"
"/st/snw/whereby.mp3"        ,"whereby"                                       ,"C2"   ,"minélfogva, melynek értelmében; ami által"
"/st/snw/however.mp3"        ,"however"                                       ,"C2"   ,"akárhogy, akárhogy is"
"/st/snk/r2302.mp3"          ,"resort to sth/ doing sth"                      ,"C2"   ,"folyamodik  vmihez"
"/st/snk/r157.mp3"           ,"a fast track (to sth)"                         ,"C2"   ,"gyors út  vmihez"
"/st/snk/r179.mp3"           ,"a last resort"                                 ,"C2"   ,"ha minden kötél szakad  vmihez"
"/st/snk/r192.mp3"           ,"a means to an end"                             ,"C2"   ,"eszköz  vmihez"
"/st/snk/r198.mp3"           ,"a passport to sth"                             ,"C2"   ,"nyitja  vmihez"
"/st/snk/r400.mp3"           ,"at the hands of sb"                            ,"C2"   ,"a kezétől  vmihez"
