"AUDIOFILE"                  ,"FOREIGNWORD"             ,"LEVEL","NATIVEWORD"
"/st/snw/band.mp3"           ,"band"                    ,"C2"   ,"szalag, pánt"
"/st/snw/casserole.mp3"      ,"casserole"               ,"C2"   ,"fedeles tűzálló edény"
"/st/snw/chest.mp3"          ,"chest"                   ,"C2"   ,"szekrény, láda"
"/st/snw/cutlery.mp3"        ,"cutlery"                 ,"C2"   ,"evőeszközök"
"/st/snw/filter.mp3"         ,"filter"                  ,"C2"   ,"szűrő"
"/st/snw/glue.mp3"           ,"glue"                    ,"C2"   ,"ragasztó"
"/st/snw/panel.mp3"          ,"panel"                   ,"C2"   ,"-tábla ; műszerfal"
"/st/snw/pole.mp3"           ,"pole"                    ,"C2"   ,"rúd ; sark"
"/st/snw/straw.mp3"          ,"straw"                   ,"C2"   ,"szívószál"
"/st/snw/tank.mp3"           ,"tank"                    ,"C2"   ,"tartály"
"/st/snw/thread.mp3"         ,"thread"                  ,"C2"   ,"fonal, cérna"
"/st/snw/blunt.mp3"          ,"blunt"                   ,"C2"   ,"életlen, hegyetlen/tompa"
"/st/snw/disposable.mp3"     ,"disposable"              ,"C2"   ,"eldobható, egyszer használatos"
"/st/snw/versatile.mp3"      ,"versatile"               ,"C2"   ,"sokoldalú"
"/st/snk/r2568.mp3"          ,"store up sth"            ,"C2"   ,"raktároz, elraktároz"
"/st/snk/r713.mp3"           ,"bits and pieces"         ,"C2"   ,"egy-két apróság"
"/st/snk/r2019.mp3"          ,"odds and ends"           ,"C2"   ,"lim-lom"
"/st/snw/assemble.mp3"       ,"assemble"                ,"C2"   ,"összeszerel"
"/st/snw/go.mp3"             ,"go"                      ,"C2"   ,"megy, jár, működik"
"/st/snw/grace.mp3"          ,"grace"                   ,"C2"   ,"ékesít, díszít vmit"
"/st/snw/house_verb.mp3"     ,"house"                   ,"C2"   ,"elszállásol, szállást biztosít vkinek"
"/st/snw/patch.mp3"          ,"patch"                   ,"C2"   ,"foltoz, megfoltoz"
"/st/snw/seal.mp3"           ,"seal"                    ,"C2"   ,"lezár"
"/st/snw/sharpen.mp3"        ,"sharpen"                 ,"C2"   ,"élesít, megélez ; kihegyez"
"/st/snw/stain.mp3"          ,"stain"                   ,"C2"   ,"foltot ejt/hagy; bepiszkol ; bepiszkolódik"
"/st/snw/arm.mp3"            ,"arm"                     ,"C2"   ,"karfa"
