"AUDIOFILE"                ,"FOREIGNWORD"                               ,"LEVEL","NATIVEWORD"
"/st/snw/drag.mp3"         ,"drag"                                      ,"C2"   ,"hosszúra nyúlik , nem akar véget érni"
"/st/snw/elapse.mp3"       ,"elapse"                                    ,"C2"   ,"múlik, elmúlik, telik, eltelik"
"/st/snw/fly.mp3"          ,"fly"                                       ,"C2"   ,"repül, elrepül"
"/st/snw/linger.mp3"       ,"linger"                                    ,"C2"   ,"hosszasan időzik/megmarad"
"/st/snw/progress_verb.mp3","progress"                                  ,"C2"   ,"halad, múlik"
"/st/snw/spread.mp3"       ,"spread"                                    ,"C2"   ,"feloszt"
"/st/snw/interval.mp3"     ,"interval"                                  ,"C2"   ,"időköz"
"/st/snw/abrupt.mp3"       ,"abrupt"                                    ,"C2"   ,"hirtelen, váratlan"
"/st/snw/long-lasting.mp3" ,"long-lasting"                              ,"C2"   ,"tartós, sokáig tartó"
"/st/snw/long-running.mp3" ,"long-running"                              ,"C2"   ,"hosszú ideje/ideig folytatódó"
"/st/snw/overnight.mp3"    ,"overnight"                                 ,"C2"   ,"egycsapásra, egyik napról a másikra"
"/st/snw/remote.mp3"       ,"remote"                                    ,"C2"   ,"távoli"
"/st/snw/swift.mp3"        ,"swift"                                     ,"C2"   ,"gyors"
"/st/snw/abruptly.mp3"     ,"abruptly"                                  ,"C2"   ,"hirtelen, hirtelenül, kurtán, váratlanul"
"/st/snw/indefinitely.mp3" ,"indefinitely"                              ,"C2"   ,"határozatlan időre/ideig"
"/st/snw/scarcely.mp3"     ,"scarcely"                                  ,"C2"   ,"alig ; alig ; aligha"
"/st/snw/swiftly.mp3"      ,"swiftly"                                   ,"C2"   ,"gyorsan, sebesen"
"/st/snw/inside_prep.mp3"  ,"inside"                                    ,"C2"   ,"vmennyi időn belül"
"/st/snk/r2462.mp3"        ,"slip away"                                 ,"C2"   ,"elillan, eloson"
"/st/snk/r388.mp3"         ,"at length"                                 ,"C2"   ,"hosszan, hosszadalmasan   vmit       vminek"
"/st/snk/r614.mp3"         ,"be slow to do sth; be slow in doing sth"   ,"C2"   ,"lassan/késlekedve csinál   vmit       vminek"
"/st/snk/r797.mp3"         ,"by/in leaps and bounds"                    ,"C2"   ,"ugrásszerűen   vmit       vminek"
"/st/snk/r1231.mp3"        ,"from the 1870s/March/6.30 pm, etc. onwards","C2"   ,"az 1870-es évektől/márciustól/18:30-tól kezdve   vmit       vminek"
"/st/snk/r1504.mp3"        ,"in a flash"                                ,"C2"   ,"egy pillanat alatt, azon nyomban   vmit       vminek"
"/st/snk/r1599.mp3"        ,"in the blink of an eye"                    ,"C2"   ,"egy szempillantás alatt   vmit       vminek"
"/st/snk/r2067.mp3"        ,"on the spot"                               ,"C2"   ,"azonnal, ott helyben   vmit       vminek"
"/st/snk/r2698.mp3"        ,"the best/better part of sth"               ,"C2"   ,"java, java része   vmit       vminek"
"/st/snk/r2781.mp3"        ,"the next thing I knew"                     ,"C2"   ,"a következő dolog amit tudok   vmit       vminek"
"/st/snw/clash.mp3"        ,"clash"                                     ,"C2"   ,"egybeesik, ütközik"
"/st/snw/coincide.mp3"     ,"coincide"                                  ,"C2"   ,"időben egybeesik"
"/st/snw/precede.mp3"      ,"precede"                                   ,"C2"   ,"előz, megelőz ; előtte megy vminek/vkinek"
"/st/snw/eventual.mp3"     ,"eventual"                                  ,"C2"   ,"végső"
"/st/snw/later.mp3"        ,"later"                                     ,"C2"   ,"későbbi"
"/st/snw/parallel.mp3"     ,"parallel"                                  ,"C2"   ,"párhuzamos"
"/st/snw/successive.mp3"   ,"successive"                                ,"C2"   ,"egymást követő"
"/st/snw/beyond.mp3"       ,"beyond"                                    ,"C2"   ,"túl"
"/st/snw/thereafter.mp3"   ,"thereafter"                                ,"C2"   ,"ezt követően"
