"AUDIOFILE"                ,"FOREIGNWORD"                      ,"LEVEL","NATIVEWORD"
"/st/snk/r41.mp3"          ,"Absolutely not."                  ,"C2"   ,"egyáltalán nem"
"/st/snk/r592.mp3"         ,"be out of the question"           ,"C2"   ,"ki van zárva, szó sem lehet róla"
"/st/snk/r782.mp3"         ,"by all means"                     ,"C2"   ,"természetesen"
"/st/snk/r74.mp3"          ,"I fail to see/understand"         ,"C2"   ,"nem látom/nem értem miért ..."
"/st/snk/r97.mp3"          ,"No chance!/ Not a chance!"        ,"C2"   ,"kizárt dolog!"
"/st/snk/r1992.mp3"        ,"not in the least"                 ,"C2"   ,"egyáltalán nem"
"/st/snk/r2048.mp3"        ,"on no account; not on any account","C2"   ,"semmiképpen sem"
"/st/snw/applaud.mp3"      ,"applaud"                          ,"C2"   ,"elismeréssel fogad vmit"
"/st/snw/concede.mp3"      ,"concede"                          ,"C2"   ,"elismer"
"/st/snw/dispute_verb.mp3" ,"dispute"                          ,"C2"   ,"vitatkozik vmiről, vitat vmit"
"/st/snw/echo.mp3"         ,"echo"                             ,"C2"   ,"tükröz, ismétel"
"/st/snw/split.mp3"        ,"split"                            ,"C2"   ,"megoszt"
"/st/snw/sympathize.mp3"   ,"sympathize"                       ,"C2"   ,"támogat"
"/st/snw/concession.mp3"   ,"concession"                       ,"C2"   ,"engedmény"
"/st/snw/consensus.mp3"    ,"consensus"                        ,"C2"   ,"megegyezés, konszenzus"
"/st/snw/difference.mp3"   ,"difference"                       ,"C2"   ,"nézeteltérés"
"/st/snw/dispute_noun.mp3" ,"dispute"                          ,"C2"   ,"vita, nézeteltérés"
"/st/snw/pact.mp3"         ,"pact"                             ,"C2"   ,"egyezmény"
"/st/snw/recognition.mp3"  ,"recognition"                      ,"C2"   ,"elismerés"
"/st/snw/sympathy.mp3"     ,"sympathy"                         ,"C2"   ,"egyetértés"
"/st/snw/understanding.mp3","understanding"                    ,"C2"   ,"egyezség"
"/st/snw/sympathetic.mp3"  ,"sympathetic"                      ,"C2"   ,"egyetértő, megértő, támogató"
"/st/snk/r463.mp3"         ,"be at odds with sb/sth"           ,"C2"   ,"vitában áll ; ellentétben áll  vkivel vmivel  vkivel vkivel      vkivel"
"/st/snk/r543.mp3"         ,"be in tune with sb/sth"           ,"C2"   ,"egyetért , összhangban van  vkivel vmivel  vkivel vkivel      vkivel"
"/st/snk/r596.mp3"         ,"be poles apart"                   ,"C2"   ,"ég és föld, nagyon messze állnak egymástól  vkivel vmivel  vkivel vkivel      vkivel"
"/st/snk/r874.mp3"         ,"clear the air"                    ,"C2"   ,"tiszta vizet önt a pohárba  vkivel vmivel  vkivel vkivel      vkivel"
"/st/snk/r1320.mp3"        ,"give and take"                    ,"C2"   ,"kölcsönös engedmény  vkivel vmivel  vkivel vkivel      vkivel"
"/st/snk/r2387.mp3"        ,"see eye to eye (with sb)"         ,"C2"   ,"egy véleményen van  vkivel vmivel  vkivel vkivel      vkivel"
