"AUDIOFILE"                 ,"FOREIGNWORD"                     ,"LEVEL","NATIVEWORD"
"/st/snw/assault.mp3"       ,"assault"                         ,"C2"   ,"tettleg bántalmaz"
"/st/snw/blackmail.mp3"     ,"blackmail"                       ,"C2"   ,"zsarol, megzsarol vkit, zsarolással rávesz vkit vmire"
"/st/snw/fake.mp3"          ,"fake"                            ,"C2"   ,"hamisít"
"/st/snw/torture.mp3"       ,"torture"                         ,"C2"   ,"megkínoz"
"/st/snw/violate.mp3"       ,"violate"                         ,"C2"   ,"megszeg, megsért"
"/st/snw/assault.mp3"       ,"assault"                         ,"C2"   ,"tettlegesség; roham"
"/st/snw/blackmail.mp3"     ,"blackmail"                       ,"C2"   ,"zsarolás"
"/st/snw/bribery.mp3"       ,"bribery"                         ,"C2"   ,"megvesztegetés"
"/st/snw/disturbance.mp3"   ,"disturbance"                     ,"C2"   ,"zavargás"
"/st/snw/fake.mp3"          ,"fake"                            ,"C2"   ,"szélhámos"
"/st/snw/forgery.mp3"       ,"forgery"                         ,"C2"   ,"hamisítvány"
"/st/snw/forgery.mp3"       ,"forgery"                         ,"C2"   ,"hamisítás"
"/st/snw/fraud.mp3"         ,"fraud"                           ,"C2"   ,"csalás, szélhámosság"
"/st/snw/fraud.mp3"         ,"fraud"                           ,"C2"   ,"csaló, szélhámos"
"/st/snw/haul.mp3"          ,"haul"                            ,"C2"   ,"fogás, zsákmány"
"/st/snw/hostage.mp3"       ,"hostage"                         ,"C2"   ,"túsz"
"/st/snw/implication.mp3"   ,"implication"                     ,"C2"   ,"érintettség, belekeveredés vmibe"
"/st/snw/intruder.mp3"      ,"intruder"                        ,"C2"   ,"betörő; behatoló"
"/st/snw/massacre.mp3"      ,"massacre"                        ,"C2"   ,"tömegmészárlás"
"/st/snw/order.mp3"         ,"order"                           ,"C2"   ,"rend"
"/st/snw/resistance.mp3"    ,"resistance"                      ,"C2"   ,"ellenállás"
"/st/snw/torture.mp3"       ,"torture"                         ,"C2"   ,"kínzás"
"/st/snw/vandalism.mp3"     ,"vandalism"                       ,"C2"   ,"vandalizmus"
"/st/snw/fraudulent.mp3"    ,"fraudulent"                      ,"C2"   ,"tisztességtelen, csalással szerzett"
"/st/snw/questionable.mp3"  ,"questionable"                    ,"C2"   ,"kétes"
"/st/snw/ugly.mp3"          ,"ugly"                            ,"C2"   ,"csúnya, szörnyű"
"/st/snw/vicious.mp3"       ,"vicious"                         ,"C2"   ,"veszélyes, vad"
"/st/snw/roughly.mp3"       ,"roughly"                         ,"C2"   ,"durván, keményen"
"/st/snk/r1378.mp3"         ,"go up"                           ,"C2"   ,"felrobban, levegőbe repül; leég"
"/st/snk/r1128.mp3"         ,"fall prey to sth"                ,"C2"   ,"áldozatul esik  vminek  vmit    vkit/túszként vkit"
"/st/snk/r2414.mp3"         ,"set fire to sth; set sth on fire","C2"   ,"felgyújt  vminek  vmit    vkit/túszként vkit"
"/st/snk/r2648.mp3"         ,"take the law into your own hands","C2"   ,"saját kezébe veszi a törvényt  vminek  vmit    vkit/túszként vkit"
"/st/snk/r2658.mp3"         ,"take/hold sb hostage"            ,"C2"   ,"túszul ejt tart fogva  vminek  vmit    vkit/túszként vkit"
"/st/snw/curb.mp3"          ,"curb"                            ,"C2"   ,"korlátoz vmit"
"/st/snw/establish.mp3"     ,"establish"                       ,"C2"   ,"megállapít vmit"
"/st/snw/reconstruct.mp3"   ,"reconstruct"                     ,"C2"   ,"rekonstruál"
"/st/snw/track.mp3"         ,"track"                           ,"C2"   ,"nyomon követ"
"/st/snw/uphold.mp3"        ,"uphold"                          ,"C2"   ,"védelmez"
"/st/snw/crackdown.mp3"     ,"crackdown"                       ,"C2"   ,"kemény rendőrségi fellépés"
"/st/snw/deterrent.mp3"     ,"deterrent"                       ,"C2"   ,"elrettentés, elrettentő példa"
"/st/snw/enquiry.mp3"       ,"enquiry"                         ,"C2"   ,"nyomozás, vizsgálat"
"/st/snw/evidence.mp3"      ,"evidence"                        ,"C2"   ,"bizonyíték"
"/st/snw/inquiry.mp3"       ,"inquiry"                         ,"C2"   ,"nyomozás, vizsgálat"
"/st/snw/presence.mp3"      ,"presence"                        ,"C2"   ,"jelenlét, készültség"
"/st/snw/reconstruction.mp3","reconstruction"                  ,"C2"   ,"rekonstruálás"
"/st/snw/siren.mp3"         ,"siren"                           ,"C2"   ,"sziréna"
"/st/snw/war.mp3"           ,"war"                             ,"C2"   ,"háború, harc, küzdelem vmi ellen"
"/st/snk/r957.mp3"          ,"crack down"                      ,"C2"   ,"szigorúan/szigorúbban fellép ellen  vki/vmi"
"/st/snk/r723.mp3"          ,"bomb/drug/fraud, etc. squad"     ,"C2"   ,"bombaelhárító/kábítószer elleni/csalók elleni szakasz/osztag"
"/st/snw/confine.mp3"       ,"confine"                         ,"C2"   ,"bezár vkit/vmit"
"/st/snw/raid.mp3"          ,"raid"                            ,"C2"   ,"rajtaüt, razziát tart"
"/st/snw/custody.mp3"       ,"custody"                         ,"C2"   ,"őrizet"
"/st/snw/raid.mp3"          ,"raid"                            ,"C2"   ,"rajtaütés, razzia"
"/st/snk/r881.mp3"          ,"close in"                        ,"C2"   ,"bekerít, körülvesz"
"/st/snk/r2384.mp3"         ,"seal off ↔ sth"                  ,"C2"   ,"lezár"
"/st/snk/r735.mp3"          ,"break free"                      ,"C2"   ,"kitör, kiszabadítja magát, kiszabadul; elszabadul   vkit"
"/st/snk/r1480.mp3"         ,"hold/keep/take sb prisoner"      ,"C2"   ,"fogolyként tartanak   vkit"
"/st/snk/r1868.mp3"         ,"make a run for it"               ,"C2"   ,"elszelel, elillan, kereket old   vkit"
"/st/snw/appeal.mp3"        ,"appeal"                          ,"C2"   ,"fellebbez"
"/st/snw/confront.mp3"      ,"confront"                        ,"C2"   ,"szembesít vkit vmivel"
"/st/snw/convict.mp3"       ,"convict"                         ,"C2"   ,"elítél, bűnösnek mond ki"
"/st/snw/execute.mp3"       ,"execute"                         ,"C2"   ,"kivégez"
"/st/snw/plead.mp3"         ,"plead"                           ,"C2"   ,"érzi/vallja magát"
"/st/snw/prosecute.mp3"     ,"prosecute"                       ,"C2"   ,"vádat emel"
"/st/snw/serve.mp3"         ,"serve"                           ,"C2"   ,"tölt"
"/st/snw/testify.mp3"       ,"testify"                         ,"C2"   ,"tanúsít, tanúskodik"
"/st/snw/try.mp3"           ,"try"                             ,"C2"   ,"bíróság elé állít"
"/st/snw/uphold.mp3"        ,"uphold"                          ,"C2"   ,"jóváhagy, helybenhagy"
"/st/snw/conviction.mp3"    ,"conviction"                      ,"C2"   ,"elítélés"
"/st/snw/imprisonment.mp3"  ,"imprisonment"                    ,"C2"   ,"börtönbüntetés"
"/st/snw/legislation.mp3"   ,"legislation"                     ,"C2"   ,"törvénycsomag; törvényhozás"
"/st/snw/proceedings.mp3"   ,"proceedings"                     ,"C2"   ,"bírósági eljárás"
"/st/snw/prosecution.mp3"   ,"prosecution"                     ,"C2"   ,"bűnvádi eljárás"
"/st/snw/prosecutor.mp3"    ,"prosecutor"                      ,"C2"   ,"vádló, ügyész"
"/st/snw/ruling.mp3"        ,"ruling"                          ,"C2"   ,"hivatalos döntés"
"/st/snw/sanction.mp3"      ,"sanction"                        ,"C2"   ,"szankció, büntetőintézkedés"
"/st/snw/settlement.mp3"    ,"settlement"                      ,"C2"   ,"egyezség"
"/st/snw/verdict.mp3"       ,"verdict"                         ,"C2"   ,"ítélet,  döntés; vélemény"
"/st/snw/clean.mp3"         ,"clean"                           ,"C2"   ,"tiszta múltú, büntetlen előéletű"
"/st/snw/legitimate.mp3"    ,"legitimate"                      ,"C2"   ,"törvényes"
"/st/snw/lenient.mp3"       ,"lenient"                         ,"C2"   ,"elnéző, enyhe"
"/st/snk/r929.mp3"          ,"come/go into effect"             ,"C2"   ,"hatályba/érvénybe lép"
"/st/snk/r1569.mp3"         ,"in place"                        ,"C2"   ,"érvénybe/működésbe lépett"
"/st/snk/r1636.mp3"         ,"in/into force"                   ,"C2"   ,"hatályban/hatályba"
"/st/snk/r1753.mp3"         ,"law and order"                   ,"C2"   ,"közrend"
"/st/snk/r2195.mp3"         ,"press charges"                   ,"C2"   ,"vádat emel"
"/st/snk/r2236.mp3"         ,"put sb to death"                 ,"C2"   ,"kivégez"
"/st/snk/r2531.mp3"         ,"stand trial"                     ,"C2"   ,"bíróság előtt áll"
"/st/snk/r2715.mp3"         ,"the defence"                     ,"C2"   ,"a védelem"
"/st/snk/r2804.mp3"         ,"the prosecution"                 ,"C2"   ,"vád képviselője"
