"AUDIOFILE"                 ,"FOREIGNWORD"                                     ,"LEVEL","NATIVEWORD"
"/st/snw/formulate.mp3"     ,"formulate"                                       ,"C2"   ,"megszövegez, szavakba önt"
"/st/snw/greet.mp3"         ,"greet"                                           ,"C2"   ,"fogad vkit/vmit"
"/st/snw/put.mp3"           ,"put"                                             ,"C2"   ,"megfogalmaz, kifejez"
"/st/snw/register.mp3"      ,"register"                                        ,"C2"   ,"kifejez"
"/st/snw/represent.mp3"     ,"represent"                                       ,"C2"   ,"ábrázol vkit/vmit vminek/vmilyennek"
"/st/snw/voice.mp3"         ,"voice"                                           ,"C2"   ,"hangot ad vminek, kifejezésre juttat vmit"
"/st/snw/channel.mp3"       ,"channel"                                         ,"C2"   ,"csatorna"
"/st/snw/dialogue.mp3"      ,"dialogue"                                        ,"C2"   ,"megbeszélés, párbeszéd"
"/st/snw/medium.mp3"        ,"medium"                                          ,"C2"   ,"közvetítő eszköz"
"/st/snw/platform.mp3"      ,"platform"                                        ,"C2"   ,"platform"
"/st/snw/quotation.mp3"     ,"quotation"                                       ,"C2"   ,"idézet"
"/st/snw/quote.mp3"         ,"quote"                                           ,"C2"   ,"idézet"
"/st/snw/representation.mp3","representation"                                  ,"C2"   ,"ábrázolás, ábrázolási mód"
"/st/snw/sketch.mp3"        ,"sketch"                                          ,"C2"   ,"vázlatos leírás"
"/st/snw/expressive.mp3"    ,"expressive"                                      ,"C2"   ,"kifejező"
"/st/snw/minute_adj.mp3"    ,"minute"                                          ,"C2"   ,"aprólékos, részletes, részletekbe menő"
"/st/snw/knowingly.mp3"     ,"knowingly"                                       ,"C2"   ,"sokatmondóan"
"/st/snk/r1352.mp3"         ,"go down"                                         ,"C2"   ,"fogadtatásban részesül ; emlékeznek rá  vmilyen"
"/st/snk/r1360.mp3"         ,"go into sth"                                     ,"C2"   ,"belemegy, részletez  vmilyen"
"/st/snk/r2457.mp3"         ,"sketch sth out"                                  ,"C2"   ,"felvázol  vmilyen"
"/st/snk/r245.mp3"          ,"a vehicle for sth/doing sth"                     ,"C2"   ,"közvetítője/közvetítő eszköze  vminek   vmit vmit/vkit vkivel  vkinek vkinek  vki/vmi  vmire"
"/st/snk/r1021.mp3"         ,"do sb/sth justice; do justice to sb/sth"         ,"C2"   ,"jól/reálisan mutat ; igazságosan ítél meg ; méltányosan bánik  vminek   vmit vmit/vkit vkivel  vkinek vkinek  vki/vmi  vmire"
"/st/snk/r1587.mp3"         ,"in sb's words"                                   ,"C2"   ,"a szavaival, a szavai szerint  vminek   vmit vmit/vkit vkivel  vkinek vkinek  vki/vmi  vmire"
"/st/snk/r2376.mp3"         ,"sb/sth in question"                              ,"C2"   ,"szóban forgó  vminek   vmit vmit/vkit vkivel  vkinek vkinek  vki/vmi  vmire"
"/st/snk/r2503.mp3"         ,"speak volumes"                                   ,"C2"   ,"sokatmondó, sok fényt vet  vminek   vmit vmit/vkit vkivel  vkinek vkinek  vki/vmi  vmire"
"/st/snk/r3039.mp3"         ,"word for word"                                   ,"C2"   ,"szóról szóra, szó szerint  vminek   vmit vmit/vkit vkivel  vkinek vkinek  vki/vmi  vmire"
"/st/snw/consultation.mp3"  ,"consultation"                                    ,"C2"   ,"konzultálás; utánanézés"
"/st/snw/inquiry.mp3"       ,"inquiry"                                         ,"C2"   ,"kérdezősködés"
"/st/snk/r2284.mp3"         ,"refer to sth"                                    ,"C2"   ,"fordul  vkihez/vmihez"
"/st/snk/r743.mp3"          ,"break the news to sb"                            ,"C2"   ,"közli a hírt  vkivel"
"/st/snk/r2187.mp3"         ,"pose a/the question"                             ,"C2"   ,"kérdést tesz fel  vkivel"
"/st/snw/break.mp3"         ,"break"                                           ,"C2"   ,"először nyilvánosságra hoz/kerül"
"/st/snw/issue.mp3"         ,"issue"                                           ,"C2"   ,"kiad"
"/st/snw/talk.mp3"          ,"talk"                                            ,"C2"   ,"szóbeszéd, mendemonda"
"/st/snw/official.mp3"      ,"official"                                        ,"C2"   ,"hivatalos"
"/st/snw/official.mp3"      ,"official"                                        ,"C2"   ,"hivatalos"
"/st/snk/r912.mp3"          ,"come through"                                    ,"C2"   ,"megjön, érkezik, megérkezik, befut"
"/st/snk/r203.mp3"          ,"a public announcement/appearance/statement, etc.","C2"   ,"nyilvános bejelentés/megjelenés/közlemény/stb.   vki"
"/st/snk/r566.mp3"          ,"be news to sb"                                   ,"C2"   ,"újság számára   vki"
"/st/snk/r1158.mp3"         ,"filter down/through/out, etc."                   ,"C2"   ,"leszűrődik/keresztülszűrődik/kiszűrődik/stb.   vki"
"/st/snk/r1888.mp3"         ,"make sth public"                                 ,"C2"   ,"közzétesz   vki"
"/st/snw/conceal.mp3"       ,"conceal"                                         ,"C2"   ,"eltitkol ; leplez, elrejt"
"/st/snw/disclose.mp3"      ,"disclose"                                        ,"C2"   ,"közzétesz, felfed, feltár"
"/st/snw/disguise.mp3"      ,"disguise"                                        ,"C2"   ,"leplez vmit"
"/st/snw/leak.mp3"          ,"leak"                                            ,"C2"   ,"kiszivárogtat"
"/st/snw/overhear.mp3"      ,"overhear"                                        ,"C2"   ,"meghall vmit; kihallgat"
"/st/snw/suppress.mp3"      ,"suppress"                                        ,"C2"   ,"eltitkol"
"/st/snw/leak.mp3"          ,"leak"                                            ,"C2"   ,"kiszivárogtatás"
"/st/snw/puzzle.mp3"        ,"puzzle"                                          ,"C2"   ,"rejtély"
"/st/snw/revelation.mp3"    ,"revelation"                                      ,"C2"   ,"leleplezés"
"/st/snw/anonymous.mp3"     ,"anonymous"                                       ,"C2"   ,"névtelen"
"/st/snw/open.mp3"          ,"open"                                            ,"C2"   ,"nyílt"
"/st/snk/r907.mp3"          ,"come out"                                        ,"C2"   ,"kiderül, kitudódik"
