"AUDIOFILE"                 ,"FOREIGNWORD"               ,"LEVEL","NATIVEWORD"
"/st/snw/depict.mp3"        ,"depict"                    ,"C2"   ,"ábrázol; leír, bemutat vkit/vmit"
"/st/snw/portray.mp3"       ,"portray"                   ,"C2"   ,"lefest, leír; valamilyen módon ábrázol; alakít"
"/st/snw/cheer.mp3"         ,"cheer"                     ,"C2"   ,"éljenzés"
"/st/snw/heritage.mp3"      ,"heritage"                  ,"C2"   ,"örökség"
"/st/snw/house_noun.mp3"    ,"house"                     ,"C2"   ,"nézőközönség; nézőtér"
"/st/snw/institution.mp3"   ,"institution"               ,"C2"   ,"intézmény , tradíció"
"/st/snw/interpretation.mp3","interpretation"            ,"C2"   ,"előadásmód, interpretáció,  felfogás"
"/st/snw/masterpiece.mp3"   ,"masterpiece"               ,"C2"   ,"remekmű"
"/st/snw/portrayal.mp3"     ,"portrayal"                 ,"C2"   ,"ábrázolás; alakítás"
"/st/snw/stardom.mp3"       ,"stardom"                   ,"C2"   ,"sztárság, hírnév"
"/st/snw/treasure.mp3"      ,"treasure"                  ,"C2"   ,"kincs"
"/st/snw/accessible.mp3"    ,"accessible"                ,"C2"   ,"könnyen megérthető, élvezhető"
"/st/snw/classical.mp3"     ,"classical"                 ,"C2"   ,"klasszikus"
"/st/snw/immortal.mp3"      ,"immortal"                  ,"C2"   ,"halhatatlan"
"/st/snw/quaint.mp3"        ,"quaint"                    ,"C2"   ,"régies, ódon"
"/st/snw/renowned.mp3"      ,"renowned"                  ,"C2"   ,"híres"
"/st/snk/r1398.mp3"         ,"hail sb/sth as sth"        ,"C2"   ,"kikiált  vkit/vmit vminek"
"/st/snk/r989.mp3"          ,"dedicate sth to sb"        ,"C2"   ,"ajánl/dedikál  vmit vkinek   vki/vmi"
"/st/snk/r1778.mp3"         ,"leave/make your mark"      ,"C2"   ,"nevet szerez magának, sikeressé/híressé válik; meglátszik a keze nyoma  vmit vkinek   vki/vmi"
"/st/snk/r1864.mp3"         ,"make a name for yourself"  ,"C2"   ,"nevet szerez magának  vmit vkinek   vki/vmi"
"/st/snk/r1869.mp3"         ,"make a splash"             ,"C2"   ,"szenzációt/közfeltűnést kelt  vmit vkinek   vki/vmi"
"/st/snk/r2328.mp3"         ,"round of applause"         ,"C2"   ,"taps  vmit vkinek   vki/vmi"
"/st/snk/r2377.mp3"         ,"sb/sth of note"            ,"C2"   ,"megjegyzésre érdemes, figyelemre méltó  vmit vkinek   vki/vmi"
"/st/snk/r2807.mp3"         ,"the ratings"               ,"C2"   ,"népszerűségi/nézettségi mutató  vmit vkinek   vki/vmi"
"/st/snw/accompany.mp3"     ,"accompany"                 ,"C2"   ,"kísér"
"/st/snw/blow.mp3"          ,"blow"                      ,"C2"   ,"fúj"
"/st/snw/hum.mp3"           ,"hum"                       ,"C2"   ,"dúdol ; zümmög, búg"
"/st/snw/bow.mp3"           ,"bow"                       ,"C2"   ,"vonó"
"/st/snw/brass.mp3"         ,"brass"                     ,"C2"   ,"rézfúvósok"
"/st/snw/composition.mp3"   ,"composition"               ,"C2"   ,"zeneszerzés"
"/st/snw/harmony.mp3"       ,"harmony"                   ,"C2"   ,"összhang, harmónia"
"/st/snw/horn.mp3"          ,"horn"                      ,"C2"   ,"kürt"
"/st/snw/melody.mp3"        ,"melody"                    ,"C2"   ,"dallam"
"/st/snw/note.mp3"          ,"note"                      ,"C2"   ,"hangjegy"
"/st/snw/organ.mp3"         ,"organ"                     ,"C2"   ,"orgona"
"/st/snw/trio.mp3"          ,"trio"                      ,"C2"   ,"trió ; háromtagú csoport"
"/st/snw/musically.mp3"     ,"musically"                 ,"C2"   ,"zeneileg; muzikálisan"
"/st/snk/r2175.mp3"         ,"play sth by ear"           ,"C2"   ,"hallás után játszik"
"/st/snk/r2521.mp3"         ,"stage a concert/show, etc.","C2"   ,"koncertet/műsort színpadra állít/szervez, megszervez"
"/st/snw/cast.mp3"          ,"cast"                      ,"C2"   ,"kioszt egy szerepet vkire"
"/st/snw/rhyme.mp3"         ,"rhyme"                     ,"C2"   ,"rímel"
"/st/snw/balcony.mp3"       ,"balcony"                   ,"C2"   ,"erkély"
"/st/snw/composition.mp3"   ,"composition"               ,"C2"   ,"kompozíció"
"/st/snw/lead.mp3"          ,"lead"                      ,"C2"   ,"főszerep, főszereplő ; vezető szerep"
"/st/snw/narrative.mp3"     ,"narrative"                 ,"C2"   ,"elmesélés, leírása vminek, történet; elbeszélés"
"/st/snw/narrator.mp3"      ,"narrator"                  ,"C2"   ,"elbeszélő, narrátor"
"/st/snw/protagonist.mp3"   ,"protagonist"               ,"C2"   ,"főszereplő, főhős"
"/st/snw/reading.mp3"       ,"reading"                   ,"C2"   ,"felolvasás"
"/st/snw/rhyme.mp3"         ,"rhyme"                     ,"C2"   ,"vers, versike"
"/st/snw/rhyme.mp3"         ,"rhyme"                     ,"C2"   ,"rím; rímelő szó"
"/st/snw/subject_noun.mp3"  ,"subject"                   ,"C2"   ,"téma, tárgy"
"/st/snw/trilogy.mp3"       ,"trilogy"                   ,"C2"   ,"trilógia"
"/st/snw/explicit.mp3"      ,"explicit"                  ,"C2"   ,"szókimondó, félreérthetetlen"
"/st/snw/poetic.mp3"        ,"poetic"                    ,"C2"   ,"költői"
"/st/snw/on.mp3"            ,"on"                        ,"C2"   ,"színpadon van; műsoron van"
