"AUDIOFILE"             ,"FOREIGNWORD"            ,"LEVEL","NATIVEWORD"
"/st/snw/accelerate.mp3","accelerate"             ,"C2"   ,"gyorsul, felgyorsul; gyorsít, felgyorsít"
"/st/snw/anchor.mp3"    ,"anchor"                 ,"C2"   ,"lehorgonyoz"
"/st/snw/divert.mp3"    ,"divert"                 ,"C2"   ,"eltérít, elterel, átirányít"
"/st/snw/fly.mp3"       ,"fly"                    ,"C2"   ,"repülőgépen visz/szállít"
"/st/snw/mount.mp3"     ,"mount"                  ,"C2"   ,"felszáll"
"/st/snw/saddle.mp3"    ,"saddle"                 ,"C2"   ,"felnyergel"
"/st/snw/slow.mp3"      ,"slow"                   ,"C2"   ,"lassít, lelassít; lassul, lelassul"
"/st/snw/unload.mp3"    ,"unload"                 ,"C2"   ,"kirak, lerak"
"/st/snw/anchor.mp3"    ,"anchor"                 ,"C2"   ,"horgony, hajóhorgony"
"/st/snw/cabin.mp3"     ,"cabin"                  ,"C2"   ,"kabin, hajókabin, utasfülke"
"/st/snw/carriage.mp3"  ,"carriage"               ,"C2"   ,"lovas hintó"
"/st/snw/path.mp3"      ,"path"                   ,"C2"   ,"út, útvonal"
"/st/snw/reverse.mp3"   ,"reverse"                ,"C2"   ,"tolatás, hátramenet"
"/st/snw/saddle.mp3"    ,"saddle"                 ,"C2"   ,"nyereg"
"/st/snw/sail.mp3"      ,"sail"                   ,"C2"   ,"vitorla"
"/st/snw/traffic.mp3"   ,"traffic"                ,"C2"   ,"forgalom, közlekedés"
"/st/snw/stranded.mp3"  ,"stranded"               ,"C2"   ,"ottragadt"
"/st/snw/overboard.mp3" ,"overboard"              ,"C2"   ,"hajóból ki, hajó oldalán át"
"/st/snk/r218.mp3"      ,"a sharp bend/turn, etc.","C2"   ,"éles kanyar/forduló/stb."
"/st/snk/r615.mp3"      ,"be snowed in"           ,"C2"   ,"be van havazva"
"/st/snk/r2421.mp3"     ,"set sail"               ,"C2"   ,"útnak indul"
