"AUDIOFILE"                 ,"FOREIGNWORD"                     ,"LEVEL","NATIVEWORD"
"/st/snw/misplace.mp3"      ,"misplace"                        ,"C2"   ,"elkever vmit"
"/st/snw/persist.mp3"       ,"persist"                         ,"C2"   ,"nem múlik el"
"/st/snw/revive.mp3"        ,"revive"                          ,"C2"   ,"feléled; feléleszt ; felújít; megújul"
"/st/snw/sustain.mp3"       ,"sustain"                         ,"C2"   ,"fenntart, megőriz; életben tart"
"/st/snw/arrival.mp3"       ,"arrival"                         ,"C2"   ,"elérkezés"
"/st/snw/development.mp3"   ,"development"                     ,"C2"   ,"kifejlődés, kialakulás"
"/st/snw/formation.mp3"     ,"formation"                       ,"C2"   ,"megalakulás, kialakulás; megalakítás, kialakítás"
"/st/snw/outbreak.mp3"      ,"outbreak"                        ,"C2"   ,"kitörés ; kirobbanás"
"/st/snw/quest.mp3"         ,"quest"                           ,"C2"   ,"keresés, kutatás"
"/st/snw/sustainability.mp3","sustainability"                  ,"C2"   ,"fenntarthatóság"
"/st/snw/alive.mp3"         ,"alive"                           ,"C2"   ,"tovább élő"
"/st/snw/concrete.mp3"      ,"concrete"                        ,"C2"   ,"konkrét"
"/st/snw/around.mp3"        ,"around"                          ,"C2"   ,"jelen van"
"/st/snk/r888.mp3"          ,"come along"                      ,"C2"   ,"alakul, kialakul; fejlődik, halad   vkivel vmire  vkinek/vminek vkit/vmit"
"/st/snk/r2516.mp3"         ,"spring up"                       ,"C2"   ,"felbukkan   vkivel vmire  vkinek/vminek vkit/vmit"
"/st/snk/r2582.mp3"         ,"stumble across/on/upon sth/sb"   ,"C2"   ,"belebotlik ; összefut ; ráakad   vkivel vmire  vkinek/vminek vkit/vmit"
"/st/snk/r2931.mp3"         ,"track down ↔ sb/sth"             ,"C2"   ,"nyomára bukkan , megtalál   vkivel vmire  vkinek/vminek vkit/vmit"
"/st/snk/r475.mp3"          ,"be born"                         ,"C2"   ,"születik, megszületik"
"/st/snk/r903.mp3"          ,"come into being"                 ,"C2"   ,"létrejön, megszületik"
"/st/snk/r2103.mp3"         ,"originate from/in/with, etc."    ,"C2"   ,"ered/származik /."
"/st/snk/r2640.mp3"         ,"take shape"                      ,"C2"   ,"alakul"
"/st/snk/r2744.mp3"         ,"the germ of sth"                 ,"C2"   ,"csírája"
"/st/snk/r36.mp3"           ,"(the) seeds of sth"              ,"C2"   ,"csírája"
"/st/snw/eradicate.mp3"     ,"eradicate"                       ,"C2"   ,"kiirt, véglegesen eltüntet"
"/st/snw/kill.mp3"          ,"kill"                            ,"C2"   ,"csírájában elfojt vmit"
"/st/snw/pass.mp3"          ,"pass"                            ,"C2"   ,"elmúlik"
"/st/snw/scrap.mp3"         ,"scrap"                           ,"C2"   ,"félredob, kidob, elvet"
"/st/snw/deficiency.mp3"    ,"deficiency"                      ,"C2"   ,"hiány"
"/st/snw/elimination.mp3"   ,"elimination"                     ,"C2"   ,"megszüntetés;  kiesés"
"/st/snw/off.mp3"           ,"off"                             ,"C2"   ,"elmarad"
"/st/snw/unsustainable.mp3" ,"unsustainable"                   ,"C2"   ,"fenntarthatatlan"
"/st/snw/behind.mp3"        ,"behind"                          ,"C2"   ,"vki/vmi mögött, már a múlté"
"/st/snk/r1004.mp3"         ,"die down"                        ,"C2"   ,"alábbhagy"
"/st/snk/r1066.mp3"         ,"dry up"                          ,"C2"   ,"elapad , megszűnik"
"/st/snk/r2431.mp3"         ,"shake off ↔ sth"                 ,"C2"   ,"leráz"
"/st/snk/r2462.mp3"         ,"slip away"                       ,"C2"   ,"eloson, elillan"
"/st/snk/r3018.mp3"         ,"wipe out ↔ sth"                  ,"C2"   ,"elpusztít"
"/st/snk/r2980.mp3"         ,"vanish into thin air"            ,"C2"   ,"nyomtalanul eltűnik"
"/st/snw/allow.mp3"         ,"allow"                           ,"C2"   ,"enged, hagy"
"/st/snw/develop.mp3"       ,"develop"                         ,"C2"   ,"kialakul, fellép"
"/st/snw/erupt.mp3"         ,"erupt"                           ,"C2"   ,"kitör"
"/st/snw/present_verb.mp3"  ,"present"                         ,"C2"   ,"adódik, mutatkozik"
"/st/snw/unfold.mp3"        ,"unfold"                          ,"C2"   ,"kibontakozik ; kibontakoztat"
"/st/snw/course.mp3"        ,"course"                          ,"C2"   ,"folyamat, menet"
"/st/snw/strand.mp3"        ,"strand"                          ,"C2"   ,"szál, fonal"
"/st/snw/thread.mp3"        ,"thread"                          ,"C2"   ,"fonal"
"/st/snw/tranquillity.mp3"  ,"tranquillity"                    ,"C2"   ,"nyugalom, békesség"
"/st/snw/wave.mp3"          ,"wave"                            ,"C2"   ,"hullám"
"/st/snw/alive.mp3"         ,"alive"                           ,"C2"   ,"életteli, élénk"
"/st/snw/dynamic.mp3"       ,"dynamic"                         ,"C2"   ,"dinamikus"
"/st/snw/eventful.mp3"      ,"eventful"                        ,"C2"   ,"eseménydús"
"/st/snw/underway.mp3"      ,"underway"                        ,"C2"   ,"folyamatban van"
"/st/snw/uneventful.mp3"    ,"uneventful"                      ,"C2"   ,"eseménytelen"
"/st/snk/r884.mp3"          ,"come about"                      ,"C2"   ,"történik, megtörténik, bekövetkezik; felvetődik"
"/st/snk/r540.mp3"          ,"be in the process of doing sth"  ,"C2"   ,"közben/alatt van  vmi vmi   vkivel/vmivel"
"/st/snk/r639.mp3"          ,"be under way"                    ,"C2"   ,"folyamatban van  vmi vmi   vkivel/vmivel"
"/st/snk/r1549.mp3"         ,"in hand"                         ,"C2"   ,"elintézés alatt  vmi vmi   vkivel/vmivel"
"/st/snk/r2600.mp3"         ,"take a turn for the better/worse","C2"   ,"jóra/rosszra fordul  vmi vmi   vkivel/vmivel"
"/st/snk/r2946.mp3"         ,"turn of events"                  ,"C2"   ,"fordulat  vmi vmi   vkivel/vmivel"
"/st/snk/r3002.mp3"         ,"what/whatever became of sb/sth"  ,"C2"   ,"mi történt  vmi vmi   vkivel/vmivel"
"/st/snw/incur.mp3"         ,"incur"                           ,"C2"   ,"kiteszi magát vminek"
"/st/snw/leave.mp3"         ,"leave"                           ,"C2"   ,"hagy vhogy vmit/vkit ; marad vmi/vki vhogy"
"/st/snw/reign.mp3"         ,"reign"                           ,"C2"   ,"uralkodik vmi"
"/st/snw/stand.mp3"         ,"stand"                           ,"C2"   ,"áll vhogy"
"/st/snw/surround.mp3"      ,"surround"                        ,"C2"   ,"körülvesz"
"/st/snw/direction.mp3"     ,"direction"                       ,"C2"   ,"irány , cél"
"/st/snw/legacy.mp3"        ,"legacy"                          ,"C2"   ,"hagyaték, örökség"
"/st/snw/realm.mp3"         ,"realm"                           ,"C2"   ,"területe vminek"
"/st/snw/underlying.mp3"    ,"underlying"                      ,"C2"   ,"vminek az alapját képező, mögöttes"
"/st/snw/near.mp3"          ,"near"                            ,"C2"   ,"közel"
"/st/snk/r660.mp3"          ,"be/get caught up in sth"         ,"C2"   ,"belekeveredik  vmibe"
