"AUDIOFILE"                ,"FOREIGNWORD"                               ,"LEVEL","NATIVEWORD"
"/st/snw/remove.mp3"       ,"remove"                                    ,"C2"   ,"elbocsát"
"/st/snw/leave.mp3"        ,"leave"                                     ,"C2"   ,"szabadság"
"/st/snw/qualification.mp3","qualification"                             ,"C2"   ,"alkalmassági követelmény/előírás"
"/st/snw/rejection.mp3"    ,"rejection"                                 ,"C2"   ,"elutasítás"
"/st/snw/resignation.mp3"  ,"resignation"                               ,"C2"   ,"felmondás, lemondás"
"/st/snw/turnover.mp3"     ,"turnover"                                  ,"C2"   ,"fluktuáció, munkaerő cserélődése"
"/st/snw/casual.mp3"       ,"casual"                                    ,"C2"   ,"alkalmi"
"/st/snk/r2554.mp3"        ,"step down"                                 ,"C2"   ,"lemond"
"/st/snk/r768.mp3"         ,"burn the midnight oil"                     ,"C2"   ,"késő éjszakáig dolgozik"
"/st/snk/r1405.mp3"        ,"hand/give in your notice"                  ,"C2"   ,"beadja a felmondását"
"/st/snk/r1469.mp3"        ,"hold down a job"                           ,"C2"   ,"megtart egy állást"
"/st/snk/r1523.mp3"        ,"in attendance"                             ,"C2"   ,"ügyeletben/szolgálatban"
"/st/snk/r2066.mp3"        ,"on the side"                               ,"C2"   ,"mellékesen dolgozik még"
"/st/snk/r2108.mp3"        ,"out of a job"                              ,"C2"   ,"nincs állása"
"/st/snk/r2548.mp3"        ,"steady job/work"                           ,"C2"   ,"stabil/megbízható állás/munkahely"
"/st/snw/appointment.mp3"  ,"appointment"                               ,"C2"   ,"kinevezés ; megbízatás, állás"
"/st/snw/career.mp3"       ,"career"                                    ,"C2"   ,"pálya"
"/st/snw/hierarchy.mp3"    ,"hierarchy"                                 ,"C2"   ,"rangsor, hierarchia"
"/st/snw/master.mp3"       ,"master"                                    ,"C2"   ,"mester"
"/st/snw/practitioner.mp3" ,"practitioner"                              ,"C2"   ,"orvos, ügyvéd; praxisban levő vki"
"/st/snw/predecessor.mp3"  ,"predecessor"                               ,"C2"   ,"előd, elődje vkinek/vminek"
"/st/snw/recruit.mp3"      ,"recruit"                                   ,"C2"   ,"újonc"
"/st/snw/veteran.mp3"      ,"veteran"                                   ,"C2"   ,"veterán"
"/st/snw/vocation.mp3"     ,"vocation"                                  ,"C2"   ,"hivatottság ; hivatás"
"/st/snw/hierarchical.mp3" ,"hierarchical"                              ,"C2"   ,"hierarchikus"
"/st/snk/r2528.mp3"        ,"stand in"                                  ,"C2"   ,"helyettesít  vkit"
"/st/snk/r144.mp3"         ,"a conflict of interest"                    ,"C2"   ,"összeférhetetlenség ; érdekellentét    vminek  vminek"
"/st/snk/r310.mp3"         ,"an intimate knowledge/understanding of sth","C2"   ,"alapos/részletes ismeretekkel rendelkezik    vminek  vminek"
"/st/snk/r409.mp3"         ,"at your fingertips"                        ,"C2"   ,"kisujjában van    vminek  vminek"
"/st/snk/r1294.mp3"        ,"get the hang of sth"                       ,"C2"   ,"belejön , kitanulja a csínját-bínját    vminek  vminek"
"/st/snk/r1743.mp3"        ,"know your stuff"                           ,"C2"   ,"jól érti a dolgát    vminek  vminek"
"/st/snk/r1771.mp3"        ,"learn/know the ropes"                      ,"C2"   ,"tudja/megtanulja a csínját-bínját    vminek  vminek"
"/st/snk/r1903.mp3"        ,"make your way"                             ,"C2"   ,"érvényesül, boldogul    vminek  vminek"
"/st/snk/r2122.mp3"        ,"out of your depth"                         ,"C2"   ,"elveszti a talajt a lába alól    vminek  vminek"
"/st/snk/r2755.mp3"        ,"the ins and outs of sth"                   ,"C2"   ,"minden csínja-bínja    vminek  vminek"
"/st/snk/r2832.mp3"        ,"the top"                                   ,"C2"   ,"csúcs, csúcsa , legmagasabb rang/pozíció    vminek  vminek"
"/st/snw/delegate_verb.mp3","delegate"                                  ,"C2"   ,"munkát kiad/kioszt/átruház, delegál"
"/st/snw/overload_verb.mp3","overload"                                  ,"C2"   ,"túlterhel"
"/st/snw/army.mp3"         ,"army"                                      ,"C2"   ,"egy sereg"
"/st/snw/enterprise.mp3"   ,"enterprise"                                ,"C2"   ,"vállalkozás"
"/st/snw/morale.mp3"       ,"morale"                                    ,"C2"   ,"közszellem, közhangulat"
"/st/snw/overload_noun.mp3","overload"                                  ,"C2"   ,"túlterhelés"
"/st/snw/running.mp3"      ,"running"                                   ,"C2"   ,"vezetés, irányítás"
"/st/snw/undertaking.mp3"  ,"undertaking"                               ,"C2"   ,"vállalkozás, feladat; kötelezettségvállalás"
"/st/snw/over.mp3"         ,"over"                                      ,"C2"   ,"felett"
"/st/snk/r366.mp3"         ,"assume control/power/responsibility, etc." ,"C2"   ,"átveszi az irányítást/hatalmat/felelősséget/stb.   vkit  vkit"
"/st/snk/r1699.mp3"        ,"keep sb on their toes"                     ,"C2"   ,"állandóan készenlétben tart/dolgoztat   vkit  vkit"
"/st/snk/r2879.mp3"        ,"throw sb in at the deep end"               ,"C2"   ,"mély vízbe dobnak   vkit  vkit"
