"AUDIOFILE"               ,"FOREIGNWORD"                 ,"LEVEL","NATIVEWORD"
"/st/snw/circulation.mp3" ,"circulation"                 ,"C2"   ,"példányszám ; forgalma/terjedése/terjesztése vminek"
"/st/snw/cookie.mp3"      ,"cookie"                      ,"C2"   ,"süti, cookie"
"/st/snw/feature.mp3"     ,"feature"                     ,"C2"   ,"színes újságcikk; érdekes TV műsor"
"/st/snw/host.mp3"        ,"host"                        ,"C2"   ,"műsorvezető"
"/st/snw/thread.mp3"      ,"thread"                      ,"C2"   ,"üzenetszál"
"/st/snw/transmission.mp3","transmission"                ,"C2"   ,"közvetítés, adás"
"/st/snw/commercial.mp3"  ,"commercial"                  ,"C2"   ,"kereskedelmi, hasznot hozó"
"/st/snk/r728.mp3"        ,"bounce back"                 ,"C2"   ,"az e-mail visszajön, nem megy el a megadott címre"
"/st/snk/r809.mp3"        ,"call up ↔ sth"               ,"C2"   ,"lehív"
"/st/snk/r1637.mp3"       ,"in/out of print"             ,"C2"   ,"kapható; megjelenik nyomtatásban/ elfogyott"
"/st/snk/r2383.mp3"       ,"scroll up/down/through, etc.","C2"   ,"fel-/le-/át-/stb. görget"
