"AUDIOFILE"               ,"FOREIGNWORD"                            ,"LEVEL","NATIVEWORD"
"/st/snw/inherit.mp3"     ,"inherit"                                ,"C2"   ,"örököl"
"/st/snw/shine.mp3"       ,"shine"                                  ,"C2"   ,"fényeskedik vmiben"
"/st/snw/charisma.mp3"    ,"charisma"                               ,"C2"   ,"karizma, vonzerő"
"/st/snw/clumsiness.mp3"  ,"clumsiness"                             ,"C2"   ,"ügyetlenség, esetlenség"
"/st/snw/disposition.mp3" ,"disposition"                            ,"C2"   ,"természet, hajlam, beállítottság"
"/st/snw/fanatic.mp3"     ,"fanatic"                                ,"C2"   ,"fanatikus, megszállott"
"/st/snw/flair.mp3"       ,"flair"                                  ,"C2"   ,"stílus, stílusérzék, kreativitás"
"/st/snw/genius.mp3"      ,"genius"                                 ,"C2"   ,"zsenialitás, különleges képesség vmilyen területen"
"/st/snw/individual.mp3"  ,"individual"                             ,"C2"   ,"egyén, egyéniség"
"/st/snw/outlook.mp3"     ,"outlook"                                ,"C2"   ,"szemléletmód"
"/st/snw/point.mp3"       ,"point"                                  ,"C2"   ,"pont, oldal, vonás"
"/st/snw/stubbornness.mp3","stubbornness"                           ,"C2"   ,"makacsság"
"/st/snw/trait.mp3"       ,"trait"                                  ,"C2"   ,"vonás, jellemvonás"
"/st/snw/virtue.mp3"      ,"virtue"                                 ,"C2"   ,"erény"
"/st/snw/able.mp3"        ,"able"                                   ,"C2"   ,"ügyes, tehetséges"
"/st/snw/awkward.mp3"     ,"awkward"                                ,"C2"   ,"esetlen, nehézkes; kényelmetlen"
"/st/snw/charismatic.mp3" ,"charismatic"                            ,"C2"   ,"karizmatikus"
"/st/snw/cunning.mp3"     ,"cunning"                                ,"C2"   ,"ravasz; alattomos"
"/st/snw/defensive.mp3"   ,"defensive"                              ,"C2"   ,"védekező ; védelmi"
"/st/snw/dominant.mp3"    ,"dominant"                               ,"C2"   ,"erős, erősebb, domináló"
"/st/snw/eccentric.mp3"   ,"eccentric"                              ,"C2"   ,"hóbortos, furcsa"
"/st/snw/eminent.mp3"     ,"eminent"                                ,"C2"   ,"kiváló"
"/st/snw/firm.mp3"        ,"firm"                                   ,"C2"   ,"határozott"
"/st/snw/fussy.mp3"       ,"fussy"                                  ,"C2"   ,"finnyás, válogatós"
