"AUDIOFILE"               ,"FOREIGNWORD"                      ,"LEVEL","NATIVEWORD"
"/st/snw/fluctuate.mp3"   ,"fluctuate"                        ,"C2"   ,"ingadozik"
"/st/snw/acre.mp3"        ,"acre"                             ,"C2"   ,"angol hold"
"/st/snw/bundle.mp3"      ,"bundle"                           ,"C2"   ,"köteg"
"/st/snw/ceiling.mp3"     ,"ceiling"                          ,"C2"   ,"felső határ"
"/st/snw/dash.mp3"        ,"dash"                             ,"C2"   ,"egy cseppnyi"
"/st/snw/grain.mp3"       ,"grain"                            ,"C2"   ,"szem"
"/st/snw/heap.mp3"        ,"heap"                             ,"C2"   ,"rakás, kupac"
"/st/snw/mountain.mp3"    ,"mountain"                         ,"C2"   ,"-hegy"
"/st/snw/scrap.mp3"       ,"scrap"                            ,"C2"   ,"kis darabka, csipetnyi"
"/st/snw/finite.mp3"      ,"finite"                           ,"C2"   ,"véges ; ragozott"
"/st/snw/set.mp3"         ,"set"                              ,"C2"   ,"változatlan, állandó, kötött"
"/st/snk/r165.mp3"        ,"a good 20 minutes/30 miles, etc." ,"C2"   ,"jó 20 perc/30 mérföld   vmi  vmivel"
"/st/snk/r232.mp3"        ,"a string of sth"                  ,"C2"   ,"egy sor/sorozat   vmi  vmivel"
"/st/snk/r2114.mp3"       ,"out of proportion"                ,"C2"   ,"nem áll arányban   vmi  vmivel"
"/st/snk/r2974.mp3"       ,"upwards of sth"                   ,"C2"   ,"több mint   vmi  vmivel"
"/st/snw/flood.mp3"       ,"flood"                            ,"C2"   ,"özön, áradat"
"/st/snw/fraction.mp3"    ,"fraction"                         ,"C2"   ,"tört része/töredéke vminek; tört, törtszámnév"
"/st/snw/grain.mp3"       ,"grain"                            ,"C2"   ,"egy szemernyi vmi"
"/st/snw/scarcity.mp3"    ,"scarcity"                         ,"C2"   ,"hiány"
"/st/snw/slice.mp3"       ,"slice"                            ,"C2"   ,"rész, részesedés ; szelet"
"/st/snw/bare.mp3"        ,"bare"                             ,"C2"   ,"épphogy elegendő"
"/st/snw/innumerable.mp3" ,"innumerable"                      ,"C2"   ,"megszámlálhatatlanul sok"
"/st/snw/miserable.mp3"   ,"miserable"                        ,"C2"   ,"gyatra, jelentéktelen"
"/st/snw/slim.mp3"        ,"slim"                             ,"C2"   ,"csekély, halvány"
"/st/snw/superfluous.mp3" ,"superfluous"                      ,"C2"   ,"fölösleges"
"/st/snw/undue.mp3"       ,"undue"                            ,"C2"   ,"túlzott, indokolatlan"
"/st/snk/r504.mp3"        ,"be flooded with sth"              ,"C2"   ,"eláraszt  vmivel"
"/st/snk/r154.mp3"        ,"a drop in the ocean"              ,"C2"   ,"egy csepp a tengerben"
"/st/snk/r155.mp3"        ,"a fair amount/distance/size, etc.","C2"   ,"jókora mennyiség/távolság/méret/stb."
"/st/snk/r172.mp3"        ,"a hint of sth"                    ,"C2"   ,"parányi"
"/st/snk/r201.mp3"        ,"a plethora of sth"                ,"C2"   ,"özöne ; túltengés"
"/st/snk/r242.mp3"        ,"a touch"                          ,"C2"   ,"egy pici"
"/st/snk/r248.mp3"        ,"a wealth of sth"                  ,"C2"   ,"bőség"
"/st/snk/r309.mp3"        ,"an element of sth"                ,"C2"   ,"valami kis"
"/st/snk/r553.mp3"        ,"be lacking"                       ,"C2"   ,"nincs elegendő , hiányzik"
"/st/snk/r631.mp3"        ,"be the tip of the iceberg"        ,"C2"   ,"a jéghegy csúcsa"
"/st/snk/r1455.mp3"       ,"heaps of sth"                     ,"C2"   ,"egy csomó, rengeteg"
"/st/snk/r2089.mp3"       ,"only so much/many"                ,"C2"   ,"csak ennyi"
"/st/snw/count.mp3"       ,"count"                            ,"C2"   ,"beleszámol, beleszámít"
"/st/snw/maximize.mp3"    ,"maximize"                         ,"C2"   ,"maximalizál, maximálisan kihasznál/felfokoz"
"/st/snw/mount.mp3"       ,"mount"                            ,"C2"   ,"emelkedik, fokozódik"
"/st/snw/narrow.mp3"      ,"narrow"                           ,"C2"   ,"szűkül ; szűkít"
"/st/snw/number.mp3"      ,"number"                           ,"C2"   ,"kitesz, számlál vmennyit"
"/st/snw/pass.mp3"        ,"pass"                             ,"C2"   ,"meghalad, túlhalad"
"/st/snw/pinpoint.mp3"    ,"pinpoint"                         ,"C2"   ,"hajszálpontosan meghatároz/megfogalmaz/megjelöl"
"/st/snw/soar.mp3"        ,"soar"                             ,"C2"   ,"szárnyal, magasba/magasra szökik"
