"AUDIOFILE"                 ,"FOREIGNWORD"                              ,"LEVEL","NATIVEWORD"
"/st/snw/seek.mp3"          ,"seek"                                     ,"C2"   ,"törekszik vmire"
"/st/snw/impulse.mp3"       ,"impulse"                                  ,"C2"   ,"késztetés, ellenállhatatlan vágy"
"/st/snw/intent.mp3"        ,"intent"                                   ,"C2"   ,"szándék"
"/st/snw/purpose.mp3"       ,"purpose"                                  ,"C2"   ,"cél, szándék"
"/st/snw/automatic.mp3"     ,"automatic"                                ,"C2"   ,"önkéntelen, reflexszerű, automatikus"
"/st/snw/impulsive.mp3"     ,"impulsive"                                ,"C2"   ,"ösztönös, impulzív"
"/st/snw/unconscious.mp3"   ,"unconscious"                              ,"C2"   ,"öntudatlan, nem tudatos, nem szándékos; tudat alatti"
"/st/snw/knowingly.mp3"     ,"knowingly"                                ,"C2"   ,"tudatosan"
"/st/snw/subconsciously.mp3","subconsciously"                           ,"C2"   ,"tudat alatt"
"/st/snw/unconsciously.mp3" ,"unconsciously"                            ,"C2"   ,"öntudatlanul, nem tudatosan"
"/st/snk/r1305.mp3"         ,"get up to sth"                            ,"C2"   ,"sántikál  vmiben"
"/st/snk/r1665.mp3"         ,"jump at sth"                              ,"C2"   ,"kapva kap  vmiben"
"/st/snk/r1768.mp3"         ,"leap at sth"                              ,"C2"   ,"kapva kap  vmiben"
"/st/snk/r145.mp3"          ,"a conscious decision/choice/effort, etc." ,"C2"   ,"tudatos döntés/választás/erőfeszítés/stb.    vmire  vmire vmit  vmit   vmi     vmit"
"/st/snk/r305.mp3"          ,"an aspiring actor/politician/writer, etc.","C2"   ,"törekvő színész/politikus/író/stb.    vmire  vmire vmit  vmit   vmi     vmit"
"/st/snk/r361.mp3"          ,"aspire to sth; aspire to do sth"          ,"C2"   ,"törekszik    vmire  vmire vmit  vmit   vmi     vmit"
"/st/snk/r451.mp3"          ,"be aimed at doing sth"                    ,"C2"   ,"törekedve , szándékozva    vmire  vmire vmit  vmit   vmi     vmit"
"/st/snk/r477.mp3"          ,"be calculated to do sth"                  ,"C2"   ,"szándékosan tesz    vmire  vmire vmit  vmit   vmi     vmit"
"/st/snk/r549.mp3"          ,"be itching to do sth"                     ,"C2"   ,"ég a vágytól, alig várja hogy ...    vmire  vmire vmit  vmit   vmi     vmit"
"/st/snk/r555.mp3"          ,"be led by sth"                            ,"C2"   ,"vezeti    vmire  vmire vmit  vmit   vmi     vmit"
"/st/snk/r2024.mp3"         ,"of your own accord"                       ,"C2"   ,"saját elhatározásából, önszántából    vmire  vmire vmit  vmit   vmi     vmit"
"/st/snk/r2045.mp3"         ,"on impulse"                               ,"C2"   ,"ösztönösen    vmire  vmire vmit  vmit   vmi     vmit"
"/st/snk/r2425.mp3"         ,"set your sights on sth"                   ,"C2"   ,"célul tűz ki    vmire  vmire vmit  vmit   vmi     vmit"
"/st/snk/r2716.mp3"         ,"the desired effect/result/shape, etc."    ,"C2"   ,"kívánt hatás/eredmény/forma/stb.    vmire  vmire vmit  vmit   vmi     vmit"
"/st/snw/battle.mp3"        ,"battle"                                   ,"C2"   ,"küzd, küszködik"
"/st/snw/chase.mp3"         ,"chase"                                    ,"C2"   ,"kerget"
"/st/snw/combat.mp3"        ,"combat"                                   ,"C2"   ,"harcol vmi ellen"
"/st/snw/strive.mp3"        ,"strive"                                   ,"C2"   ,"erőfeszítést tesz, törekszik vmire"
"/st/snw/struggle.mp3"      ,"struggle"                                 ,"C2"   ,"küszködik"
"/st/snw/summon.mp3"        ,"summon"                                   ,"C2"   ,"összeszed"
"/st/snw/bid.mp3"           ,"bid"                                      ,"C2"   ,"kísérlet"
"/st/snw/endeavour.mp3"     ,"endeavour"                                ,"C2"   ,"igyekezet, erőfeszítés"
"/st/snw/pursuit.mp3"       ,"pursuit"                                  ,"C2"   ,"űzés, hajszolás; törekvés"
"/st/snk/r324.mp3"          ,"apply yourself"                           ,"C2"   ,"összpontosít ; szorgalmasan dolgozik  vmire"
