"AUDIOFILE"                ,"FOREIGNWORD"                              ,"LEVEL","NATIVEWORD"
"/st/snw/loom.mp3"         ,"loom"                                     ,"C2"   ,"meredez, tornyosul"
"/st/snw/anticipation.mp3" ,"anticipation"                             ,"C2"   ,"várakozás"
"/st/snw/irony.mp3"        ,"irony"                                    ,"C2"   ,"a sors iróniája"
"/st/snw/likelihood.mp3"   ,"likelihood"                               ,"C2"   ,"valószínűség"
"/st/snw/prospect.mp3"     ,"prospect"                                 ,"C2"   ,"kilátás, lehetőség"
"/st/snw/scenario.mp3"     ,"scenario"                                 ,"C2"   ,"jövő, jövőkép; forgatókönyv, szövegkönyv"
"/st/snw/ironic.mp3"       ,"ironic"                                   ,"C2"   ,"furcsa ; gúnyos, ironikus"
"/st/snw/ironically.mp3"   ,"ironically"                               ,"C2"   ,"jellemző/a sors iróniája ; gúnyosan, ironikusan"
"/st/snk/r2276.mp3"        ,"reckon on sth/doing sth"                  ,"C2"   ,"számít  vmire"
"/st/snk/r233.mp3"         ,"a stroke of luck"                         ,"C2"   ,"mázli, váratlan szerencse     vminek vmi vkire"
"/st/snk/r235.mp3"         ,"a strong chance/possibility, etc."        ,"C2"   ,"nagy esély/lehetőség/stb.     vminek vmi vkire"
"/st/snk/r272.mp3"         ,"against all (the) odds"                   ,"C2"   ,"váratlanul     vminek vmi vkire"
"/st/snk/r528.mp3"         ,"be in for sth"                            ,"C2"   ,"elébe néz , vár     vminek vmi vkire"
"/st/snk/r584.mp3"         ,"be on the cards"                          ,"C2"   ,"valószínű     vminek vmi vkire"
"/st/snk/r945.mp3"         ,"could/may/might, etc. yet"                ,"C2"   ,"egyszer még     vminek vmi vkire"
"/st/snk/r1517.mp3"        ,"in all likelihood"                        ,"C2"   ,"minden valószínűség szerint     vminek vmi vkire"
"/st/snk/r1518.mp3"        ,"in all probability"                       ,"C2"   ,"minden valószínűség szerint     vminek vmi vkire"
"/st/snk/r1519.mp3"        ,"in anticipation (of)"                     ,"C2"   ,"előre várva/felkészülve     vminek vmi vkire"
"/st/snk/r2523.mp3"        ,"stand a chance"                           ,"C2"   ,"van esélye     vminek vmi vkire"
"/st/snk/r34.mp3"          ,"(the) chances are"                        ,"C2"   ,"valószínűleg     vminek vmi vkire"
"/st/snw/take.mp3"         ,"take"                                     ,"C2"   ,"igényel vmi vmit"
"/st/snw/break.mp3"        ,"break"                                    ,"C2"   ,"esély, lehetőség"
"/st/snw/grasp.mp3"        ,"grasp"                                    ,"C2"   ,"hatalom"
"/st/snw/impossibility.mp3","impossibility"                            ,"C2"   ,"lehetetlenség"
"/st/snw/scope.mp3"        ,"scope"                                    ,"C2"   ,"mozgástér"
"/st/snw/attainable.mp3"   ,"attainable"                               ,"C2"   ,"megvalósítható, elérhető"
"/st/snw/imperative.mp3"   ,"imperative"                               ,"C2"   ,"sürgős, elengedhetetlen"
"/st/snw/unattainable.mp3" ,"unattainable"                             ,"C2"   ,"elérhetetlen, megvalósíthatatlan"
"/st/snw/unavoidably.mp3"  ,"unavoidably"                              ,"C2"   ,"elkerülhetetlenül"
"/st/snk/r489.mp3"         ,"be crying out for sth"                    ,"C2"   ,"nagy szüksége van rá"
"/st/snk/r564.mp3"         ,"be meant to do sth"                       ,"C2"   ,"tennie kell  vmit"
"/st/snk/r705.mp3"         ,"beyond (sb's) reach"                      ,"C2"   ,"elérhetetlen/megoldhatatlan számára  vmit"
"/st/snk/r825.mp3"         ,"cannot afford"                            ,"C2"   ,"nem engedheti meg  vmit"
"/st/snk/r994.mp3"         ,"defy belief/description/explanation, etc.","C2"   ,"szinte hihetetlen/leírhatatlan/megmagyarázhatatlan/stb.  vmit"
"/st/snk/r1499.mp3"        ,"if/when push comes to shove"              ,"C2"   ,"ha úgy hozza/rászorít a szükség  vmit"
"/st/snk/r2853.mp3"        ,"there needs to be sth"                    ,"C2"   ,"szükséges  vmit"
"/st/snk/r3033.mp3"        ,"within (sb's) reach"                      ,"C2"   ,"karnyújtásnyira  vmit"
