"AUDIOFILE"               ,"FOREIGNWORD"             ,"LEVEL","NATIVEWORD"
"/st/snw/crawl.mp3"       ,"crawl"                   ,"C2"   ,"mászik"
"/st/snw/go.mp3"          ,"go"                      ,"C2"   ,"vmilyen hangot ad, mozog vhogy"
"/st/snw/hop.mp3"         ,"hop"                     ,"C2"   ,"ugrál, ugrándozik, szökdécsel"
"/st/snw/nest.mp3"        ,"nest"                    ,"C2"   ,"fészkel"
"/st/snw/reproduce.mp3"   ,"reproduce"               ,"C2"   ,"szaporodik"
"/st/snw/roar.mp3"        ,"roar"                    ,"C2"   ,"üvölt, bőg ; zúg, elzúg, elrobog"
"/st/snw/coral.mp3"       ,"coral"                   ,"C2"   ,"korall"
"/st/snw/cricket.mp3"     ,"cricket"                 ,"C2"   ,"tücsök"
"/st/snw/cry.mp3"         ,"cry"                     ,"C2"   ,"állatkiáltás"
"/st/snw/dna.mp3"         ,"DNA"                     ,"C2"   ,"dezoxiribonukleinsav"
"/st/snw/nest.mp3"        ,"nest"                    ,"C2"   ,"fészek"
"/st/snw/pack.mp3"        ,"pack"                    ,"C2"   ,"falka"
"/st/snw/prey.mp3"        ,"prey"                    ,"C2"   ,"zsákmány, préda"
"/st/snw/reproduction.mp3","reproduction"            ,"C2"   ,"szaporodás"
"/st/snw/roar.mp3"        ,"roar"                    ,"C2"   ,"üvöltés; morajlás, zúgás"
"/st/snw/native.mp3"      ,"native"                  ,"C2"   ,"honos, őshonos"
"/st/snk/r2691.mp3"       ,"the animal/plant kingdom","C2"   ,"állatvilág/növényvilág"
"/st/snw/break.mp3"       ,"break"                   ,"C2"   ,"kitör"
"/st/snw/break.mp3"       ,"break"                   ,"C2"   ,"megváltozik"
"/st/snw/erode.mp3"       ,"erode"                   ,"C2"   ,"kimar, kiváj, lepusztít, erodál"
"/st/snw/hail.mp3"        ,"hail"                    ,"C2"   ,"jégeső esik"
"/st/snw/bark.mp3"        ,"bark"                    ,"C2"   ,"fakéreg"
"/st/snw/bed.mp3"         ,"bed"                     ,"C2"   ,"-ágy, -meder, -fenék"
"/st/snw/chill.mp3"       ,"chill"                   ,"C2"   ,"csípős hideg"
"/st/snw/coastline.mp3"   ,"coastline"               ,"C2"   ,"partvidék, tengerpart"
"/st/snw/coldness.mp3"    ,"coldness"                ,"C2"   ,"hidegség"
"/st/snw/drought.mp3"     ,"drought"                 ,"C2"   ,"szárazság, aszály"
"/st/snw/grain.mp3"       ,"grain"                   ,"C2"   ,"gabona; gabonaszem"
"/st/snw/hail.mp3"        ,"hail"                    ,"C2"   ,"jégeső"
"/st/snw/horizon.mp3"     ,"horizon"                 ,"C2"   ,"horizont, látóhatár"
"/st/snw/point.mp3"       ,"point"                   ,"C2"   ,"az iránytű fokjelzése"
"/st/snw/weed.mp3"        ,"weed"                    ,"C2"   ,"gyom; hínár"
"/st/snw/wilderness.mp3"  ,"wilderness"              ,"C2"   ,"vadon, pusztaság; érintetlen táj"
"/st/snw/woodland.mp3"    ,"woodland"                ,"C2"   ,"erdőség, erdős vidék"
"/st/snw/arid.mp3"        ,"arid"                    ,"C2"   ,"nagyon száraz"
"/st/snw/bleak.mp3"       ,"bleak"                   ,"C2"   ,"zord , kietlen, kopár, sivár"
"/st/snw/continental.mp3" ,"continental"             ,"C2"   ,"kontinentális"
"/st/snw/crisp.mp3"       ,"crisp"                   ,"C2"   ,"friss, csípős"
"/st/snw/still.mp3"       ,"still"                   ,"C2"   ,"nyugodt, csendes, mozdulatlan"
"/st/snw/torrential.mp3"  ,"torrential"              ,"C2"   ,"szakadó, ömlő, zuhogó"
"/st/snw/wild.mp3"        ,"wild"                    ,"C2"   ,"vad, viharos"
"/st/snk/r143.mp3"        ,"a clap of thunder"       ,"C2"   ,"mennydörgés"
"/st/snk/r976.mp3"        ,"darkness/night falls"    ,"C2"   ,"leszáll a sötétség/este"
"/st/snk/r1043.mp3"       ,"down under"              ,"C2"   ,"Ausztrália; Ausztráliában"
"/st/snk/r1226.mp3"       ,"fresh water"             ,"C2"   ,"édesvíz"
"/st/snk/r2704.mp3"       ,"the bush"                ,"C2"   ,"erdős-bozótos terület"
"/st/snk/r2746.mp3"       ,"the globe"               ,"C2"   ,"a világ, a Föld"
