"AUDIOFILE"                 ,"FOREIGNWORD"                               ,"LEVEL","NATIVEWORD"
"/st/snw/assemble.mp3"      ,"assemble"                                  ,"C2"   ,"összegyűjt; összegyűlik"
"/st/snw/represent.mp3"     ,"represent"                                 ,"C2"   ,"képvisel vkit/vmit"
"/st/snw/alliance.mp3"      ,"alliance"                                  ,"C2"   ,"szövetség"
"/st/snw/assembly.mp3"      ,"assembly"                                  ,"C2"   ,"gyűlés"
"/st/snw/body.mp3"          ,"body"                                      ,"C2"   ,"testület"
"/st/snw/capitalism.mp3"    ,"capitalism"                                ,"C2"   ,"kapitalizmus"
"/st/snw/civilian.mp3"      ,"civilian"                                  ,"C2"   ,"civil személy"
"/st/snw/colour.mp3"        ,"colour"                                    ,"C2"   ,"bőrszín"
"/st/snw/donor.mp3"         ,"donor"                                     ,"C2"   ,"adományozó"
"/st/snw/exile.mp3"         ,"exile"                                     ,"C2"   ,"száműzetés; száműzött"
"/st/snw/famine.mp3"        ,"famine"                                    ,"C2"   ,"éhínség"
"/st/snw/frontier.mp3"      ,"frontier"                                  ,"C2"   ,"határ, országhatár"
"/st/snw/gulf.mp3"          ,"gulf"                                      ,"C2"   ,"szakadék  ; öböl"
"/st/snw/homelessness.mp3"  ,"homelessness"                              ,"C2"   ,"hajléktalanság"
"/st/snw/inequality.mp3"    ,"inequality"                                ,"C2"   ,"egyenlőtlenség"
"/st/snw/land.mp3"          ,"land"                                      ,"C2"   ,"ország"
"/st/snw/materialism.mp3"   ,"materialism"                               ,"C2"   ,"anyagiasság ; materializmus"
"/st/snw/materialist.mp3"   ,"materialist"                               ,"C2"   ,"anyagias ember ; materialista"
"/st/snw/plight.mp3"        ,"plight"                                    ,"C2"   ,"keserves helyzet, balsors"
"/st/snw/racist.mp3"        ,"racist"                                    ,"C2"   ,"rasszista, fajgyűlölő"
"/st/snw/rally.mp3"         ,"rally"                                     ,"C2"   ,"nagygyűlés"
"/st/snw/relief.mp3"        ,"relief"                                    ,"C2"   ,"segély"
"/st/snw/representation.mp3","representation"                            ,"C2"   ,"képviselet"
"/st/snw/socialism.mp3"     ,"socialism"                                 ,"C2"   ,"szocializmus"
"/st/snw/starvation.mp3"    ,"starvation"                                ,"C2"   ,"éhezés; éhhalál"
"/st/snw/taxpayer.mp3"      ,"taxpayer"                                  ,"C2"   ,"adófizető"
"/st/snw/welfare.mp3"       ,"welfare"                                   ,"C2"   ,"jóléti/szociális gondoskodás/ellátás"
"/st/snw/xenophobia.mp3"    ,"xenophobia"                                ,"C2"   ,"idegengyűlölet"
"/st/snw/allied.mp3"        ,"allied"                                    ,"C2"   ,"szövetséges"
"/st/snw/backward.mp3"      ,"backward"                                  ,"C2"   ,"elmaradott, lassan fejlődő"
"/st/snw/capitalist.mp3"    ,"capitalist"                                ,"C2"   ,"kapitalista, tőkés"
"/st/snw/humanitarian.mp3"  ,"humanitarian"                              ,"C2"   ,"emberbaráti, humanitárius"
"/st/snw/humble.mp3"        ,"humble"                                    ,"C2"   ,"szerény, egyszerű"
"/st/snw/inhuman.mp3"       ,"inhuman"                                   ,"C2"   ,"embertelen, kegyetlen ; nem emberi"
"/st/snw/materialist.mp3"   ,"materialist"                               ,"C2"   ,"anyagias ; materialista"
"/st/snw/materialistic.mp3" ,"materialistic"                             ,"C2"   ,"anyagias"
"/st/snw/popular.mp3"       ,"popular"                                   ,"C2"   ,"köz-"
"/st/snw/posh.mp3"          ,"posh"                                      ,"C2"   ,"elegáns, előkelő, felső tízezerhez tartozó"
"/st/snw/racist.mp3"        ,"racist"                                    ,"C2"   ,"rasszista"
"/st/snw/territorial.mp3"   ,"territorial"                               ,"C2"   ,"területi"
"/st/snw/tribal.mp3"        ,"tribal"                                    ,"C2"   ,"törzsi"
"/st/snw/underdeveloped.mp3","underdeveloped"                            ,"C2"   ,"fejletlen,  elmaradt"
"/st/snw/white.mp3"         ,"white"                                     ,"C2"   ,"fehér"
"/st/snk/r462.mp3"          ,"be at liberty to do sth"                   ,"C2"   ,"jogában áll"
"/st/snk/r1077.mp3"         ,"economic/political/social order"           ,"C2"   ,"gazdasági/politikai/társadalmi rend"
"/st/snk/r1223.mp3"         ,"free speech/freedom of speech"             ,"C2"   ,"szabad szólás/szólásszabadság"
"/st/snk/r2726.mp3"         ,"the fabric of sth"                         ,"C2"   ,"szerkezete/struktúrája/felépítése"
"/st/snk/r2754.mp3"         ,"the idea of sth"                           ,"C2"   ,"az eszméje"
"/st/snw/expire.mp3"        ,"expire"                                    ,"C2"   ,"lejár"
"/st/snw/revolt.mp3"        ,"revolt"                                    ,"C2"   ,"lázad, fellázad"
"/st/snw/riot.mp3"          ,"riot"                                      ,"C2"   ,"lázad, zendül, zavarog"
"/st/snw/suppress.mp3"      ,"suppress"                                  ,"C2"   ,"elnyom, eltipor"
"/st/snw/bureaucracy.mp3"   ,"bureaucracy"                               ,"C2"   ,"bürokrácia"
