"AUDIOFILE"                  ,"FOREIGNWORD"                  ,"LEVEL","NATIVEWORD"
"/st/snw/loom.mp3"           ,"loom"                         ,"C2"   ,"meredez, égnek mered"
"/st/snw/overlap.mp3"        ,"overlap"                      ,"C2"   ,"átfed, átfedésben van"
"/st/snw/part.mp3"           ,"part"                         ,"C2"   ,"szétválaszt; szétválik"
"/st/snw/blanket.mp3"        ,"blanket"                      ,"C2"   ,"takaró"
"/st/snw/formation.mp3"      ,"formation"                    ,"C2"   ,"alakzat, képződmény"
"/st/snw/line.mp3"           ,"line"                         ,"C2"   ,"sor"
"/st/snw/line.mp3"           ,"line"                         ,"C2"   ,"határ, határvonal"
"/st/snw/sequence.mp3"       ,"sequence"                     ,"C2"   ,"sorrend"
"/st/snw/way.mp3"            ,"way"                          ,"C2"   ,"út"
"/st/snw/consecutive.mp3"    ,"consecutive"                  ,"C2"   ,"egymást követő"
"/st/snw/sheer.mp3"          ,"sheer"                        ,"C2"   ,"meredek"
"/st/snw/structural.mp3"     ,"structural"                   ,"C2"   ,"szerkezeti"
"/st/snw/together.mp3"       ,"together"                     ,"C2"   ,"össze"
"/st/snk/r1941.mp3"          ,"muddle sth up"                ,"C2"   ,"összekuszál  vmit"
"/st/snk/r425.mp3"           ,"back to front"                ,"C2"   ,"fordítva, eleje van hátul   vmivel vmivel"
"/st/snk/r634.mp3"           ,"be topped with sth"           ,"C2"   ,"tetején ; befedve   vmivel vmivel"
"/st/snw/cross.mp3"          ,"cross"                        ,"C2"   ,"átlép"
"/st/snw/house_verb.mp3"     ,"house"                        ,"C2"   ,"elhelyez, helyet biztosít vminek"
"/st/snw/line.mp3"           ,"line"                         ,"C2"   ,"szegélyez"
"/st/snw/fringe.mp3"         ,"fringe"                       ,"C2"   ,"szél, perem"
"/st/snw/head.mp3"           ,"head"                         ,"C2"   ,"teteje, eleje vminek"
"/st/snw/proximity.mp3"      ,"proximity"                    ,"C2"   ,"közelség"
"/st/snw/range.mp3"          ,"range"                        ,"C2"   ,"távolság, táv"
"/st/snw/adjacent.mp3"       ,"adjacent"                     ,"C2"   ,"szomszédos"
"/st/snw/faraway.mp3"        ,"faraway"                      ,"C2"   ,"távoli, messzi"
"/st/snw/fringe.mp3"         ,"fringe"                       ,"C2"   ,"perem-, szélen levő"
"/st/snw/outgoing.mp3"       ,"outgoing"                     ,"C2"   ,"elmenő, kimenő ; távozó"
"/st/snw/sideways.mp3"       ,"sideways"                     ,"C2"   ,"oldalra; oldalról; oldalára fordítva"
"/st/snw/downhill.mp3"       ,"downhill"                     ,"C2"   ,"lefelé"
"/st/snw/out.mp3"            ,"out"                          ,"C2"   ,"messze, messzire"
"/st/snw/uphill.mp3"         ,"uphill"                       ,"C2"   ,"felfelé"
"/st/snw/whereabouts_adv.mp3","whereabouts"                  ,"C2"   ,"hol, merrefelé"
"/st/snw/amid.mp3"           ,"amid"                         ,"C2"   ,"között"
"/st/snk/r230.mp3"           ,"a stone's throw"              ,"C2"   ,"egy kőhajításnyira"
"/st/snk/r421.mp3"           ,"back and forth"               ,"C2"   ,"oda-vissza"
"/st/snk/r1107.mp3"          ,"extend from/into/over, etc."  ,"C2"   ,"terjed /át/stb."
"/st/snk/r1623.mp3"          ,"in the vicinity (of sth)"     ,"C2"   ,"környék, környéke"
"/st/snk/r2571.mp3"          ,"stretch away/into, etc."      ,"C2"   ,"el-/bele-/stb. nyúlik/terjed"
"/st/snk/r2766.mp3"          ,"the length and breadth of sth","C2"   ,"széltében-hosszában"
"/st/snk/r2828.mp3"          ,"the tail end of sth"          ,"C2"   ,"hátsó rész/vég; far"
