"AUDIOFILE"                  ,"FOREIGNWORD"                                     ,"LEVEL","NATIVEWORD"
"/st/snw/creep.mp3"          ,"creep"                                           ,"C2"   ,"szemét alak, nyalizó"
"/st/snw/devil.mp3"          ,"devil"                                           ,"C2"   ,"elvetemült ember"
"/st/snw/good.mp3"           ,"good"                                            ,"C2"   ,"jó"
"/st/snw/goodness.mp3"       ,"goodness"                                        ,"C2"   ,"jóság"
"/st/snw/monster.mp3"        ,"monster"                                         ,"C2"   ,"szörnyeteg"
"/st/snw/principle.mp3"      ,"principle"                                       ,"C2"   ,"elv"
"/st/snw/sin.mp3"            ,"sin"                                             ,"C2"   ,"bűn"
"/st/snw/standard.mp3"       ,"standard"                                        ,"C2"   ,"erkölcsi színvonal"
"/st/snw/vice.mp3"           ,"vice"                                            ,"C2"   ,"bűn, vétek, erkölcstelenség;  bűnözés"
"/st/snw/virtue.mp3"         ,"virtue"                                          ,"C2"   ,"erény, erényesség"
"/st/snw/ethical.mp3"        ,"ethical"                                         ,"C2"   ,"erkölcsi, etikai"
"/st/snw/ethical.mp3"        ,"ethical"                                         ,"C2"   ,"erkölcsös, etikus"
"/st/snw/stiff.mp3"          ,"stiff"                                           ,"C2"   ,"kimért, merev"
"/st/snw/unethical.mp3"      ,"unethical"                                       ,"C2"   ,"erkölcstelen, etikátlan"
"/st/snk/r937.mp3"           ,"conduct yourself"                                ,"C2"   ,"viselkedik  vhogyan     vmi"
"/st/snk/r1089.mp3"          ,"ethics"                                          ,"C2"   ,"erkölcs; erkölcstan, etika  vhogyan     vmi"
"/st/snk/r1115.mp3"          ,"fair play"                                       ,"C2"   ,"korrekt eljárás; tisztességes játék  vhogyan     vmi"
"/st/snk/r1343.mp3"          ,"go against the grain"                            ,"C2"   ,"meggyőződése ellen van; nem való  vhogyan     vmi"
"/st/snk/r1928.mp3"          ,"morals"                                          ,"C2"   ,"jó modor, erkölcs, erkölcsi érzék, morál  vhogyan     vmi"
"/st/snw/consider.mp3"       ,"consider"                                        ,"C2"   ,"tekintettel van vkire/vmire"
"/st/snw/earn.mp3"           ,"earn"                                            ,"C2"   ,"kiérdemel vmit"
"/st/snw/merit.mp3"          ,"merit"                                           ,"C2"   ,"érdemel, megérdemel, kiérdemel vmit"
"/st/snw/awe.mp3"            ,"awe"                                             ,"C2"   ,"félelemmel/bámulattal vegyes tisztelet, áhítat"
"/st/snw/consideration.mp3"  ,"consideration"                                   ,"C2"   ,"figyelmesség"
"/st/snw/dignity.mp3"        ,"dignity"                                         ,"C2"   ,"méltóság"
"/st/snw/discretion.mp3"     ,"discretion"                                      ,"C2"   ,"tapintat, diszkréció; megítélés, belátás"
"/st/snw/grace.mp3"          ,"grace"                                           ,"C2"   ,"finomság, jó érzés"
"/st/snw/model.mp3"          ,"model"                                           ,"C2"   ,"példakép, mintakép"
"/st/snw/recognition.mp3"    ,"recognition"                                     ,"C2"   ,"hivatalos elismerés, megbecsülés"
"/st/snw/tact.mp3"           ,"tact"                                            ,"C2"   ,"tapintat"
"/st/snw/thought.mp3"        ,"thought"                                         ,"C2"   ,"figyelmesség"
"/st/snw/tribute.mp3"        ,"tribute"                                         ,"C2"   ,"tiszteletadás"
"/st/snw/courteous.mp3"      ,"courteous"                                       ,"C2"   ,"udvarias, előzékeny"
"/st/snw/dignified.mp3"      ,"dignified"                                       ,"C2"   ,"méltóságteljes, tiszteletet parancsoló"
"/st/snw/discreet.mp3"       ,"discreet"                                        ,"C2"   ,"tapintatos, diszkrét"
"/st/snw/due.mp3"            ,"due"                                             ,"C2"   ,"jogosult vmire, jár neki"
"/st/snw/graceful.mp3"       ,"graceful"                                        ,"C2"   ,"finom, jó érzésű"
"/st/snw/harmless.mp3"       ,"harmless"                                        ,"C2"   ,"ártalmatlan"
"/st/snw/innocent.mp3"       ,"innocent"                                        ,"C2"   ,"ártatlan, nem rossz szándékú"
"/st/snw/privileged.mp3"     ,"privileged"                                      ,"C2"   ,"megtiszteltetésben/kiváltságban részesülő"
"/st/snw/refined.mp3"        ,"refined"                                         ,"C2"   ,"kifinomult"
"/st/snw/tactful.mp3"        ,"tactful"                                         ,"C2"   ,"tapintatos"
"/st/snw/above.mp3"          ,"above"                                           ,"C2"   ,"vmi felett áll/van"
"/st/snw/respectfully.mp3"   ,"respectfully"                                    ,"C2"   ,"tisztelettudóan"
"/st/snw/thoughtfully.mp3"   ,"thoughtfully"                                    ,"C2"   ,"előzékenyen; gondosan; elgondolkodva"
"/st/snk/r529.mp3"           ,"be in good taste"                                ,"C2"   ,"jó ízlésű"
"/st/snk/r700.mp3"           ,"beneath your dignity"                            ,"C2"   ,"méltóságán aluli"
"/st/snk/r1871.mp3"          ,"make allowances for sb/sth"                      ,"C2"   ,"tekintettel van"
"/st/snk/r2153.mp3"          ,"pay tribute to sb/sth"                           ,"C2"   ,"tisztelettel adózik"
"/st/snk/r2862.mp3"          ,"think highly/a lot of sb/sth"                    ,"C2"   ,"nagyra/sokra tart"
"/st/snk/r2910.mp3"          ,"to sb's credit"                                  ,"C2"   ,"becsületére legyen mondva"
"/st/snk/r2915.mp3"          ,"to speak/think highly of sb/sth"                 ,"C2"   ,"jó véleménnyel van"
"/st/snk/r3064.mp3"          ,"you have to hand it to sb"                       ,"C2"   ,"leveszi a kalapját előtt"
"/st/snw/intrude.mp3"        ,"intrude"                                         ,"C2"   ,"betolakodik vhova ; behatol"
"/st/snw/stain.mp3"          ,"stain"                                           ,"C2"   ,"bemocskol, foltot ejt"
"/st/snw/abuse.mp3"          ,"abuse"                                           ,"C2"   ,"sértegetés, sértés"
"/st/snw/intruder.mp3"       ,"intruder"                                        ,"C2"   ,"betolakodó"
"/st/snw/intrusion.mp3"      ,"intrusion"                                       ,"C2"   ,"betolakodás, behatolás"
"/st/snw/nerve.mp3"          ,"nerve"                                           ,"C2"   ,"kép/pofa vmihez"
"/st/snw/abrupt.mp3"         ,"abrupt"                                          ,"C2"   ,"nyers, kurta"
"/st/snw/abusive.mp3"        ,"abusive"                                         ,"C2"   ,"sértegető, sértő, gyalázkodó"
"/st/snw/blunt.mp3"          ,"blunt"                                           ,"C2"   ,"nyers, nyersen őszinte"
"/st/snw/crude.mp3"          ,"crude"                                           ,"C2"   ,"trágár, durva ; nyers"
"/st/snw/disrespectful.mp3"  ,"disrespectful"                                   ,"C2"   ,"tiszteletlen"
"/st/snw/inconsiderate.mp3"  ,"inconsiderate"                                   ,"C2"   ,"tapintatlan, meggondolatlan"
"/st/snw/juicy.mp3"          ,"juicy"                                           ,"C2"   ,"pikáns, szaftos"
"/st/snw/nosy.mp3"           ,"nosy"                                            ,"C2"   ,"kíváncsi, kíváncsiskodó"
"/st/snw/obscene.mp3"        ,"obscene"                                         ,"C2"   ,"szemérmetlen, obszcén ; trágár"
"/st/snw/sick.mp3"           ,"sick"                                            ,"C2"   ,"morbid, beteges"
"/st/snw/tactless.mp3"       ,"tactless"                                        ,"C2"   ,"tapintatlan"
"/st/snw/tasteless.mp3"      ,"tasteless"                                       ,"C2"   ,"ízléstelen, tapintatlan"
"/st/snw/thoughtless.mp3"    ,"thoughtless"                                     ,"C2"   ,"figyelmetlen ; meggondolatlan"
"/st/snw/unscrupulous.mp3"   ,"unscrupulous"                                    ,"C2"   ,"lelkiismeretlen"
"/st/snw/beneath.mp3"        ,"beneath"                                         ,"C2"   ,"vki méltóságán aluli"
"/st/snk/r266.mp3"           ,"add insult to injury"                            ,"C2"   ,"sérelmet sértéssel tetéz, sértést sértésre halmoz"
"/st/snk/r524.mp3"           ,"be in bad/poor taste"                            ,"C2"   ,"ízléstelen"
"/st/snk/r18.mp3"            ,"(be) out of line"                                ,"C2"   ,"túl van/megy a határon"
"/st/snk/r1845.mp3"          ,"lose face"                                       ,"C2"   ,"elveszti a tekintélyét"
"/st/snk/r2113.mp3"          ,"out of place"                                    ,"C2"   ,"nem odaillő, nem helyénvaló"
"/st/snk/r2249.mp3"          ,"put your foot in it"                             ,"C2"   ,"elszólja magát"
"/st/snk/r2341.mp3"          ,"run riot"                                        ,"C2"   ,"zabolátlanul viselkedik, féktelenkedik, megvadul"
"/st/snw/contain.mp3"        ,"contain"                                         ,"C2"   ,"fékez, visszatart"
"/st/snw/snap.mp3"           ,"snap"                                            ,"C2"   ,"elpattan benne vmi, hirtelen kiborul"
"/st/snw/suppress.mp3"       ,"suppress"                                        ,"C2"   ,"elnyom, elfojt"
"/st/snw/impatience.mp3"     ,"impatience"                                      ,"C2"   ,"türelmetlenség"
"/st/snw/intolerance.mp3"    ,"intolerance"                                     ,"C2"   ,"türelmetlenség, intolerancia"
