"AUDIOFILE"                    ,"FOREIGNWORD"                                        ,"LEVEL","NATIVEWORD"
"/st/snw/cultivate.mp3"        ,"cultivate"                                          ,"C2"   ,"ápol"
"/st/snw/enjoy.mp3"            ,"enjoy"                                              ,"C2"   ,"élvez vmit"
"/st/snw/invade.mp3"           ,"invade"                                             ,"C2"   ,"benyomul, betör vhova"
"/st/snw/plague.mp3"           ,"plague"                                             ,"C2"   ,"csapásokkal sújt"
"/st/snw/sample.mp3"           ,"sample"                                             ,"C2"   ,"kipróbál, megkóstol vmit, belekóstol vmibe"
"/st/snw/baggage.mp3"          ,"baggage"                                            ,"C2"   ,"az átélt dolgok"
"/st/snw/base.mp3"             ,"base"                                               ,"C2"   ,"bázis, kiindulási pont"
"/st/snw/blow.mp3"             ,"blow"                                               ,"C2"   ,"csapás, sorscsapás"
"/st/snw/innocence.mp3"        ,"innocence"                                          ,"C2"   ,"ártatlanság, tapasztalatlanság"
"/st/snw/insecurity.mp3"       ,"insecurity"                                         ,"C2"   ,"bizonytalanság, bizonytalanságérzet"
"/st/snw/journal.mp3"          ,"journal"                                            ,"C2"   ,"napló"
"/st/snw/orientation.mp3"      ,"orientation"                                        ,"C2"   ,"irányultság, orientáció"
"/st/snw/record_noun.mp3"      ,"record"                                             ,"C2"   ,"történeti/élettörténeti adatok"
"/st/snw/security.mp3"         ,"security"                                           ,"C2"   ,"biztonság"
"/st/snw/snob.mp3"             ,"snob"                                               ,"C2"   ,"sznob"
"/st/snw/carefree.mp3"         ,"carefree"                                           ,"C2"   ,"gondtalan"
"/st/snw/insecure.mp3"         ,"insecure"                                           ,"C2"   ,"bizonytalan, nem biztos/biztonságos"
"/st/snw/intimate.mp3"         ,"intimate"                                           ,"C2"   ,"személyes jellegű, bizalmas"
"/st/snw/lifelong.mp3"         ,"lifelong"                                           ,"C2"   ,"egész életen át tartó"
"/st/snw/snobbish.mp3"         ,"snobbish"                                           ,"C2"   ,"sznob"
"/st/snw/would-be.mp3"         ,"would-be"                                           ,"C2"   ,"leendő"
"/st/snk/r1150.mp3"            ,"fend for yourself"                                  ,"C2"   ,"gondoskodik magáról, saját lábán áll   vmit"
"/st/snk/r1375.mp3"            ,"go through with sth"                                ,"C2"   ,"véghezvisz, végig csinál   vmit"
"/st/snk/r1810.mp3"            ,"live through sth"                                   ,"C2"   ,"túlél/átél/megél   vmit"
"/st/snk/r124.mp3"             ,"a bad/rough, etc. patch"                            ,"C2"   ,"rájár a rúd    vkinek  vkinek"
"/st/snk/r209.mp3"             ,"a rough/bumpy ride"                                 ,"C2"   ,"kemény/rázós helyzet    vkinek  vkinek"
"/st/snk/r241.mp3"             ,"a tight corner"                                     ,"C2"   ,"sarokba szorítva    vkinek  vkinek"
"/st/snk/r311.mp3"             ,"an invasion of privacy"                             ,"C2"   ,"magánélet megsértése    vkinek  vkinek"
"/st/snk/r602.mp3"             ,"be reliant on sb/sth"                               ,"C2"   ,"rászoruló    vkinek  vkinek"
"/st/snk/r735.mp3"             ,"break free"                                         ,"C2"   ,"megszabadul    vkinek  vkinek"
"/st/snk/r1032.mp3"            ,"do your own thing"                                  ,"C2"   ,"csinálja a maga dolgát    vkinek  vkinek"
"/st/snk/r1034.mp3"            ,"do/learn sth the hard way"                          ,"C2"   ,"saját kárán tanul    vkinek  vkinek"
"/st/snk/r1186.mp3"            ,"follow in sb's footsteps"                           ,"C2"   ,"a nyomdokain halad    vkinek  vkinek"
"/st/snk/r1289.mp3"            ,"get sth over (and done) with"                       ,"C2"   ,"gyorsan átesik    vkinek  vkinek"
"/st/snk/r1646.mp3"            ,"invade sb's privacy"                                ,"C2"   ,"megsérti a magánéletét    vkinek  vkinek"
"/st/snk/r1737.mp3"            ,"know best"                                          ,"C2"   ,"legjobban tudja    vkinek  vkinek"
