"AUDIOFILE"                 ,"FOREIGNWORD"                                    ,"LEVEL","NATIVEWORD"
"/st/snw/erode.mp3"         ,"erode"                                          ,"C2"   ,"erodál ,  lerombol, tönkretesz"
"/st/snw/fall.mp3"          ,"fall"                                           ,"C2"   ,"romlik, leromlik"
"/st/snw/erosion.mp3"       ,"erosion"                                        ,"C2"   ,"erózió"
"/st/snw/mediocrity.mp3"    ,"mediocrity"                                     ,"C2"   ,"középszerűség"
"/st/snw/splendour.mp3"     ,"splendour"                                      ,"C2"   ,"pompa, ragyogás"
"/st/snw/trash.mp3"         ,"trash"                                          ,"C2"   ,"szemét, vacak"
"/st/snw/crude.mp3"         ,"crude"                                          ,"C2"   ,"kidolgozatlan, egyszerű"
"/st/snw/dazzling.mp3"      ,"dazzling"                                       ,"C2"   ,"káprázatos"
"/st/snw/due.mp3"           ,"due"                                            ,"C2"   ,"kellő, megfelelő"
"/st/snw/exquisite.mp3"     ,"exquisite"                                      ,"C2"   ,"elragadó, páratlan szépségű, tökéletes"
"/st/snw/foul.mp3"          ,"foul"                                           ,"C2"   ,"pocsék"
"/st/snw/grim.mp3"          ,"grim"                                           ,"C2"   ,"komor, nyomasztó"
"/st/snw/mediocre.mp3"      ,"mediocre"                                       ,"C2"   ,"középszerű"
"/st/snw/pathetic.mp3"      ,"pathetic"                                       ,"C2"   ,"szánalmas, gyatra, kétségbeejtően rossz"
"/st/snw/pitiful.mp3"       ,"pitiful"                                        ,"C2"   ,"szánalmas"
"/st/snw/respectable.mp3"   ,"respectable"                                    ,"C2"   ,"tekintélyes"
"/st/snw/sensational.mp3"   ,"sensational"                                    ,"C2"   ,"szenzációs, szédületes"
"/st/snw/wretched.mp3"      ,"wretched"                                       ,"C2"   ,"átkozott"
"/st/snk/r1974.mp3"         ,"not be cut out to be sth/not be cut out for sth","C2"   ,"nem alkalmas  vmire"
"/st/snk/r17.mp3"           ,"(be) on the line"                               ,"C2"   ,"vonalon van, éppen csak hogy megvan/megfelel"
"/st/snk/r593.mp3"          ,"be out of this world"                           ,"C2"   ,"fantasztikusan jó"
"/st/snk/r709.mp3"          ,"beyond your wildest dreams"                     ,"C2"   ,"legszebb álmait is felülmúlja"
"/st/snk/r1026.mp3"         ,"do the job"                                     ,"C2"   ,"elvégzi a dolgot, megfelel a célnak"
"/st/snk/r1129.mp3"         ,"fall short of sth"                              ,"C2"   ,"vártnál kevesebb, nem felel meg a várakozásnak"
"/st/snk/r1354.mp3"         ,"go downhill"                                    ,"C2"   ,"romlik"
"/st/snk/r1780.mp3"         ,"lend itself to sth"                             ,"C2"   ,"kínálkozik , alkalmas"
"/st/snk/r1978.mp3"         ,"not be up to much"                              ,"C2"   ,"nem valami jó"
"/st/snk/r1979.mp3"         ,"not be/come up to scratch"                      ,"C2"   ,"nem üti meg a szintet"
"/st/snk/r2696.mp3"         ,"the beauty of sth"                              ,"C2"   ,"a szépsége , a szép/legszebb"
"/st/snw/deem.mp3"          ,"deem"                                           ,"C2"   ,"tart, tekint"
"/st/snw/label.mp3"         ,"label"                                          ,"C2"   ,"címkéz , minősít/nevez vkit/vmit vminek"
"/st/snw/mark.mp3"          ,"mark"                                           ,"C2"   ,"jelez, jellemez"
"/st/snw/view.mp3"          ,"view"                                           ,"C2"   ,"tekint vminek/vmilyennek"
