"AUDIOFILE"          ,"FOREIGNWORD"                         ,"LEVEL","NATIVEWORD"
"/st/snw/arrive.mp3" ,"arrive"                              ,"A2"   ,"érkezik, megérkezik"
"/st/snw/bring.mp3"  ,"bring"                               ,"A2"   ,"hoz vmit"
"/st/snw/climb.mp3"  ,"climb"                               ,"A2"   ,"mászik, felmászik vmire"
"/st/snw/collect.mp3","collect"                             ,"A2"   ,"érte megy"
"/st/snw/enter.mp3"  ,"enter"                               ,"A2"   ,"belép vhova; bejut"
"/st/snw/follow.mp3" ,"follow"                              ,"A2"   ,"követ, utána jön/megy"
"/st/snw/get.mp3"    ,"get"                                 ,"A2"   ,"hoz, elhoz"
"/st/snw/hurry.mp3"  ,"hurry"                               ,"A2"   ,"siet; siettet, sürget"
"/st/snw/leave.mp3"  ,"leave"                               ,"A2"   ,"hagy vmit vhol, otthagy vmit/vkit vhol"
"/st/snw/return.mp3" ,"return"                              ,"A2"   ,"visszajön; visszamegy; visszatér"
"/st/snw/stop.mp3"   ,"stop"                                ,"A2"   ,"megáll vhol"
"/st/snw/walk.mp3"   ,"walk"                                ,"A2"   ,"gyaloglás, séta"
"/st/snk/r751.mp3"   ,"bring back ↔ sth"                    ,"A2"   ,"visszahoz  vmit"
"/st/snk/r890.mp3"   ,"come back"                           ,"A2"   ,"visszajön, visszatér  vmit"
"/st/snk/r899.mp3"   ,"come in"                             ,"A2"   ,"bejön  vmit"
"/st/snk/r1257.mp3"  ,"get back"                            ,"A2"   ,"visszatér, hazatér  vmit"
"/st/snk/r1358.mp3"  ,"go in"                               ,"A2"   ,"bemegy  vmit"
"/st/snk/r2161.mp3"  ,"pick up ↔ sb/sth"                    ,"A2"   ,"elmegy , érte megy  vmit"
"/st/snk/r1185.mp3"  ,"follow a road/path, etc."            ,"A2"   ,"követi az utat/ösvényt/stb."
"/st/snw/add.mp3"    ,"add"                                 ,"A2"   ,"hozzáad, hozzátesz vmit vmihez"
"/st/snw/break.mp3"  ,"break"                               ,"A2"   ,"eltör; eltörik"
"/st/snw/cover.mp3"  ,"cover"                               ,"A2"   ,"fed, befed, lefed, betakar, letakar"
"/st/snw/cut.mp3"    ,"cut"                                 ,"A2"   ,"vág, felvág, levág, elvág, kivág vmit"
"/st/snw/do.mp3"     ,"do"                                  ,"A2"   ,"csinál, megcsinál, teljesít vmit"
"/st/snw/fall.mp3"   ,"fall"                                ,"A2"   ,"esik, leesik; elesik"
"/st/snw/fly.mp3"    ,"fly"                                 ,"A2"   ,"repül, száll"
"/st/snw/hit.mp3"    ,"hit"                                 ,"A2"   ,"megüt vkit/vmit"
"/st/snw/hold.mp3"   ,"hold"                                ,"A2"   ,""
"/st/snw/jump.mp3"   ,"jump"                                ,"A2"   ,"ugrik, ugrál, felugrik"
"/st/snw/jump.mp3"   ,"jump"                                ,"A2"   ,"átugrik vmit"
"/st/snw/lie_1.mp3"  ,"lie"                                 ,"A2"   ,"fekszik, hever"
"/st/snw/make.mp3"   ,"make"                                ,"A2"   ,"csinál/tesz vmit"
"/st/snw/move.mp3"   ,"move"                                ,"A2"   ,"mozdul, elmozdul; mozdít, elmozdít"
"/st/snw/pull.mp3"   ,"pull"                                ,"A2"   ,"húz, meghúz, kihúz"
"/st/snw/push.mp3"   ,"push"                                ,"A2"   ,"tol; lök, belök, ellök, meglök; taszít, betaszít, megtaszít"
"/st/snw/sit.mp3"    ,"sit"                                 ,"A2"   ,"leül"
"/st/snw/stand.mp3"  ,"stand"                               ,"A2"   ,"áll"
"/st/snw/stand.mp3"  ,"stand"                               ,"A2"   ,"feláll"
"/st/snw/throw.mp3"  ,"throw"                               ,"A2"   ,"dob, dobál, hajít"
"/st/snw/be.mp3"     ,"be"                                  ,"A2"   ,"segédige a folyamatos igeidők képzéséhez"
"/st/snw/be.mp3"     ,"be"                                  ,"A2"   ,"segédige a passzív képzéséhez"
"/st/snw/have.mp3"   ,"have"                                ,"A2"   ,""
"/st/snw/will.mp3"   ,"will"                                ,"A2"   ,"fog"
"/st/snw/will.mp3"   ,"will"                                ,"A2"   ,"fog"
"/st/snw/kick.mp3"   ,"kick"                                ,"A2"   ,"rúgás"
"/st/snw/off.mp3"    ,"off"                                 ,"A2"   ,"el; le"
"/st/snw/a.mp3"      ,"a"                                   ,"A2"   ,"egy"
"/st/snw/by.mp3"     ,"by"                                  ,"A2"   ,"által"
"/st/snw/and.mp3"    ,"and"                                 ,"A2"   ,"és"
"/st/snw/to.mp3"     ,"to"                                  ,"A2"   ,"tenni vmit"
"/st/snk/r1796.mp3"  ,"lie down"                            ,"A2"   ,"lefekszik   vkit/vmit"
"/st/snk/r2161.mp3"  ,"pick up ↔ sb/sth"                    ,"A2"   ,"felvesz, felemel   vkit/vmit"
"/st/snk/r1421.mp3"  ,"have a rest/shower/walk, etc."       ,"A2"   ,"pihen/zuhanyzik/sétál/stb."
"/st/snk/r1429.mp3"  ,"have fun/a nice time/a problem, etc.","A2"   ,"mulat/remekül szórakozik/problémája van, stb."
