"AUDIOFILE"                  ,"FOREIGNWORD"        ,"LEVEL","NATIVEWORD"
"/st/snw/actually.mp3"       ,"actually"           ,"A2"   ,"igazán, igazából, valóban, valójában"
"/st/snw/anyway.mp3"         ,"anyway"             ,"A2"   ,"na mindegy, na jól van"
"/st/snw/even.mp3"           ,"even"               ,"A2"   ,"még ... is"
"/st/snw/first.mp3"          ,"first"              ,"A2"   ,"elsőként, elsőnek"
"/st/snw/really.mp3"         ,"really"             ,"A2"   ,"igazán, valóban, tényleg"
"/st/snw/right.mp3"          ,"right"              ,"A2"   ,"nos, rendben"
"/st/snw/so.mp3"             ,"so"                 ,"A2"   ,"úgy"
"/st/snw/unfortunately.mp3"  ,"unfortunately"      ,"A2"   ,"sajnos"
"/st/snw/so.mp3"             ,"so"                 ,"A2"   ,"tehát, nos hát"
"/st/snw/congratulations.mp3","congratulations"    ,"A2"   ,"gratulálok!"
"/st/snw/hey.mp3"            ,"hey"                ,"A2"   ,"hahó! halló!"
"/st/snw/welcome.mp3"        ,"welcome"            ,"A2"   ,"Isten hozta/hozott!; üdvözlöm/üdvözöllek!"
"/st/snw/wow.mp3"            ,"wow"                ,"A2"   ,"hű! hú! ejha! nahát! tyű!"
"/st/snk/r292.mp3"           ,"all the best"       ,"A2"   ,"minden jót"
"/st/snk/r793.mp3"           ,"by the way"         ,"A2"   ,"mellesleg, egyébként"
"/st/snk/r1171.mp3"          ,"first of all"       ,"A2"   ,"először is"
"/st/snk/r1171.mp3"          ,"first of all"       ,"A2"   ,"elsősorban, mindenek előtt"
"/st/snk/r57.mp3"            ,"Guess what?"        ,"A2"   ,"képzeld !"
"/st/snk/r64.mp3"            ,"How do you do?"     ,"A2"   ,"jó napot kívánok! üdvözlöm!"
"/st/snk/r87.mp3"            ,"I'm afraid..."      ,"A2"   ,"attól tartok, sajnos"
"/st/snk/r100.mp3"           ,"Oh dear!"           ,"A2"   ,"Ó jaj!"
"/st/snk/r102.mp3"           ,"Oh no!"             ,"A2"   ,"jaj ne!"
"/st/snk/r2177.mp3"          ,"pleased to meet you","A2"   ,"örülök hogy megismerhetem"
"/st/snk/r104.mp3"           ,"Really?"            ,"A2"   ,"tényleg?"
"/st/snk/r2585.mp3"          ,"such a(n)"          ,"A2"   ,"olyan ..."
"/st/snk/r2586.mp3"          ,"such as"            ,"A2"   ,"például"
"/st/snk/r107.mp3"           ,"Take care!"         ,"A2"   ,"vigyázz magadra!"
