"AUDIOFILE"              ,"FOREIGNWORD","LEVEL","NATIVEWORD"
"/st/snw/earn.mp3"       ,"earn"       ,"A2"   ,"keres"
"/st/snw/boss.mp3"       ,"boss"       ,"A2"   ,"főnök"
"/st/snw/chef.mp3"       ,"chef"       ,"A2"   ,"séf, főszakács, konyhafőnök"
"/st/snw/cleaner.mp3"    ,"cleaner"    ,"A2"   ,"takarító, takarítónő"
"/st/snw/colleague.mp3"  ,"colleague"  ,"A2"   ,"kolléga"
"/st/snw/cook.mp3"       ,"cook"       ,"A2"   ,"szakács"
"/st/snw/day.mp3"        ,"day"        ,"A2"   ,"nap, munkanap"
"/st/snw/engineer.mp3"   ,"engineer"   ,"A2"   ,"mérnök; szerelő"
"/st/snw/farmer.mp3"     ,"farmer"     ,"A2"   ,"farmer, gazdálkodó"
"/st/snw/housewife.mp3"  ,"housewife"  ,"A2"   ,"háztartásbeli, háziasszony"
"/st/snw/job.mp3"        ,"job"        ,"A2"   ,"munka,"
"/st/snw/manager.mp3"    ,"manager"    ,"A2"   ,"igazgató; vezető"
"/st/snw/mechanic.mp3"   ,"mechanic"   ,"A2"   ,"szerelő, gépszerelő"
"/st/snw/occupation.mp3" ,"occupation" ,"A2"   ,"foglalkozás"
"/st/snw/salesperson.mp3","salesperson","A2"   ,"eladó"
"/st/snw/secretary.mp3"  ,"secretary"  ,"A2"   ,"titkár; titkárnő"
"/st/snw/staff.mp3"      ,"staff"      ,"A2"   ,"személyzet ; testület"
"/st/snw/uniform.mp3"    ,"uniform"    ,"A2"   ,"egyenruha"
"/st/snw/work.mp3"       ,"work"       ,"A2"   ,"munka, feladat"
"/st/snw/worker.mp3"     ,"worker"     ,"A2"   ,"munkás, dolgozó"
"/st/snw/off.mp3"        ,"off"        ,"A2"   ,"nincs jelen, távol van"
