"AUDIOFILE"                 ,"FOREIGNWORD"   ,"LEVEL","NATIVEWORD"
"/st/snw/mean.mp3"          ,"mean"          ,"A2"   ,"jelent vmit"
"/st/snw/spell.mp3"         ,"spell"         ,"A2"   ,"betűz ; helyesen ír"
"/st/snw/adjective.mp3"     ,"adjective"     ,"A2"   ,"melléknév"
"/st/snw/adverb.mp3"        ,"adverb"        ,"A2"   ,"határozószó"
"/st/snw/capital_letter.mp3","capital letter","A2"   ,"nagybetű"
"/st/snw/comparative.mp3"   ,"comparative"   ,"A2"   ,"középfok"
"/st/snw/grammar.mp3"       ,"grammar"       ,"A2"   ,"nyelvtan"
"/st/snw/letter.mp3"        ,"letter"        ,"A2"   ,"betű"
"/st/snw/noun.mp3"          ,"noun"          ,"A2"   ,"főnév"
"/st/snw/plural.mp3"        ,"plural"        ,"A2"   ,"többes szám"
"/st/snw/singular.mp3"      ,"singular"      ,"A2"   ,"egyes szám"
"/st/snw/spelling.mp3"      ,"spelling"      ,"A2"   ,"helyesírás; írásmód"
"/st/snw/superlative.mp3"   ,"superlative"   ,"A2"   ,"felsőfok"
"/st/snw/verb.mp3"          ,"verb"          ,"A2"   ,"ige"
"/st/snw/vocabulary.mp3"    ,"vocabulary"    ,"A2"   ,"szókincs, szókincse vkinek"
"/st/snw/negative.mp3"      ,"negative"      ,"A2"   ,"tagadó"
"/st/snw/singular.mp3"      ,"singular"      ,"A2"   ,"egyes számú"
"/st/snw/for.mp3"           ,"for"           ,"A2"   ,"jelent"
"/st/snk/r2743.mp3"         ,"the future"    ,"A2"   ,"jövő idő"
"/st/snk/r2796.mp3"         ,"the past"      ,"A2"   ,"az ige múlt idejű alakja"
