"AUDIOFILE"              ,"FOREIGNWORD"                 ,"LEVEL","NATIVEWORD"
"/st/snw/quarter.mp3"    ,"quarter"                     ,"A2"   ,"negyed, egynegyed"
"/st/snw/eighty.mp3"     ,"eighty"                      ,"A2"   ,"nyolcvan"
"/st/snw/fifty.mp3"      ,"fifty"                       ,"A2"   ,"ötven"
"/st/snw/forty.mp3"      ,"forty"                       ,"A2"   ,"negyven"
"/st/snw/hundred.mp3"    ,"hundred"                     ,"A2"   ,"száz"
"/st/snw/million.mp3"    ,"million"                     ,"A2"   ,"millió"
"/st/snw/ninety.mp3"     ,"ninety"                      ,"A2"   ,"kilencven"
"/st/snw/seventy.mp3"    ,"seventy"                     ,"A2"   ,"hetven"
"/st/snw/sixty.mp3"      ,"sixty"                       ,"A2"   ,"hatvan"
"/st/snw/thirty.mp3"     ,"thirty"                      ,"A2"   ,"harminc"
"/st/snw/thousand.mp3"   ,"thousand"                    ,"A2"   ,"ezer"
"/st/snw/zero.mp3"       ,"zero"                        ,"A2"   ,"nulla"
"/st/snw/eighth.mp3"     ,"eighth"                      ,"A2"   ,"nyolcadik; nyolcad"
"/st/snw/fifth.mp3"      ,"fifth"                       ,"A2"   ,"ötödik"
"/st/snw/fourth.mp3"     ,"fourth"                      ,"A2"   ,"negyedik"
"/st/snw/ninth.mp3"      ,"ninth"                       ,"A2"   ,"kilencedik"
"/st/snw/seventh.mp3"    ,"seventh"                     ,"A2"   ,"hetedik"
"/st/snw/sixth.mp3"      ,"sixth"                       ,"A2"   ,"hatodik"
"/st/snw/third.mp3"      ,"third"                       ,"A2"   ,"harmadik"
"/st/snw/half.mp3"       ,"half"                        ,"A2"   ,"fél, fele vminek"
"/st/snw/add.mp3"        ,"add"                         ,"A2"   ,"hozzáad, összead"
"/st/snw/double.mp3"     ,"double"                      ,"A2"   ,"dupla, kettős"
"/st/snw/exactly.mp3"    ,"exactly"                     ,"A2"   ,"pontosan"
"/st/snw/twice.mp3"      ,"twice"                       ,"A2"   ,"kétszer"
"/st/snw/around.mp3"     ,"around"                      ,"A2"   ,"körül, körülbelül"
"/st/snw/minus.mp3"      ,"minus"                       ,"A2"   ,"mínusz"
"/st/snw/plus.mp3"       ,"plus"                        ,"A2"   ,"plusz"
"/st/snw/bit.mp3"        ,"bit"                         ,"A2"   ,"darab, rész"
"/st/snw/centimetre.mp3" ,"centimetre"                  ,"A2"   ,"centiméter"
"/st/snw/degree.mp3"     ,"degree"                      ,"A2"   ,"fok, hőfok"
"/st/snw/gram.mp3"       ,"gram"                        ,"A2"   ,"gramm"
"/st/snw/kilo.mp3"       ,"kilo"                        ,"A2"   ,"kiló"
"/st/snw/kilogram.mp3"   ,"kilogram"                    ,"A2"   ,"kilogramm"
"/st/snw/kilometre.mp3"  ,"kilometre"                   ,"A2"   ,"kilométer"
"/st/snw/litre.mp3"      ,"litre"                       ,"A2"   ,"liter"
"/st/snw/metre.mp3"      ,"metre"                       ,"A2"   ,"méter"
"/st/snw/pair.mp3"       ,"pair"                        ,"A2"   ,"pár"
"/st/snw/piece.mp3"      ,"piece"                       ,"A2"   ,""
"/st/snw/piece.mp3"      ,"piece"                       ,"A2"   ,"egy darab"
"/st/snw/temperature.mp3","temperature"                 ,"A2"   ,"hőmérséklet, hőfok"
"/st/snw/a.mp3"          ,"a"                           ,"A2"   ,"egy"
"/st/snw/a.mp3"          ,"a"                           ,"A2"   ,"egy"
"/st/snw/a.mp3"          ,"a"                           ,"A2"   ,"egy"
"/st/snw/between.mp3"    ,"between"                     ,"A2"   ,"között"
"/st/snw/per.mp3"        ,"per"                         ,"A2"   ,"per, -enként"
"/st/snw/than.mp3"       ,"than"                        ,"A2"   ,""
"/st/snk/r222.mp3"       ,"a sheet of paper/glass, etc.","A2"   ,"lap"
"/st/snk/r387.mp3"       ,"at least"                    ,"A2"   ,"legalább"
"/st/snw/less.mp3"       ,"less"                        ,"A2"   ,"kevesebb"
"/st/snw/most.mp3"       ,"most"                        ,"A2"   ,"legtöbb"
"/st/snw/extra.mp3"      ,"extra"                       ,"A2"   ,"többlet, extra"
"/st/snw/full.mp3"       ,"full"                        ,"A2"   ,"tele"
"/st/snw/further.mp3"    ,"further"                     ,"A2"   ,""
"/st/snw/low.mp3"        ,"low"                         ,"A2"   ,"alacsony"
"/st/snw/above.mp3"      ,"above"                       ,"A2"   ,"több mint; -nál/-nél több, vmi felett"
"/st/snw/over.mp3"       ,"over"                        ,"A2"   ,"több, mint; fölött"
"/st/snw/all.mp3"        ,"all"                         ,"A2"   ,"az összes,"
"/st/snw/enough.mp3"     ,"enough"                      ,"A2"   ,"elég, elegendő"
"/st/snw/less.mp3"       ,"less"                        ,"A2"   ,"kevesebb"
"/st/snw/most.mp3"       ,"most"                        ,"A2"   ,"legtöbb"
"/st/snw/much.mp3"       ,"much"                        ,"A2"   ,""
"/st/snw/several.mp3"    ,"several"                     ,"A2"   ,"számos, több"
"/st/snw/over.mp3"       ,"over"                        ,"A2"   ,"több, mint; fölött"
"/st/snw/under.mp3"      ,"under"                       ,"A2"   ,"alatt, kevesebb mint"
"/st/snk/r158.mp3"       ,"a few"                       ,"A2"   ,"néhány, egy-két"
"/st/snk/r2255.mp3"      ,"quite a few"                 ,"A2"   ,"jó néhány, elég sok"
"/st/snk/r2256.mp3"      ,"quite a few/a lot"           ,"A2"   ,"jó néhány/elég sok"
"/st/snk/r2924.mp3"      ,"too much/so much"            ,"A2"   ,"túl sok/igen sok"
