"AUDIOFILE"              ,"FOREIGNWORD"        ,"LEVEL","NATIVEWORD"
"/st/snw/class.mp3"      ,"class"              ,"A2"   ,"osztály"
"/st/snw/sort.mp3"       ,"sort"               ,"A2"   ,"fajta"
"/st/snw/type.mp3"       ,"type"               ,"A2"   ,"fajta, típus"
"/st/snw/amazing.mp3"    ,"amazing"            ,"A2"   ,"bámulatos"
"/st/snw/awesome.mp3"    ,"awesome"            ,"A2"   ,"tök jó, döbbenetesen jó"
"/st/snw/bad.mp3"        ,"bad"                ,"A2"   ,"gyenge, rossz minőségű; helytelen, nem elfogadható"
"/st/snw/brilliant.mp3"  ,"brilliant"          ,"A2"   ,"nagyszerű"
"/st/snw/cool.mp3"       ,"cool"               ,"A2"   ,"állati jó, szuper"
"/st/snw/excellent.mp3"  ,"excellent"          ,"A2"   ,"kiváló"
"/st/snw/fantastic.mp3"  ,"fantastic"          ,"A2"   ,"fantasztikus"
"/st/snw/fine.mp3"       ,"fine"               ,"A2"   ,"jó, elég"
"/st/snw/horrible.mp3"   ,"horrible"           ,"A2"   ,"iszonyatos; utálatos, rettenetes"
"/st/snw/lovely.mp3"     ,"lovely"             ,"A2"   ,"nagyszerű, remek"
"/st/snw/lovely.mp3"     ,"lovely"             ,"A2"   ,"gyönyörű, csodás"
"/st/snw/ok.mp3"         ,"OK"                 ,"A2"   ,"jó, megfelelő"
"/st/snw/sweet.mp3"      ,"sweet"              ,"A2"   ,"édes, aranyos"
"/st/snw/terrible.mp3"   ,"terrible"           ,"A2"   ,"szörnyű, borzalmas"
"/st/snw/wonderful.mp3"  ,"wonderful"          ,"A2"   ,"csodás, csodálatos"
"/st/snw/badly.mp3"      ,"badly"              ,"A2"   ,"rosszul"
"/st/snw/ok.mp3"         ,"OK"                 ,"A2"   ,"jól, megfelelő módon, rendben"
"/st/snk/r244.mp3"       ,"a variety of sth/sb","A2"   ,"sokféle  vmi"
"/st/snk/r285.mp3"       ,"all kinds of sth"   ,"A2"   ,"mindenféle  vmi"
"/st/snk/r291.mp3"       ,"all sorts of sth"   ,"A2"   ,"mindenféle  vmi"
"/st/snk/r1970.mp3"      ,"not (too) bad"      ,"A2"   ,"egész jó  vmi"
"/st/snw/improve.mp3"    ,"improve"            ,"A2"   ,"javít; javul"
"/st/snw/matter.mp3"     ,"matter"             ,"A2"   ,"számít"
"/st/snw/alright.mp3"    ,"alright"            ,"A2"   ,"jól, rendben"
"/st/snw/big.mp3"        ,"big"                ,"A2"   ,"nagy, fontos"
"/st/snw/correct.mp3"    ,"correct"            ,"A2"   ,"helyes, pontos"
"/st/snw/crazy.mp3"      ,"crazy"              ,"A2"   ,"őrült, esztelen"
"/st/snw/first.mp3"      ,"first"              ,"A2"   ,"első"
"/st/snw/normal.mp3"     ,"normal"             ,"A2"   ,"normális, szokásos"
"/st/snw/perfect_adj.mp3","perfect"            ,"A2"   ,"tökéletes"
"/st/snw/simple.mp3"     ,"simple"             ,"A2"   ,"egyszerű, könnyen érthető/megtehető"
"/st/snw/small.mp3"      ,"small"              ,"A2"   ,"kis, kicsi"
"/st/snw/special.mp3"    ,"special"            ,"A2"   ,"különleges, rendkívüli"
"/st/snw/strange.mp3"    ,"strange"            ,"A2"   ,"különös, szokatlan; váratlan"
"/st/snw/true.mp3"       ,"true"               ,"A2"   ,"igaz"
"/st/snw/unusual.mp3"    ,"unusual"            ,"A2"   ,"szokatlan; különleges"
"/st/snw/useful.mp3"     ,"useful"             ,"A2"   ,"hasznos"
"/st/snw/easily.mp3"     ,"easily"             ,"A2"   ,"könnyen, simán"
"/st/snw/usually.mp3"    ,"usually"            ,"A2"   ,"általában, többnyire"
"/st/snw/wrong.mp3"      ,"wrong"              ,"A2"   ,"rosszul, hibásan, helytelenül"
"/st/snk/r353.mp3"       ,"as usual"           ,"A2"   ,"szokás szerint, mint általában"
"/st/snk/r2769.mp3"      ,"the matter"         ,"A2"   ,"baj"
